,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,commit_count,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-09-01 11:09:44.000000,2022-08-30 16:30:05,4189.0,1448.0,5515.0,15487.0,2021-01-30 02:36:56,7.18.1,319234.0,16687805.0,73.0,301560.0,301560.0,905.0,https://pypi.org/project/ipython,16507759.0,https://anaconda.org/conda-forge/ipython,2022-08-26 10:28:17.648,13638155.0,1.0,,,,,,,,,,,,,,,,,
2,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-08-30 16:59:41.000000,2022-08-30 16:59:40,830.0,572.0,1241.0,2568.0,2022-08-18 10:08:44,8.0.0,,7750835.0,40.0,4766.0,4766.0,197.0,https://pypi.org/project/ipywidgets,7594364.0,https://anaconda.org/conda-forge/ipywidgets,2022-08-19 20:53:09.445,5897278.0,1.0,@jupyter-widgets/jupyterlab-manager,7595.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,79883.0,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-09-01 11:07:08.000000,2022-08-26 13:29:45,1336.0,118.0,470.0,9436.0,2022-05-02 02:53:44,3.2.0,,1164993.0,32.0,8892.0,8892.0,92.0,https://pypi.org/project/pandas-profiling,1161235.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,274361.0,1.0,,1015.0,,,ydataai/pandas-profiling,,,,,,,,,,,,
4,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-08-31 16:52:19.000000,2022-08-31 16:52:18,275.0,557.0,1357.0,2075.0,2022-05-24 10:14:55,0.13.1,,417139.0,40.0,4010.0,4010.0,101.0,https://pypi.org/project/panel,404449.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,596430.0,1.0,,2230.0,,,,,,,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-09-01 10:32:26.000000,2022-08-22 14:39:37,478.0,429.0,591.0,1371.0,2022-08-22 14:34:43,7.0.0,,11555922.0,36.0,162985.0,162985.0,248.0,https://pypi.org/project/nbconvert,11451763.0,https://anaconda.org/conda-forge/nbconvert,2022-08-23 07:15:28.466,8020252.0,1.0,,,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-08-28 14:56:02.482000,2022-08-28 01:46:05,167.0,97.0,216.0,327.0,,,,3080094.0,34.0,108117.0,108117.0,116.0,https://pypi.org/project/qtconsole,3042392.0,https://anaconda.org/conda-forge/qtconsole,2022-08-28 14:56:02.482,2865423.0,1.0,,1893.0,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-08-29 16:35:00.000000,2022-08-23 09:30:51,321.0,185.0,317.0,1289.0,2022-08-23 09:10:35,0.17.1,,170965.0,64.0,2668.0,2668.0,80.0,https://pypi.org/project/ipyleaflet,109518.0,https://anaconda.org/conda-forge/ipyleaflet,2022-08-23 09:37:45.585,876124.0,1.0,jupyter-leaflet,1129.0,https://www.npmjs.com/package/jupyter-leaflet,49920.0,,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-08-02 17:57:54.000000,2022-08-02 17:57:54,345.0,44.0,2059.0,2325.0,2022-08-01 21:01:18,8.2.3,,1796.0,77.0,436.0,436.0,230.0,https://pypi.org/project/nikola,1796.0,,,,1.0,,10290.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-09-01 13:39:16.000000,2022-08-31 16:41:30,3877.0,685.0,6275.0,16641.0,,,,4104653.0,45.0,152.0,152.0,613.0,https://pypi.org/project/bokeh,3976580.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8324784.0,1.0,,,,,,,,,,,,,,,,,
