,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-02-01 14:09:19.226000,2024-01-31 10:34:15,4283.0,1587.0,5654.0,16068.0,2021-01-30 02:36:56,7.18.1,320743.0,34721505.0,95.0,499265.0,499265.0,979.0,https://pypi.org/project/ipython,34061759.0,https://anaconda.org/conda-forge/ipython,2024-02-01 14:09:19.226,25630853.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,35,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-29 10:17:02.000000,2024-01-29 10:17:01,4367.0,1984.0,2798.0,11990.0,2024-01-19 16:50:06,7.0.7,16272.0,17547973.0,80.0,261911.0,261911.0,645.0,https://pypi.org/project/notebook,17136658.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4023526.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1067.0,32052626.0,8.0,,,,,,,,,,,
3,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-01 05:43:55.000000,2024-01-30 22:18:34,4072.0,724.0,6812.0,18533.0,,,,3996018.0,58.0,82583.0,82583.0,681.0,https://pypi.org/project/bokeh,3693240.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13322233.0,1.0,,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-02-01 00:43:59.000000,2024-01-18 02:26:18,1577.0,203.0,553.0,11779.0,2024-01-08 15:03:46,4.6.4,38.0,555791.0,55.0,2343.0,2343.0,117.0,https://pypi.org/project/pandas-profiling,551157.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,417095.0,1.0,,,,,,,ydataai/ydata-profiling,1371.0,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-16 15:32:14.796000,2024-01-16 15:00:49,524.0,500.0,642.0,1624.0,2024-01-16 15:01:05,7.14.2,945.0,21504737.0,67.0,252101.0,252101.0,270.0,https://pypi.org/project/nbconvert,21095777.0,https://anaconda.org/conda-forge/nbconvert,2024-01-16 15:32:14.796,15948854.0,1.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-29 23:31:41.000000,2024-01-29 23:31:39,344.0,247.0,237.0,598.0,2024-01-16 14:44:47,6.29.0,2082.0,18457735.0,72.0,328254.0,328254.0,178.0,https://pypi.org/project/ipykernel,18449056.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,853002.0,1.0,,,,,,10.0,,,,,,,,,,,
7,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-01-30 21:15:53.000000,2024-01-30 21:15:53,599.0,587.0,734.0,3614.0,2024-01-26 21:10:26,1.0.0,,71694.0,43.0,12516.0,12516.0,135.0,https://pypi.org/project/jupyter-book,71694.0,,,,1.0,,,,,,7.0,,1521.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-01-26 10:55:56.000000,2024-01-26 10:55:56,344.0,234.0,347.0,1438.0,2024-01-23 17:51:37,0.18.2,,176652.0,70.0,7054.0,7054.0,87.0,https://pypi.org/project/ipyleaflet,128716.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1098951.0,1.0,,,,,,,,1171.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,23515.0,,,,,,
9,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,186.0,108.0,230.0,385.0,,,,4617830.0,41.0,162294.0,162294.0,122.0,https://pypi.org/project/qtconsole,4513014.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4611907.0,1.0,,,,,,,,1971.0,,,,,,,,,
