,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,license,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-07-03 03:37:35.318115,2021-06-03 21:35:06.000000,3345.0,1990.0,2254.0,9197.0,12058.0,2021-05-17 11:17:25.000000,6.4.0,386.0,10563802.0,22.0,110248.0,110248.0,555.0,https://pypi.org/project/notebook,10255909.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1451892.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-07-03 03:37:35.318115,846.0,21075053.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-07-08 12:32:45.000000,2021-07-07 10:28:54.000000,4021.0,1439.0,5248.0,14875.0,25099.0,2021-01-30 02:36:56.000000,7.18.1,317394.0,17450104.0,54.0,207104.0,207104.0,818.0,https://pypi.org/project/ipython,17335603.0,https://anaconda.org/conda-forge/ipython,2021-06-30 12:42:25.468000,7003157.0,,,,,1.0,-1.0,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-07-08 12:58:45.000000,2021-07-08 10:18:09.000000,1954.0,1822.0,4033.0,11196.0,23430.0,2021-05-18 18:46:17.000000,3.0.16,,1156370.0,216.0,43794.0,43794.0,428.0,https://pypi.org/project/jupyterlab,1089440.0,https://anaconda.org/conda-forge/jupyterlab,2021-07-07 12:30:14.560000,4082740.0,,,,,1.0,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-07-08 14:11:38.000000,2021-07-06 16:53:30.000000,731.0,519.0,1127.0,2263.0,7090.0,2021-02-07 22:09:48.000000,7.6.3,,9473159.0,29.0,1929.0,1929.0,177.0,https://pypi.org/project/ipywidgets,9299072.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3333572.0,,,,,1.0,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,121174.0,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-07-05 21:44:02.000000,2021-06-27 20:16:39.000000,1110.0,71.0,400.0,7576.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,478975.0,30.0,4588.0,4588.0,79.0,https://pypi.org/project/pandas-profiling,476571.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,141850.0,,,,,1.0,,,MIT,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-07-06 23:20:00.000000,2021-07-06 15:55:33.000000,254.0,165.0,156.0,406.0,2272.0,2021-07-02 11:27:15.000000,6.0.1,,10749245.0,27.0,121020.0,121020.0,131.0,https://pypi.org/project/ipykernel,10746604.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,179626.0,,,,,1.0,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-07-03 03:50:46.000000,2021-07-03 03:50:45.000000,156.0,90.0,190.0,266.0,1775.0,,,,6320050.0,28.0,80046.0,80046.0,110.0,https://pypi.org/project/qtconsole,6289340.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1904047.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
8,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-07-08 02:31:57.000000,2021-07-08 02:30:10.000000,3670.0,666.0,5949.0,15281.0,,,,,1959896.0,40.0,36147.0,36147.0,563.0,https://pypi.org/project/bokeh,1865262.0,https://anaconda.org/conda-forge/bokeh,2021-05-11 13:20:48.298000,4826381.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-06-29 07:20:07.000000,2021-06-14 20:33:00.000000,285.0,72.0,377.0,4684.0,2181.0,2021-06-10 05:10:06.000000,1.11.3,,204752.0,100.0,1676.0,1676.0,62.0,https://pypi.org/project/jupytext,182076.0,https://anaconda.org/conda-forge/jupytext,2021-06-15 19:38:35.904000,195654.0,,,,,1.0,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,16562.0,,,,,,,
