,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-05-06 02:03:34.754000,2021-05-05 14:57:03.000000,4006.0,1425.0,5214.0,14787.0,25032.0,2021-01-30 02:36:56.000000,7.18.1,317233.0,19840337.0,51.0,194213.0,194213.0,808.0,https://pypi.org/project/ipython,19733490.0,https://anaconda.org/conda-forge/ipython,2021-05-06 02:03:34.754000,6309655.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-05-06 06:10:29.878442,2021-04-25 15:29:06.000000,3291.0,1981.0,2222.0,9050.0,12046.0,2021-03-22 10:26:26.000000,6.3.0,252.0,11350650.0,20.0,102057.0,102057.0,552.0,https://pypi.org/project/notebook,11075494.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1364958.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-05-06 06:10:29.878442,827.0,18169971.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-05-06 14:07:42.000000,2021-05-06 11:58:31.000000,1905.0,1754.0,3905.0,11049.0,23202.0,2021-04-12 13:51:33.000000,3.0.14,,997675.0,208.0,39527.0,39527.0,412.0,https://pypi.org/project/jupyterlab,933964.0,https://anaconda.org/conda-forge/jupyterlab,2021-04-12 15:33:38.504000,3758981.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-05-06 12:38:46.000000,2021-04-01 07:51:01.000000,720.0,515.0,1114.0,2217.0,6971.0,2021-02-07 22:09:48.000000,7.6.3,,10533915.0,29.0,1575.0,1575.0,173.0,https://pypi.org/project/ipywidgets,10330390.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3085988.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,152936.0,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-05-06 07:58:16.000000,2021-05-06 07:58:16.000000,418.0,352.0,520.0,1115.0,3692.0,2019-05-11 04:19:05.000000,5.5.0,,11710330.0,19.0,100592.0,100592.0,215.0,https://pypi.org/project/nbconvert,11647501.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3832600.0,1.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-05-06 09:25:40.000000,2021-05-06 08:35:54.000000,250.0,156.0,144.0,393.0,2196.0,2021-05-05 16:49:20.000000,5.5.4,,10808863.0,27.0,111546.0,111546.0,126.0,https://pypi.org/project/ipykernel,10806487.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,156837.0,1.0,,,,,,,,,,2.0,,,,,,,
7,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-05-05 20:10:04.000000,2021-05-05 09:10:40.000000,3638.0,653.0,5877.0,15066.0,,,,,1523371.0,39.0,33623.0,33623.0,558.0,https://pypi.org/project/bokeh,1434624.0,https://anaconda.org/conda-forge/bokeh,2021-04-08 12:17:48.640000,4348626.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
8,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-05-02 20:14:23.482000,2021-05-02 17:57:23.000000,150.0,92.0,185.0,258.0,1764.0,,,,7079768.0,27.0,75583.0,75583.0,108.0,https://pypi.org/project/qtconsole,7049702.0,https://anaconda.org/conda-forge/qtconsole,2021-05-02 20:14:23.482000,1803965.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
9,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-05-05 22:54:49.000000,2021-05-05 18:39:55.000000,1073.0,74.0,384.0,7237.0,827.0,2021-05-05 16:27:38.000000,2.12.0,,373653.0,28.0,3911.0,3911.0,75.0,https://pypi.org/project/pandas-profiling,371503.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-05 19:36:28.179000,122595.0,1.0,,,,,,,MIT,,,1.0,,,,,,,
