,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
145,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000,2022-02-24 11:18:30.000000,2022-02-24 09:51:21,113.0,633.0,6150.0,544.0,,2022-02-16 20:38:09,2022.1.130,,,22.0,,,244.0,,,,,,,,,,3.0,,MIT,,,,,,,,,,
146,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,16,jupyterlab-nvdashboard,rapidsai/jupyterlab-nvdashboard,,,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000,2022-02-18 07:34:51.000000,2022-02-02 17:40:22,52.0,23.0,29.0,445.0,,2021-05-25 17:57:52,0.6.0,,8046.0,2.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,4983.0,,,,,,,,2.0,,BSD-3-Clause,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,3063.0,,,,,,,
147,LFortran,True,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit..,https://github.com/lfortran/lfortran,,kernels,16,lfortran,lfortran/lfortran,conda-forge/lfortran,,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000,2022-02-17 13:40:10.000000,2022-02-17 13:39:49,15.0,,,308.0,8334.0,,,,1172.0,12.0,,,20.0,https://pypi.org/project/lfortran,148.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722,31754.0,,,,,3.0,,,,,,,,,,,,
148,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,16,treon,ReviewNB/treon,,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000,2021-12-21 13:49:08.000000,2020-10-08 09:00:06,19.0,2.0,9.0,281.0,56.0,,,,5081.0,,38.0,38.0,4.0,https://pypi.org/project/treon,5081.0,,,,,,,,3.0,,MIT,,,,,,,,,,
149,JupyterLab Go-To-Definition,True,Navigate to variable's definition with a click in..,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,16,,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,2018-12-22 01:18:42.000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05,9.0,10.0,13.0,209.0,89.0,2019-07-05 21:26:30,0.5.0,,2781.0,5.0,11.0,11.0,2.0,,,,,,,,,,2.0,,BSD-3-Clause,@krassowski/jupyterlab_go_to_definition,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,2781.0,,,,,,,
150,Jupyter Spark,True,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,16,jupyter-spark,mozilla/jupyter-spark,,,https://github.com/mozilla/jupyter-spark,2016-01-27 15:38:50.000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11,30.0,13.0,14.0,190.0,106.0,,,,1201.0,,16.0,16.0,12.0,https://pypi.org/project/jupyter-spark,1201.0,,,,,,,,3.0,,MPL-2.0,,,,,,,,,,
151,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000,2021-12-09 16:25:40.000000,2020-05-24 13:16:16,34.0,57.0,34.0,161.0,426.0,,,,115.0,,10.0,10.0,9.0,,,,,,,,,,2.0,,BSD-3-Clause,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,115.0,,,,,,,
152,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/g2nb/igv-jupyter,,widgets,16,igv-jupyter,igvteam/igv-jupyter,,,https://github.com/g2nb/igv-jupyter,2016-07-21 18:44:38.000,2022-02-17 21:52:54.000000,2022-02-17 21:52:51,14.0,,41.0,144.0,133.0,2022-02-07 18:33:52,1.0.0,,354.0,9.0,7.0,7.0,5.0,https://pypi.org/project/igv-jupyter,354.0,,,,,,,,3.0,g2nb/igv-jupyter,MIT,,,,,,,,,,
153,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,16,,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000,2022-02-13 10:12:07.000000,2021-08-26 08:02:18,18.0,5.0,16.0,139.0,111.0,,,,1518.0,,190.0,190.0,7.0,,,,,,,,,,1.0,,BSD-3-Clause,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,1518.0,,,,,,,
154,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,16,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000,2022-01-26 14:48:31.000000,2020-09-11 21:06:00,29.0,34.0,28.0,127.0,158.0,,,,4941.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512,331110.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
155,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,16,ipytree,QuantStack/ipytree,conda-forge/ipytree,,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000,2022-01-22 02:51:39.000000,2021-08-10 09:03:01,23.0,16.0,13.0,87.0,103.0,,,,14357.0,7.0,,,8.0,https://pypi.org/project/ipytree,13492.0,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895,30277.0,,,,,3.0,,MIT,,,,,,,,,,
