,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,pypi_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
99,ipyvue,True,Jupyter widgets base for Vue libraries.,https://github.com/mariobuikhuizen/ipyvue,,widgets,18,ipyvue,mariobuikhuizen/ipyvue,conda-forge/ipyvue,,https://github.com/mariobuikhuizen/ipyvue,2019-08-11 10:10:05.000,2022-02-02 15:57:55.000000,2021-12-10 13:35:55,11.0,2.0,4.0,36.0,86.0,2021-11-19 19:10:31,1.7.0,,1381.0,18.0,16.0,16.0,3.0,https://pypi.org/project/ipyvue,https://anaconda.org/conda-forge/ipyvue,2021-10-28 12:53:01.039,41456.0,,,,,3.0,MIT,,,,,,,,,,,,
100,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,17,jupyterthemes,dunovank/jupyter-themes,,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000,2021-12-04 01:00:56.000000,2021-08-23 17:19:38,991.0,186.0,197.0,8943.0,634.0,,,,,,,,42.0,https://pypi.org/project/jupyterthemes,,,,,,,,2.0,MIT,,,,,,,,,,,,
101,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,17,datalab,googledatalab/datalab,,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48,245.0,224.0,667.0,968.0,2054.0,2021-08-16 19:04:35,1.2.20210816,,,19.0,,,52.0,https://pypi.org/project/datalab,,,,,,,,3.0,Apache-2.0,,,,,-7.0,,,,,,,
102,gmaps,True,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,17,gmaps,pbugnion/gmaps,conda-forge/gmaps,,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45,143.0,62.0,136.0,728.0,1380.0,2016-01-02 19:06:03,0.2,,5397.0,20.0,1.0,1.0,16.0,https://pypi.org/project/gmaps,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940,251615.0,,,,,3.0,BSD-3-Clause,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,983.0,,,,,,,,,
103,IRuby,True,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,17,,SciRuby/iruby,,rubydata/datascience-notebook,https://github.com/SciRuby/iruby,2015-03-03 18:05:50.000,2021-11-12 01:33:42.000000,2021-11-12 01:33:42,11.0,44.0,139.0,679.0,696.0,2021-08-17 16:20:34,0.7.4,15.0,18.0,10.0,151.0,151.0,44.0,,,,,https://hub.docker.com/r/rubydata/datascience-notebook,2021-09-28 04:43:56.581044,3.0,1561.0,2.0,MIT,,,,,,,,,,iruby,,
104,Code Formatter,True,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,17,jupyterlab_code_formatter,ryantam626/jupyterlab_code_formatter,,,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000,2022-01-22 01:59:06.000000,2021-04-02 15:15:07,40.0,23.0,116.0,503.0,353.0,,,,5335.0,,,,30.0,https://pypi.org/project/jupyterlab_code_formatter,,,,,,,,2.0,MIT,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,5335.0,,,,,,,,,
105,Ansible Kernel,True,Jupyter Notebook Kernel for running Ansible Tasks and..,https://github.com/ansible/ansible-jupyter-kernel,,kernels,17,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,benthomasson/ansible-jupyter-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000,2022-01-04 14:36:11.000000,2022-01-04 14:36:11,50.0,12.0,29.0,477.0,210.0,,,,1784.0,1.0,8.0,8.0,10.0,https://pypi.org/project/ansible-kernel,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230,8821.0,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66419.0,2.0,Apache-2.0,,,,,,,,,,,,
106,F# Kernel,True,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,17,,fsprojects/IfSharp,,fsprojects/ifsharp,https://github.com/fsprojects/IfSharp,2013-12-03 21:25:01.000,2022-02-01 13:08:55.000000,2022-01-14 14:51:09,67.0,13.0,127.0,433.0,336.0,2020-03-08 20:03:38,3.0.4,5320.0,61.0,15.0,,,28.0,,,,,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,657.0,2.0,BSD-3-Clause,,,,,,,,,,,,
107,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,17,,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000,2022-01-17 16:35:15.000000,2022-01-17 16:34:54,60.0,29.0,71.0,427.0,544.0,,,,3126.0,,1.0,1.0,25.0,,,,,,,,,3.0,BSD-3-Clause,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,3126.0,,,,,,,,,
108,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000,2022-01-24 16:52:20.000000,2022-01-24 16:52:10,63.0,51.0,39.0,395.0,636.0,,,,438.0,,3.0,3.0,27.0,,,,,,,,,3.0,BSD-3-Clause,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,438.0,,,,,,,,,
