,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,pypi_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
134,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/igvteam/igv-jupyter,,widgets,16,igv-jupyter,igvteam/igv-jupyter,,,https://github.com/igvteam/igv-jupyter,2016-07-21 18:44:38.000,2022-01-26 18:45:40.000000,2022-01-26 18:45:40,14.0,1.0,40.0,144.0,130.0,2021-11-22 19:09:03,0.10.4,,297.0,8.0,6.0,6.0,5.0,https://pypi.org/project/igv-jupyter,,,,,,,,3.0,MIT,,,,297.0,,,,,,,,
135,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,16,,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000,2022-01-22 03:19:35.000000,2021-08-26 08:02:18,18.0,5.0,16.0,130.0,111.0,,,,1638.0,,174.0,174.0,7.0,,,,,,,,,1.0,BSD-3-Clause,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,1638.0,,,,,,,,,
136,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,16,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000,2022-01-26 14:48:31.000000,2020-09-11 21:06:00,28.0,34.0,28.0,126.0,158.0,,,,4870.0,4.0,,,14.0,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512,326296.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
137,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,16,ipytree,QuantStack/ipytree,conda-forge/ipytree,,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000,2022-01-22 02:51:39.000000,2021-08-10 09:03:01,23.0,16.0,13.0,86.0,103.0,,,,13771.0,7.0,,,8.0,https://pypi.org/project/ipytree,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895,28767.0,,,,,3.0,MIT,,,,12950.0,,,,,,,,
138,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,ipyregulartable,jpmorganchase/ipyregulartable,,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000,2021-12-11 18:18:15.000000,2021-12-11 18:18:15,9.0,10.0,15.0,55.0,,,,,105706.0,5.0,9.0,9.0,4.0,https://pypi.org/project/ipyregulartable,,,,,,,,3.0,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,105706.0,,,,,,,,,
139,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000,2022-01-23 19:36:42.000000,2022-01-23 19:36:41,8.0,2.0,29.0,51.0,197.0,2021-12-08 08:31:33,2.3.1,3251.0,811.0,22.0,,,8.0,,https://anaconda.org/conda-forge/jupyter-archive,2021-10-13 13:44:42.346,19463.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
140,LTI Authenticator,True,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,16,jupyterhub-ltiauthenticator,jupyterhub/ltiauthenticator,,,https://github.com/jupyterhub/ltiauthenticator,2017-12-15 02:54:15.000,2022-01-31 22:16:38.000000,2022-01-27 14:20:28,37.0,5.0,26.0,50.0,,2021-11-15 20:10:09,1.3.0,,,6.0,72.0,72.0,13.0,https://pypi.org/project/jupyterhub-ltiauthenticator,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
141,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,16,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000,2022-01-31 22:16:27.000000,2021-12-30 13:14:05,48.0,21.0,68.0,47.0,,2021-10-19 17:24:48,1.0.5,,,3.0,34.0,34.0,21.0,https://pypi.org/project/jupyterhub-nativeauthenticator,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
142,ipydatawidgets,True,A set of widgets to help facilitate reuse of large datasets..,https://github.com/vidartf/ipydatawidgets,,widgets,16,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53,7.0,3.0,6.0,28.0,266.0,,,,2869.0,6.0,432.0,432.0,5.0,https://pypi.org/project/ipydatawidgets,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012,126262.0,,,,,3.0,,,,,,,,,,,,,
143,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43,3.0,2.0,4.0,13.0,172.0,,,,1163.0,7.0,51.0,51.0,4.0,https://pypi.org/project/ipyscales,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793,51203.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
144,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,,OpenGeoscience/geonotebook,,geonotebook/geonotebook,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,137.0,37.0,46.0,1040.0,647.0,,,,1959.0,,,,9.0,,,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,7.0,131269.0,3.0,Apache-2.0,,,,,,,,,,,,
145,Apache Toree,True,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,15,toree,apache/incubator-toree,,,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000,2021-11-26 12:36:11.000000,2021-09-07 03:54:38,213.0,,,687.0,1146.0,,,,,,,,102.0,https://pypi.org/project/toree,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,,
146,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000,2022-01-05 21:59:02.000000,2021-10-21 20:09:40,85.0,23.0,63.0,674.0,141.0,,,4941.0,154.0,2.0,,,7.0,,,,,,,,,3.0,MIT,,,,,,,,,,,,
147,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,jupyternotify,ShopRunner/jupyter-notify,,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000,2021-04-27 16:57:08.000000,2021-04-27 14:56:38,31.0,11.0,11.0,549.0,,2018-01-08 14:51:41,0.1.15,,1197.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,,,,,,,,2.0,BSD-3-Clause,,,,1197.0,,,,,,,,
148,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,15,pivottablejs,nicolaskruchten/jupyter_pivottablejs,,,https://github.com/nicolaskruchten/jupyter_pivottablejs,2015-09-09 13:39:18.000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25,61.0,17.0,40.0,456.0,32.0,2018-01-15 18:11:51,0.9.0,,,8.0,214.0,214.0,3.0,https://pypi.org/project/pivottablejs,,,,,,,,3.0,,,,,,,,,,,,,
149,IElixir,True,Jupyter's kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,15,,pprzetacznik/IElixir,,pprzetacznik/ielixir,https://github.com/pprzetacznik/IElixir,2015-07-06 11:39:08.000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38,38.0,10.0,20.0,336.0,282.0,2020-11-15 17:48:03,0.9.21,,3.0,8.0,,,19.0,,,,,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,313.0,3.0,Apache-2.0,,,,,,,,,,,ielixir,
150,Lantern,True,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,15,pylantern,timkpaine/lantern,,,https://github.com/timkpaine/lantern,2017-07-15 03:49:10.000,2022-02-02 19:18:44.000000,2022-02-02 19:18:43,20.0,10.0,188.0,305.0,505.0,2020-02-02 22:32:28,0.1.6,,,26.0,14.0,14.0,2.0,https://pypi.org/project/pylantern,,,,,,,,2.0,Apache-2.0,,,,,,,,,,,,
151,LFortran,True,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit..,https://github.com/lfortran/lfortran,,kernels,15,lfortran,lfortran/lfortran,conda-forge/lfortran,,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000,2022-02-02 20:49:13.000000,2022-02-02 20:48:55,15.0,,,303.0,8281.0,,,,1015.0,12.0,,,20.0,https://pypi.org/project/lfortran,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722,31467.0,,,,,3.0,,,,,,,,,,,,,
152,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000,2022-01-22 02:42:37.000000,2021-02-24 06:31:50,30.0,16.0,10.0,283.0,31.0,,,,5526.0,,2.0,2.0,6.0,,,,,,,,,2.0,MIT,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,5526.0,,,,,,,,,
153,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,15,sparkmonitor,krishnan-r/sparkmonitor,,krishnanr/sparkmonitor,https://github.com/krishnan-r/sparkmonitor,2017-05-31 09:13:01.000,2021-02-03 03:28:03.000000,2021-02-03 03:28:02,47.0,15.0,7.0,163.0,214.0,2018-05-29 18:46:14,0.0.9,2380.0,58.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,,,,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,904.0,3.0,Apache-2.0,,,,,,,,,,,,
154,Jupyter Sphinx,True,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,15,jupyter_sphinx,jupyter/jupyter-sphinx,,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000,2021-12-20 09:52:04.000000,2021-12-20 09:52:04,46.0,38.0,77.0,136.0,353.0,2020-09-21 17:37:11,0.3.2,,,3.0,,,24.0,https://pypi.org/project/jupyter_sphinx,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
155,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,15,jupyterlab_iframe,timkpaine/jupyterlab_iframe,,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000,2021-12-12 18:40:39.000000,2021-12-12 18:40:39,15.0,6.0,58.0,76.0,,2021-11-30 04:16:27,0.4.1,,911.0,14.0,3.0,3.0,5.0,https://pypi.org/project/jupyterlab_iframe,,,,,,,,2.0,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,911.0,,,,,,,,,
156,niwidgets,True,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,15,niwidgets,nipy/niwidgets,,,https://github.com/nipy/niwidgets,2017-09-11 22:20:27.000,2022-01-21 19:48:46.000000,2020-03-24 14:27:42,33.0,17.0,17.0,71.0,242.0,,,,137.0,,27.0,27.0,16.0,https://pypi.org/project/niwidgets,,,,,,,,3.0,Apache-2.0,,,,137.0,,,,,,,,
157,jupyterlab-theme-solarized-dark,True,JupyterLab 2.x Solarized Dark extension.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,15,jupyterlab_theme_solarized_dark,AllanChain/jupyterlab-theme-solarized-dark,,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,2020-04-05 12:18:48.000,2022-01-22 04:21:23.000000,2022-01-22 04:21:21,6.0,1.0,1.0,52.0,70.0,2021-09-26 00:52:38,2.0.1,,3713.0,9.0,1.0,1.0,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,,,,,,,,2.0,BSD-3-Clause,jupyterlab-theme-solarized-dark,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,3713.0,,,,,,,,,
158,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,,https://github.com/vatlab/jupyterlab-sos,2018-03-20 16:07:18.000,2021-11-12 20:41:39.000000,2021-11-12 20:41:32,3.0,10.0,48.0,49.0,301.0,2019-09-02 19:30:02,0.5.0,,623.0,11.0,5.0,5.0,4.0,,https://anaconda.org/conda-forge/jupyterlab-sos,2021-04-16 15:33:43.971,13390.0,,,,,2.0,BSD-3-Clause,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,162.0,,,,,,,,,
159,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,14,,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,2020-11-25 15:20:08.000,2022-02-02 20:39:10.000000,2022-02-02 10:17:38,175.0,22.0,48.0,2108.0,,,,,,21.0,,,13.0,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,,
160,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,14,pyforest,8080labs/pyforest,,,https://github.com/8080labs/pyforest,2019-08-12 07:35:46.000,2021-07-12 20:54:11.000000,2021-06-14 15:04:41,176.0,8.0,14.0,944.0,196.0,2019-09-02 14:01:33,0.1.2,,,1.0,,,13.0,https://pypi.org/project/pyforest,,,,,,,,3.0,MIT,,,,,,,,,,,,
161,JupyterWith,True,declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyterWith,,notebook-tools,14,,tweag/jupyterWith,,,https://github.com/tweag/jupyterWith,2018-12-18 10:10:58.000,2022-01-27 10:55:58.000000,2022-01-27 10:55:57,70.0,45.0,45.0,308.0,361.0,,,,,,,,25.0,,,,,,,,,3.0,MIT,,,,,,,,,,,,
162,gpu-jupyter,True,Leverage the flexibility of Jupyterlab through the power of your..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,14,,iot-salzburg/gpu-jupyter,,,https://github.com/iot-salzburg/gpu-jupyter,2019-11-12 20:10:23.000,2022-01-31 14:43:57.000000,2022-01-31 14:43:57,107.0,6.0,39.0,301.0,214.0,2021-04-08 06:54:08,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,10.0,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,,
163,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,14,,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,2018-01-23 18:18:38.000,2021-08-10 22:24:09.000000,2021-03-10 20:56:11,20.0,12.0,19.0,204.0,71.0,2021-03-10 20:57:44,4.14.3,,1663.0,6.0,3.0,3.0,5.0,,,,,,,,,3.0,,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,1663.0,,,,,,,,,
164,Jupyter Bokeh,True,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,14,jupyter-bokeh,bokeh/jupyter_bokeh,,,https://github.com/bokeh/jupyter_bokeh,2017-08-14 23:01:29.000,2021-09-30 18:18:05.000000,2021-09-30 18:17:17,37.0,7.0,73.0,193.0,,,,,26363.0,,,,16.0,https://pypi.org/project/jupyter-bokeh,,,,,,,,3.0,BSD-3-Clause,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,19579.0,6784.0,,,,,,,,
165,jupyterlab-execute-time,True,Execute Time Plugin for Jupyter Lab.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,14,,deshaw/jupyterlab-execute-time,,,https://github.com/deshaw/jupyterlab-execute-time,2020-04-07 22:27:30.000,2021-10-01 15:38:50.000000,2021-10-01 15:21:38,24.0,2.0,27.0,193.0,35.0,,,,3002.0,,,,10.0,,,,,,,,,3.0,BSD-3-Clause,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,3002.0,,,,,,,,,
166,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,14,sas_kernel,sassoftware/sas_kernel,,,https://github.com/sassoftware/sas_kernel,2016-04-01 16:19:50.000,2021-09-21 14:53:24.000000,2021-09-21 14:53:24,71.0,3.0,52.0,182.0,213.0,2021-07-14 17:27:18,2.4.11,,,14.0,,,7.0,https://pypi.org/project/sas_kernel,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,,
167,bookstore,True,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,14,bookstore,nteract/bookstore,,,https://github.com/nteract/bookstore,2018-10-16 18:54:00.000,2021-08-26 18:26:16.000000,2019-12-09 16:52:07,18.0,34.0,39.0,179.0,619.0,2019-12-03 17:50:40,2.5.0,,,6.0,8.0,8.0,7.0,https://pypi.org/project/bookstore,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
168,Collapsible Headings,True,Implements Collapsible Headers for Jupyter Lab Notebooks.,https://github.com/aquirdTurtle/Collapsible_Headings,,lab-extensions,14,,aquirdTurtle/Collapsible_Headings,,,https://github.com/aquirdTurtle/Collapsible_Headings,2019-07-29 01:45:30.000,2022-01-22 02:06:26.000000,2021-05-22 01:41:35,7.0,8.0,22.0,160.0,98.0,,,,2158.0,,,,6.0,,,,,,,,,3.0,BSD-3-Clause,@aquirdturtle/collapsible_headings,https://www.npmjs.com/package/@aquirdturtle/collapsible_headings,2158.0,,,,,,,,,
169,cdsdashboards,True,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,14,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,,https://github.com/ideonate/cdsdashboards,2020-04-28 13:51:31.000,2021-12-29 14:55:57.000000,2021-12-21 12:15:24,27.0,27.0,53.0,151.0,450.0,,,,983.0,19.0,,,11.0,https://pypi.org/project/cdsdashboards,https://anaconda.org/conda-forge/cdsdashboards,2021-10-28 20:01:06.914,18682.0,,,,,3.0,,,,,,,,,,,,,
170,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,14,environment_kernels,Cadair/jupyter_environment_kernels,,,https://github.com/Cadair/jupyter_environment_kernels,2015-01-06 14:50:00.000,2018-02-20 00:36:41.000000,2018-02-12 13:00:01,16.0,7.0,22.0,143.0,77.0,2018-02-12 13:01:06,1.1.1,,3224.0,2.0,,,6.0,https://pypi.org/project/environment_kernels,,,,,,,,3.0,BSD-2-Clause,,,,3224.0,3.0,,,,,,,
171,JupyterLab Spreadsheet,True,"JupyterLab plugin for viewing spreadsheets, such as..",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,14,,quigleyj97/jupyterlab-spreadsheet,,,https://github.com/quigleyj97/jupyterlab-spreadsheet,2018-10-13 22:51:03.000,2022-01-22 05:25:32.000000,2021-11-20 21:43:48,11.0,5.0,18.0,141.0,,2021-07-17 23:45:44,0.4.1,,4610.0,5.0,,,4.0,,,,,,,,,3.0,BSD-3-Clause,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,4610.0,,,,,,,,,
172,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,14,ipylab,jtpio/ipylab,conda-forge/ipylab,,https://github.com/jtpio/ipylab,2019-11-15 19:52:12.000,2022-01-22 09:04:46.000000,2022-01-22 09:04:45,5.0,9.0,18.0,91.0,,2021-11-13 10:58:20,0.5.2,30.0,320.0,11.0,,,6.0,https://pypi.org/project/ipylab,https://anaconda.org/conda-forge/ipylab,2021-11-13 16:03:39.438,8613.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
173,Rsession Proxy,True,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,14,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,,,https://github.com/jupyterhub/jupyter-rsession-proxy,2016-12-09 06:26:18.000,2021-12-22 18:40:07.000000,2021-12-22 18:40:06,59.0,25.0,42.0,88.0,219.0,,,,,,35.0,35.0,19.0,https://pypi.org/project/jupyter-rsession-proxy,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
174,JupyterLab Quickopen,True,Quickly open a file in JupyterLab by typing part of its..,https://github.com/parente/jupyterlab-quickopen,,lab-extensions,14,jupyterlab-quickopen,parente/jupyterlab-quickopen,,,https://github.com/parente/jupyterlab-quickopen,2018-12-04 01:00:58.000,2021-12-12 18:36:27.000000,2021-12-12 18:25:55,6.0,,,70.0,56.0,2021-12-12 18:28:02,1.2.0,,57.0,3.0,,,5.0,https://pypi.org/project/jupyterlab-quickopen,,,,,,,,3.0,BSD-3-Clause,@parente/jupyterlab-quickopen,https://www.npmjs.com/package/@parente/jupyterlab-quickopen,57.0,,,,,,,,,
175,JupyterLab Kernelspy,True,A Jupyter Lab extension for inspecting messages to/from..,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,,lab-extensions,14,,jupyterlab-contrib/jupyterlab-kernelspy,,,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,2018-04-20 16:11:58.000,2022-01-23 19:36:17.000000,2022-01-23 19:36:16,8.0,2.0,11.0,65.0,124.0,2021-09-02 09:10:11,3.0.6,,195.0,4.0,3.0,3.0,4.0,,,,,,,,,3.0,,jupyterlab-kernelspy,https://www.npmjs.com/package/jupyterlab-kernelspy,195.0,,,,,,,,,
176,JupyterLab Shortcutui,True,A JupyterLab extension for managing keyboard shortcuts.,https://github.com/jupyterlab/jupyterlab-shortcutui,,lab-extensions,14,,jupyterlab/jupyterlab-shortcutui,,,https://github.com/jupyterlab/jupyterlab-shortcutui,2018-06-18 22:07:19.000,2020-01-17 16:59:32.000000,2020-01-17 16:59:32,14.0,7.0,6.0,55.0,191.0,2019-09-05 11:54:07,0.4.0,,338.0,3.0,,,8.0,,,,,,,,,3.0,BSD-3-Clause,@jupyterlab/shortcutui,https://www.npmjs.com/package/@jupyterlab/shortcutui,338.0,,,,,,,,,
177,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,14,jdaviz,spacetelescope/jdaviz,,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000,2022-02-02 23:40:06.000000,2022-02-02 16:06:14,26.0,211.0,283.0,48.0,,2021-12-23 19:15:41,2.2.0,,,3.0,,,25.0,https://pypi.org/project/jdaviz,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
178,lgo,True,Interactive Go programming with Jupyter.,https://github.com/yunabe/lgo,,kernels,13,,yunabe/lgo,,,https://github.com/yunabe/lgo,2017-10-05 15:29:10.000,2020-11-20 07:01:33.000000,2019-07-09 12:59:17,110.0,23.0,53.0,2229.0,169.0,,,,,,,,9.0,,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
179,Bash Kernel,True,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,13,bash_kernel,takluyver/bash_kernel,,,https://github.com/takluyver/bash_kernel,2014-06-27 00:27:25.000,2020-01-27 10:39:24.000000,2019-07-22 16:06:53,101.0,37.0,53.0,568.0,86.0,2016-04-07 16:41:34,0.4.1,2838.0,5617.0,1.0,,,13.0,https://pypi.org/project/bash_kernel,,,,,,,,3.0,,,,,5577.0,,,,,,,,
180,py_d3,True,D3 block magic for Jupyter notebook.,https://github.com/ResidentMario/py_d3,,magic,13,py_d3,ResidentMario/py_d3,,,https://github.com/ResidentMario/py_d3,2016-08-28 03:38:28.000,2019-03-17 04:32:12.000000,2019-03-17 04:32:05,36.0,2.0,14.0,440.0,38.0,,,,367.0,,,,3.0,https://pypi.org/project/py_d3,,,,,,,,2.0,MIT,,,,367.0,,,,,,,,
181,nbgather,True,Spit shine for Jupyter notebooks.,https://github.com/microsoft/gather,,lab-extensions,13,,microsoft/gather,,,https://github.com/microsoft/gather,2018-10-08 23:32:10.000,2021-09-21 17:26:54.000000,2020-02-14 15:11:45,27.0,10.0,16.0,426.0,343.0,,,,57.0,,,,12.0,,,,,,,,,3.0,MIT,nbgather,https://www.npmjs.com/package/nbgather,57.0,,,,,,,,,
182,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,13,nbqa,nbQA-dev/nbQA,,,https://github.com/nbQA-dev/nbQA,2020-07-11 15:30:54.000,2022-01-31 18:38:20.000000,2022-01-24 19:47:19,24.0,5.0,234.0,396.0,594.0,,,,,,,,18.0,https://pypi.org/project/nbqa,,,,,,,,3.0,MIT,,,,,,,,,,,,
183,Kernel Gateway,True,Jupyter Kernel Gateway.,https://github.com/jupyter/kernel_gateway,,kernels,13,jupyter-kernel-gateway,jupyter/kernel_gateway,,,https://github.com/jupyter/kernel_gateway,2015-09-21 15:34:11.000,2021-12-07 19:27:26.000000,2021-12-07 19:27:26,108.0,14.0,161.0,374.0,559.0,2021-08-25 00:19:46,2.5.1,104.0,2.0,9.0,,,44.0,https://pypi.org/project/jupyter-kernel-gateway,,,,,,,,3.0,,,,,,,,,,,,,
184,testbook,True,Unit test your Jupyter Notebooks the right way.,https://github.com/nteract/testbook,,notebook-tools,13,,nteract/testbook,,,https://github.com/nteract/testbook,2020-02-26 19:43:22.000,2021-09-21 04:29:33.000000,2021-09-21 04:29:32,26.0,35.0,45.0,277.0,,,,,,,70.0,70.0,14.0,,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
185,pynb,True,Jupyter Notebooks as plain Python code with embedded Markdown text.,https://github.com/elehcimd/pynb,,notebook-sharing,13,,elehcimd/pynb,,,https://github.com/elehcimd/pynb,2017-11-14 11:13:22.000,2020-07-07 15:27:20.000000,2020-07-07 15:27:10,6.0,,8.0,235.0,154.0,,,,,,17.0,17.0,8.0,,,,,,,,,3.0,MIT,,,,,,,,,,,,
