,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
137,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,16,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,2016-06-24 22:29:05.000000,2021-01-11 10:02:27.000000,2020-03-01 13:46:17.000000,96.0,47.0,32.0,855.0,488.0,2018-12-29 10:52:13.000000,0.4.1,,245134.0,1.0,,,17.0,https://pypi.org/project/jupyter_nbextensions_configurator,245134.0,,,,3.0,,,,,,,,,,,,,,,,,
138,clojupyter,True,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000000,2021-10-03 12:27:29.000000,2021-09-11 19:55:13.000000,74.0,19.0,70.0,708.0,271.0,,,,94.0,7.0,,,25.0,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302000,2483.0,3.0,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,321.0,MIT,,,,,,,,,,,
139,IJava,True,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,16,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,2017-10-08 04:42:46.000000,2020-09-28 07:59:11.000000,2019-12-08 22:22:20.000000,131.0,58.0,57.0,703.0,90.0,2019-05-06 03:28:50.000000,1.3.0,62219.0,1555.0,5.0,,,4.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
140,Apache Toree,True,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,16,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000000,2021-09-07 03:54:43.000000,2021-09-07 03:54:38.000000,211.0,,,681.0,1146.0,,,,,,,,102.0,https://pypi.org/project/toree,,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
141,Ansible Kernel,True,Jupyter Notebook Kernel for running Ansible Tasks and..,https://github.com/ansible/ansible-jupyter-kernel,,kernels,16,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000000,2021-03-05 18:39:25.000000,2021-03-05 18:39:24.000000,48.0,12.0,29.0,476.0,208.0,,,,2078.0,1.0,8.0,8.0,9.0,https://pypi.org/project/ansible-kernel,130.0,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230000,8109.0,3.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66397.0,Apache-2.0,,,,,,,,,,,
142,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000000,2021-10-13 00:11:15.000000,2021-10-12 23:36:18.000000,78.0,703.0,5481.0,440.0,,2021-08-17 23:55:18.000000,2021.8.12,,,18.0,,,237.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
143,F# Kernel,True,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,16,fsprojects/IfSharp,,,https://github.com/fsprojects/IfSharp,2013-12-03 21:25:01.000000,2020-09-10 16:17:07.000000,2020-09-10 16:17:02.000000,69.0,14.0,126.0,432.0,335.0,2020-03-08 20:03:38.000000,3.0.4,5270.0,63.0,15.0,,,27.0,,,,,,3.0,fsprojects/ifsharp,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,642.0,BSD-3-Clause,,,,,,,,,,,
144,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,16,nbQA-dev/nbQA,nbqa,,https://github.com/nbQA-dev/nbQA,2020-07-11 15:30:54.000000,2021-10-11 17:42:53.000000,2021-10-11 17:42:50.000000,20.0,5.0,225.0,311.0,564.0,,,,14800.0,,,,15.0,https://pypi.org/project/nbqa,14800.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
145,blackcellmagic,True,IPython magic command to format python code in cell using..,https://github.com/csurfer/blackcellmagic,,magic,16,csurfer/blackcellmagic,blackcellmagic,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2021-09-18 19:09:47.000000,2021-09-18 19:09:46.000000,8.0,3.0,5.0,274.0,18.0,,,,5089.0,,120.0,120.0,3.0,https://pypi.org/project/blackcellmagic,5089.0,,,,2.0,,,,,,MIT,,,,,,,,,,,
146,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,16,googlecolab/jupyter_http_over_ws,jupyter_http_over_ws,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000000,2021-08-30 21:48:26.000000,2021-08-30 21:48:24.000000,34.0,18.0,7.0,195.0,29.0,,,,9247.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,9247.0,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
147,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,16,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000000,2021-08-26 08:02:21.000000,2021-08-26 08:02:18.000000,15.0,5.0,16.0,117.0,111.0,,,,3212.0,,111.0,111.0,7.0,,,,,,1.0,,,,,,BSD-3-Clause,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,3212.0,,,,,,,,
148,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,16,QuantStack/ipytree,ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000000,2021-08-31 22:23:58.000000,2021-08-10 09:03:01.000000,22.0,13.0,13.0,86.0,103.0,,,,11218.0,7.0,,,8.0,https://pypi.org/project/ipytree,10418.0,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895000,24826.0,3.0,,,,,,MIT,,,,,,,,,,,
149,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,timkpaine/jupyterlab_iframe,jupyterlab_iframe,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000000,2021-08-23 20:04:13.000000,2021-06-18 13:29:32.000000,14.0,5.0,56.0,76.0,,2021-06-18 13:30:57.000000,0.4.0,,1843.0,13.0,3.0,3.0,4.0,https://pypi.org/project/jupyterlab_iframe,620.0,,,,2.0,,,,,,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,1223.0,,,,,,,,
150,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,16,jupyterhub/systemdspawner,jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,2016-09-06 07:20:44.000000,2021-08-06 12:10:14.000000,2021-08-06 12:10:14.000000,37.0,24.0,25.0,72.0,146.0,,,,2006.0,,16.0,16.0,16.0,https://pypi.org/project/jupyterhub-systemdspawner,2006.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
151,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,16,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,2019-12-20 14:32:14.000000,2021-08-06 15:18:01.000000,2020-04-01 05:53:01.000000,5.0,2.0,3.0,46.0,104.0,2020-03-31 12:46:48.000000,0.3.0,,153756.0,2.0,,,2.0,https://pypi.org/project/altair_viewer,153756.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
152,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000000,2021-09-30 19:09:08.000000,2021-09-22 02:08:33.000000,9.0,9.0,14.0,46.0,,,,,129224.0,5.0,8.0,8.0,4.0,https://pypi.org/project/ipyregulartable,67.0,,,,3.0,,,,,,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,129157.0,,,,,,,,
153,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,jupyterlab-contrib/jupyter-archive,,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000000,2021-10-11 08:59:42.000000,2021-09-29 15:46:20.000000,7.0,1.0,27.0,45.0,192.0,2021-09-29 15:53:41.000000,3.2.0,3251.0,856.0,20.0,,,8.0,,,https://anaconda.org/conda-forge/jupyter-archive,2021-09-29 18:50:47.235000,17310.0,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
154,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,2.0,4.0,13.0,172.0,,,,1347.0,7.0,47.0,47.0,4.0,https://pypi.org/project/ipyscales,92.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,50218.0,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
155,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,15,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-05-21 19:21:38.000000,2021-04-06 05:51:36.000000,726.0,308.0,448.0,4688.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,,1.0,,,127.0,https://pypi.org/project/jupyter_contrib_nbextensions,,,,,3.0,,,,,,,,,,-5.0,,,,,,,
156,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,15,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,2020-11-25 15:20:08.000000,2021-10-11 14:44:04.000000,2021-10-06 15:12:42.000000,121.0,27.0,15.0,1464.0,,,,,,9.0,16.0,16.0,6.0,,,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
157,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,OpenGeoscience/geonotebook,,,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00.000000,135.0,37.0,46.0,1029.0,647.0,,,,2083.0,,,,9.0,,,,,,3.0,geonotebook/geonotebook,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,6.0,131259.0,Apache-2.0,,,,,,,,,,,
158,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,15,csurfer/pyheatmagic,py-heat-magic,,https://github.com/csurfer/pyheatmagic,2017-08-18 20:35:01.000000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13.000000,18.0,2.0,3.0,732.0,34.0,,,,1021.0,,24.0,24.0,3.0,https://pypi.org/project/py-heat-magic,1021.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
159,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,15,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,2015-09-09 13:39:18.000000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25.000000,59.0,17.0,39.0,448.0,32.0,2018-01-15 18:11:51.000000,0.9.0,,,8.0,196.0,196.0,3.0,https://pypi.org/project/pivottablejs,,,,,3.0,,,,,,,,,,,,,,,,,
160,Matlab Kernel,True,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,15,calysto/matlab_kernel,matlab_kernel,,https://github.com/Calysto/matlab_kernel,2015-01-31 12:51:06.000000,2021-09-14 19:55:27.000000,2020-11-09 20:41:43.000000,71.0,26.0,100.0,405.0,210.0,2017-10-17 21:39:32.000000,0.15.0,,1162.0,1.0,,,17.0,https://pypi.org/project/matlab_kernel,1162.0,,,,3.0,,,,,,,,,,,,,,,,,
161,IElixir,True,Jupyter's kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,15,pprzetacznik/IElixir,,,https://github.com/pprzetacznik/IElixir,2015-07-06 11:39:08.000000,2021-08-28 04:15:14.000000,2021-03-20 17:27:38.000000,37.0,10.0,20.0,329.0,282.0,2020-11-15 17:48:03.000000,0.9.21,,3.0,8.0,,,18.0,,,,,,3.0,pprzetacznik/ielixir,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,295.0,Apache-2.0,,,,,,,,,,ielixir,
162,LFortran,True,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit..,https://github.com/lfortran/lfortran,,kernels,15,lfortran/lfortran,lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000000,2021-10-10 23:48:15.000000,2021-10-10 23:14:15.000000,14.0,,,277.0,7520.0,,,,1176.0,12.0,,,19.0,https://pypi.org/project/lfortran,105.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722000,28929.0,3.0,,,,,,,,,,,,,,,,,
163,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000000,2021-08-31 22:18:16.000000,2021-02-24 06:31:50.000000,26.0,17.0,9.0,275.0,31.0,,,,5694.0,,2.0,2.0,6.0,,,,,,3.0,,,,,,MIT,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,5694.0,,,,,,,,
164,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,15,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000000,2020-10-08 09:00:07.000000,2020-10-08 09:00:06.000000,18.0,2.0,9.0,271.0,56.0,,,,6253.0,,34.0,34.0,4.0,https://pypi.org/project/treon,6253.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
165,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,15,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,2018-01-23 18:18:38.000000,2021-08-10 22:24:09.000000,2021-03-10 20:56:11.000000,19.0,12.0,19.0,205.0,71.0,2021-03-10 20:57:44.000000,4.14.3,,2543.0,6.0,3.0,3.0,5.0,,,,,,3.0,,,,,,,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,2543.0,,,,,,,,
166,Jupyter Bokeh,True,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,15,bokeh/jupyter_bokeh,jupyter-bokeh,,https://github.com/bokeh/jupyter_bokeh,2017-08-14 23:01:29.000000,2021-09-30 18:18:05.000000,2021-09-30 18:17:17.000000,33.0,8.0,70.0,182.0,,,,,37628.0,,,,16.0,https://pypi.org/project/jupyter-bokeh,6667.0,,,,3.0,,,,,,BSD-3-Clause,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,30961.0,,,,,,,,
167,jupyterlab-execute-time,True,Execute Time Plugin for Jupyter Lab.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,15,deshaw/jupyterlab-execute-time,,,https://github.com/deshaw/jupyterlab-execute-time,2020-04-07 22:27:30.000000,2021-10-01 15:38:50.000000,2021-10-01 15:21:38.000000,21.0,1.0,23.0,171.0,35.0,,,,4087.0,,,,10.0,,,,,,3.0,,,,,,BSD-3-Clause,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,4087.0,,,,,,,,
168,JupyterLab Spreadsheet,True,"JupyterLab plugin for viewing spreadsheets, such as..",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,15,quigleyj97/jupyterlab-spreadsheet,,,https://github.com/quigleyj97/jupyterlab-spreadsheet,2018-10-13 22:51:03.000000,2021-10-10 19:41:19.000000,2021-10-10 19:41:10.000000,9.0,6.0,15.0,126.0,,2021-07-17 23:45:44.000000,0.4.1,,5024.0,5.0,,,4.0,,,,,,3.0,,,,,,BSD-3-Clause,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,5024.0,,,,,,,,
169,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,Anaconda-Platform/nb_conda,,conda-forge/nb_conda,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000000,2021-02-08 11:04:25.512000,2020-09-11 21:06:00.000000,28.0,33.0,28.0,119.0,158.0,,,,4783.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512000,301348.0,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
170,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,15,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29.000000,25.0,11.0,7.0,110.0,441.0,,,,,,287.0,287.0,10.0,,,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
171,nbzip,True,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,15,data-8/nbzip,nbzip,,https://github.com/data-8/nbzip,2017-09-30 17:32:31.000000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25.000000,15.0,9.0,5.0,73.0,43.0,,,,806.0,,229.0,229.0,6.0,https://pypi.org/project/nbzip,806.0,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
172,JupyterLab Quickopen,True,Quickly open a file in JupyterLab by typing part of its..,https://github.com/parente/jupyterlab-quickopen,,lab-extensions,15,parente/jupyterlab-quickopen,jupyterlab-quickopen,,https://github.com/parente/jupyterlab-quickopen,2018-12-04 01:00:58.000000,2021-08-14 21:32:12.000000,2021-08-14 21:29:39.000000,6.0,,,69.0,54.0,2021-08-14 21:40:58.000000,1.1.0,,561.0,2.0,,,5.0,https://pypi.org/project/jupyterlab-quickopen,276.0,,,,3.0,,,,,,BSD-3-Clause,@parente/jupyterlab-quickopen,https://www.npmjs.com/package/@parente/jupyterlab-quickopen,285.0,,,,,,,,
173,JupyterLab Python Files,True,JupyterLab extension to create Python files.,https://github.com/jtpio/jupyterlab-python-file,,lab-extensions,15,jtpio/jupyterlab-python-file,,,https://github.com/jtpio/jupyterlab-python-file,2018-10-17 22:21:21.000000,2021-08-27 11:18:53.000000,2021-08-27 11:18:51.000000,7.0,1.0,8.0,48.0,,2021-06-23 21:13:28.000000,0.5.5,76.0,2584.0,5.0,,,4.0,,,,,,3.0,,,,,,BSD-3-Clause,jupyterlab-python-file,https://www.npmjs.com/package/jupyterlab-python-file,2577.0,,,,,,,,
174,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,vatlab/jupyterlab-sos,,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,2018-03-20 16:07:18.000000,2021-09-24 22:38:03.000000,2021-09-24 22:37:59.000000,2.0,10.0,48.0,48.0,300.0,2019-09-02 19:30:02.000000,0.5.0,,669.0,11.0,5.0,5.0,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2021-04-16 15:33:43.971000,11974.0,3.0,,,,,,BSD-3-Clause,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,191.0,,,,,,,,
175,jupyterlab-theme-solarized-dark,True,JupyterLab 2.x Solarized Dark extension.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,15,AllanChain/jupyterlab-theme-solarized-dark,jupyterlab_theme_solarized_dark,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,2020-04-05 12:18:48.000000,2021-09-20 02:33:22.000000,2021-09-20 02:32:37.000000,5.0,1.0,1.0,46.0,67.0,2021-09-26 00:52:38.000000,2.0.1,,4876.0,9.0,,,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,,,,,2.0,,,,,,BSD-3-Clause,jupyterlab-theme-solarized-dark,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,4876.0,,,,,,,,
176,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,15,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000000,2021-09-29 17:16:31.000000,2021-09-29 17:11:03.000000,46.0,16.0,48.0,45.0,,,,,5580.0,,29.0,29.0,17.0,https://pypi.org/project/jupyterhub-nativeauthenticator,5580.0,,,,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
177,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,15,spacetelescope/jdaviz,jdaviz,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000000,2021-10-12 21:38:48.000000,2021-10-08 19:45:14.000000,24.0,210.0,237.0,26.0,,2021-09-17 14:57:38.000000,2.0.0,,433.0,1.0,,,23.0,https://pypi.org/project/jdaviz,433.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
178,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,14,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000000,2021-07-15 22:07:42.000000,2020-12-15 17:18:31.000000,78.0,18.0,61.0,622.0,138.0,,,4293.0,153.0,2.0,,,6.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
179,jupyter-tensorboard,True,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,14,lspvic/jupyter_tensorboard,jupyter-tensorboard,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000000,2021-02-25 23:36:10.000000,2020-02-16 06:42:48.000000,67.0,39.0,28.0,450.0,69.0,,,,2651.0,,,,4.0,https://pypi.org/project/jupyter-tensorboard,2651.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
180,nbgather,True,Spit shine for Jupyter notebooks.,https://github.com/microsoft/gather,,lab-extensions,14,microsoft/gather,,,https://github.com/microsoft/gather,2018-10-08 23:32:10.000000,2021-09-21 17:26:54.000000,2020-02-14 15:11:45.000000,27.0,10.0,16.0,412.0,343.0,,,,67.0,,,,12.0,,,,,,3.0,,,,,,MIT,nbgather,https://www.npmjs.com/package/nbgather,67.0,,,,,,,,
181,JupyterLab SQL,True,SQL GUI for JupyterLab.,https://github.com/pbugnion/jupyterlab-sql,,lab-extensions,14,pbugnion/jupyterlab-sql,jupyterlab_sql,,https://github.com/pbugnion/jupyterlab-sql,2019-02-01 09:37:05.000000,2021-10-06 09:31:32.000000,2020-01-04 12:02:35.000000,40.0,37.0,37.0,355.0,634.0,,,,701.0,,,,2.0,https://pypi.org/project/jupyterlab_sql,701.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
182,Lantern,True,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,14,timkpaine/lantern,pylantern,,https://github.com/timkpaine/lantern,2017-07-15 03:49:10.000000,2021-02-27 21:52:34.000000,2021-02-27 21:52:33.000000,19.0,10.0,188.0,298.0,495.0,2020-02-02 22:32:28.000000,0.1.6,,,26.0,14.0,14.0,2.0,https://pypi.org/project/pylantern,,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
183,JupyterWith,True,declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyterWith,,notebook-tools,14,tweag/jupyterWith,,,https://github.com/tweag/jupyterWith,2018-12-18 10:10:58.000000,2021-10-12 17:15:40.000000,2021-09-28 06:42:19.000000,66.0,43.0,40.0,286.0,324.0,,,,,,,,21.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
184,nbopen,True,Open a Jupyter notebook in the best available server.,https://github.com/takluyver/nbopen,,notebook-tools,14,takluyver/nbopen,nbopen,,https://github.com/takluyver/nbopen,2014-07-09 03:24:47.000000,2018-04-25 07:37:01.000000,2018-04-25 07:36:18.000000,49.0,34.0,25.0,266.0,57.0,,,,1641.0,,,,10.0,https://pypi.org/project/nbopen,1641.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
185,gpu-jupyter,True,Leverage the flexibility of Jupyterlab through the power of your..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,14,iot-salzburg/gpu-jupyter,,,https://github.com/iot-salzburg/gpu-jupyter,2019-11-12 20:10:23.000000,2021-10-06 06:55:43.000000,2021-10-06 06:55:43.000000,94.0,5.0,39.0,260.0,206.0,2021-04-08 06:54:08.000000,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,10.0,,,,,,3.0,,,,,,Apache-2.0,,,,,,,,,,,
186,testbook,True,Unit test your Jupyter Notebooks the right way.,https://github.com/nteract/testbook,,notebook-tools,14,nteract/testbook,,,https://github.com/nteract/testbook,2020-02-26 19:43:22.000000,2021-09-21 04:29:33.000000,2021-09-21 04:29:32.000000,25.0,32.0,45.0,255.0,,,,,,,53.0,53.0,14.0,,,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
187,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,14,Cadair/jupyter_environment_kernels,environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,2015-01-06 14:50:00.000000,2018-02-20 00:36:41.000000,2018-02-12 13:00:01.000000,16.0,6.0,22.0,141.0,77.0,2018-02-12 13:01:06.000000,1.1.1,,5318.0,2.0,,,6.0,https://pypi.org/project/environment_kernels,5318.0,,,,3.0,,,,,,BSD-2-Clause,,,,,,,,,,,
