,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
106,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,18,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2021-10-11 13:51:48.000000,2021-10-02 08:12:02.000000,51.0,11.0,80.0,314.0,532.0,,,,30943.0,26.0,,,10.0,https://pypi.org/project/vega,23766.0,https://anaconda.org/conda-forge/vega,2021-08-11 21:51:27.565000,459360.0,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
107,JupyterLab GitHub,True,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,18,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,2017-10-15 17:18:11.000000,2021-08-10 23:18:25.000000,2020-03-04 03:38:48.000000,76.0,23.0,34.0,299.0,192.0,2018-04-23 05:09:22.000000,0.7.1,,2701.0,5.0,2.0,2.0,12.0,https://pypi.org/project/jupyterlab-github,625.0,,,,2.0,,,,,,BSD-3-Clause,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2076.0,,,,,,,,
108,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,18,executablebooks/thebe,,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000000,2021-10-12 14:57:51.000000,2021-09-30 21:06:45.000000,52.0,58.0,73.0,243.0,631.0,2021-08-17 00:12:09.000000,0.8.0,,,3.0,4.0,4.0,25.0,,,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
109,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,18,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,2016-09-26 19:01:37.000000,2021-08-31 21:50:21.000000,2021-08-05 17:00:09.000000,42.0,33.0,82.0,236.0,,2021-06-02 23:50:52.000000,5.0.2,,24995.0,15.0,,,18.0,https://pypi.org/project/dask-labextension,4255.0,https://anaconda.org/conda-forge/dask-labextension,2021-07-30 13:05:56.423000,417103.0,2.0,,,,,,BSD-3-Clause,dask-labextension,https://www.npmjs.com/package/dask-labextension,5844.0,,,,,,,,
110,scrapbook,True,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,18,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000000,2021-05-07 07:52:57.000000,2021-04-28 06:36:37.000000,23.0,23.0,25.0,222.0,,,,,70799.0,,69.0,69.0,11.0,https://pypi.org/project/nteract-scrapbook,70799.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
111,itables,True,Interactive Tables in Jupyter.,https://github.com/mwouts/itables,,widgets,18,mwouts/itables,itables,,https://github.com/mwouts/itables,2019-04-15 22:09:44.000000,2021-02-04 23:19:55.000000,2021-02-04 23:19:48.000000,18.0,13.0,8.0,198.0,85.0,2020-12-14 21:50:21.000000,0.3.0,,1898.0,5.0,74.0,74.0,3.0,https://pypi.org/project/itables,1898.0,,,,3.0,,,,,,MIT,,,,,,,,,,,
112,OCaml Kernel,True,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,18,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,2017-07-14 14:15:05.000000,2021-08-10 10:07:02.000000,2021-08-07 23:37:29.000000,27.0,3.0,64.0,196.0,316.0,2021-08-10 10:14:25.000000,2.7.5,51608.0,1011.0,27.0,,,17.0,,,,,,2.0,,,,,,MIT,,,,,,,,,,,
113,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,18,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,2018-08-02 05:15:23.000000,2021-10-12 23:04:59.000000,2021-09-24 12:08:53.000000,21.0,13.0,36.0,195.0,601.0,2021-09-03 07:26:55.000000,npm@3.0.2,2.0,1084.0,27.0,1.0,1.0,24.0,,,https://anaconda.org/conda-forge/mamba_gator,2021-09-03 12:29:39.360000,9540.0,2.0,,,,,,BSD-3-Clause,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,217.0,,,,,,,,
114,jupyterlab-classic,True,The next-gen old-school notebook UI.,https://github.com/jupyterlab/retrolab,,notebook-environments,18,jtpio/jupyterlab-classic,jupyterlab-classic,,https://github.com/jupyterlab/retrolab,2020-12-07 16:37:07.000000,2021-10-12 08:01:53.000000,2021-10-12 08:01:47.000000,28.0,25.0,69.0,187.0,,2021-10-12 08:05:05.000000,0.3.9,148.0,265.0,36.0,32.0,32.0,10.0,https://pypi.org/project/jupyterlab-classic,251.0,,,,3.0,,,,,,BSD-3-Clause,,,,,jupyterlab/retrolab,,,,,,
115,nbgitpuller,True,Jupyter server extension to sync a git repository one-way to a..,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,18,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-09-27 17:01:31.000000,2021-09-02 23:36:37.000000,50.0,38.0,67.0,142.0,,,,,853.0,10.0,377.0,377.0,23.0,https://pypi.org/project/nbgitpuller,,https://anaconda.org/conda-forge/nbgitpuller,2021-09-03 01:35:54.657000,23900.0,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
116,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,18,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000000,2021-10-08 10:06:16.000000,2021-10-08 10:02:41.000000,16.0,8.0,33.0,130.0,150.0,2021-10-08 10:06:16.000000,0.7.2,,9592.0,7.0,1.0,1.0,6.0,,,,,,2.0,,,,,,BSD-3-Clause,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,9592.0,,jupyterlab-contrib/spellchecker,,,,,,
117,ipyvue,True,Jupyter widgets base for Vue libraries.,https://github.com/mariobuikhuizen/ipyvue,,widgets,18,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/mariobuikhuizen/ipyvue,2019-08-11 10:10:05.000000,2021-10-07 16:32:10.405000,2021-10-06 17:26:19.000000,9.0,2.0,3.0,34.0,81.0,2021-01-15 09:49:03.000000,1.5.0,,46772.0,17.0,16.0,16.0,3.0,https://pypi.org/project/ipyvue,45408.0,https://anaconda.org/conda-forge/ipyvue,2021-10-07 16:32:10.405000,35464.0,3.0,,,,,,MIT,,,,,,,,,,,
118,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,17,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-08-23 17:19:43.000000,2021-08-23 17:19:38.000000,970.0,186.0,196.0,8769.0,634.0,,,,,,,,42.0,https://pypi.org/project/jupyterthemes,,,,,2.0,,,,,,MIT,,,,-4.0,,,,,,,
119,IJulia.jl,True,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,17,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,2013-03-05 18:20:21.000000,2021-07-27 23:03:52.000000,2021-06-10 20:32:30.000000,364.0,95.0,676.0,2333.0,700.0,2021-02-24 00:04:46.000000,1.23.2,,,41.0,,,100.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
120,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,17,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,2019-08-12 07:35:46.000000,2021-07-12 20:54:11.000000,2021-06-14 15:04:41.000000,174.0,8.0,14.0,928.0,196.0,2019-09-02 14:01:33.000000,0.1.2,,5683.0,1.0,,,13.0,https://pypi.org/project/pyforest,5683.0,,,,2.0,,,,,,MIT,,,,,,,,,,,
121,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,17,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000000,2021-08-31 17:28:38.000000,2021-08-31 17:28:35.000000,61.0,31.0,69.0,412.0,525.0,,,,4510.0,,1.0,1.0,22.0,,,,,,3.0,,,,,,BSD-3-Clause,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,4510.0,,,,,,,,
122,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-09-21 15:56:43.000000,2021-09-21 15:56:30.000000,63.0,50.0,39.0,387.0,632.0,,,,343.0,,3.0,3.0,27.0,,,,,,3.0,,,,,,BSD-3-Clause,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,343.0,,,,,,,,
123,tributary,True,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,17,timkpaine/tributary,tributary,conda-forge/tributary,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000000,2021-08-23 20:03:10.000000,2021-08-22 23:30:48.000000,25.0,12.0,66.0,271.0,,2021-02-27 04:59:39.000000,0.1.5,,969.0,12.0,15.0,15.0,6.0,https://pypi.org/project/tributary,125.0,https://anaconda.org/conda-forge/tributary,2020-10-15 18:24:08.479000,13518.0,3.0,,,,,,Apache-2.0,,,,,,,,,,,
124,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,17,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000000,2021-09-30 19:08:28.000000,2021-09-30 19:08:28.000000,44.0,7.0,68.0,269.0,,2021-03-28 03:19:03.000000,0.3.1,,7452.0,13.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,3679.0,,,,2.0,,,,,,Apache-2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,3773.0,,,,,,,,
125,JupyterLab Go-To-Definition,True,Navigate to variable's definition with a click in..,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,17,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,2018-12-22 01:18:42.000000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05.000000,8.0,10.0,13.0,205.0,89.0,2019-07-05 21:26:30.000000,0.5.0,,4389.0,5.0,10.0,10.0,2.0,,,,,,2.0,,,,,,BSD-3-Clause,@krassowski/jupyterlab_go_to_definition,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,4389.0,,,,,,,,
126,ML Hub,True,Multi-user development platform for machine learning teams. Simple to..,https://github.com/ml-tooling/ml-hub,,notebook-environments,17,ml-tooling/ml-hub,,,https://github.com/ml-tooling/ml-hub,2019-06-26 15:05:50.000000,2020-10-19 09:31:37.000000,2020-10-02 15:10:06.000000,43.0,11.0,9.0,192.0,217.0,2020-02-03 15:59:07.000000,1.0.0,1558.0,1589.0,8.0,,,6.0,,,,,,3.0,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,42775.0,Apache-2.0,,,,,,,,,,,
