,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-04-05 16:59:49.000000,2023-03-30 11:12:20,4240.0,1518.0,5577.0,15767.0,2021-01-30 02:36:56,7.18.1,319972.0,22092194.0,81.0,382292.0,382292.0,942.0,https://pypi.org/project/ipython,21870746.0,https://anaconda.org/conda-forge/ipython,2023-03-30 14:28:51.782,18370001.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-04-06 12:08:27.000000,2023-04-03 14:40:44,501.0,474.0,604.0,1473.0,2023-04-03 14:41:02,7.3.0,332.0,16260763.0,48.0,198344.0,198344.0,258.0,https://pypi.org/project/nbconvert,16126902.0,https://anaconda.org/conda-forge/nbconvert,2023-04-04 17:41:11.623,11243770.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-04-05 16:43:03.000000,2023-03-28 07:48:22,1430.0,143.0,511.0,10437.0,2023-03-28 08:01:52,4.1.2,,1111740.0,43.0,209.0,209.0,108.0,https://pypi.org/project/pandas-profiling,1107330.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,352823.0,1.0,ydataai/ydata-profiling,1275.0,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-04-04 15:54:50.000000,2023-04-04 15:54:44,322.0,227.0,226.0,545.0,2023-03-20 14:41:55,6.22.0,1290.0,15078340.0,59.0,240075.0,240075.0,166.0,https://pypi.org/project/ipykernel,15071029.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,645773.0,1.0,,,10.0,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-04-04 22:34:16.000000,2023-04-02 21:20:30,179.0,103.0,220.0,359.0,,,,3576188.0,37.0,128622.0,128622.0,120.0,https://pypi.org/project/qtconsole,3530813.0,https://anaconda.org/conda-forge/qtconsole,2023-04-03 17:42:12.643,3766174.0,1.0,,1932.0,,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-04-03 16:59:07.000000,2023-03-14 01:16:06,566.0,529.0,711.0,3307.0,2023-03-14 01:24:58,0.15.1,,80086.0,42.0,9147.0,9147.0,121.0,https://pypi.org/project/jupyter-book,80086.0,,,,1.0,,1414.0,7.0,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-04-05 14:54:33.000000,2023-03-28 15:25:44,873.0,626.0,1283.0,2757.0,2023-03-22 11:45:50,8.0.5,,8956469.0,48.0,6497.0,6497.0,203.0,https://pypi.org/project/ipywidgets,8784691.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,8611602.0,1.0,,,-3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,69259.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,325.0,214.0,332.0,1341.0,2022-10-19 07:57:17,0.17.2,,231804.0,65.0,4046.0,4046.0,82.0,https://pypi.org/project/ipyleaflet,166622.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,982660.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,53343.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-04-04 07:10:31.000000,2023-03-20 14:39:17,137.0,57.0,78.0,204.0,2023-03-20 14:39:41,5.8.0,111.0,13621954.0,23.0,205198.0,205198.0,75.0,https://pypi.org/project/nbformat,13451421.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,14324592.0,1.0,,,11.0,,,,,,,,,,,,,,
10,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,29,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-04-06 13:31:07.000000,2023-04-06 06:43:27,3998.0,672.0,6564.0,17448.0,,,,3724932.0,49.0,206.0,206.0,649.0,https://pypi.org/project/bokeh,3576688.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10673588.0,1.0,,,,,,,,,,,,,,,,,
11,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,29,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-04-05 21:28:10.000000,2023-04-05 21:28:09,3941.0,2021.0,2568.0,10931.0,2023-03-06 07:20:44,6.5.3,11551.0,11980694.0,57.0,19.0,19.0,628.0,https://pypi.org/project/notebook,11634847.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3116344.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-04-03 04:45:17.828071,997.0,29197967.0,,,,,,
