,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
10,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,ipympl,matplotlib/ipympl,,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2022-01-20 10:02:16.000000,2022-01-20 10:00:33.000000,173.0,99.0,131.0,1210.0,434.0,2022-01-20 10:01:49.000000,0.8.7,,98590.0,23.0,2399.0,2399.0,26.0,https://pypi.org/project/ipympl,59702.0,,,,,,,,1.0,jupyter-matplotlib,BSD-3-Clause,https://www.npmjs.com/package/jupyter-matplotlib,38888.0,,,,,,,,
11,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2022-01-18 22:19:26.000000,2021-12-22 09:30:53.000000,298.0,174.0,285.0,1209.0,986.0,2021-12-06 12:32:04.000000,0.15.0,,87378.0,61.0,1389.0,1389.0,73.0,https://pypi.org/project/ipyleaflet,40678.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043000,786637.0,,,,,1.0,jupyter-leaflet,MIT,https://www.npmjs.com/package/jupyter-leaflet,35132.0,,,,,,,,
12,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,29,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2022-01-20 12:21:12.773000,2022-01-17 15:26:17.000000,279.0,193.0,183.0,446.0,,2022-01-13 15:22:36.000000,6.7.0,156.0,15100779.0,29.0,149346.0,149346.0,148.0,https://pypi.org/project/ipykernel,15097540.0,https://anaconda.org/anaconda/ipykernel,2022-01-20 12:21:12.773000,238332.0,,,,,1.0,,,,,,,,,,,,
13,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,29,nbformat,jupyter/nbformat,conda-forge/nbformat,,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2022-01-07 01:58:37.000000,2021-12-17 08:10:00.000000,118.0,45.0,65.0,158.0,756.0,2021-04-02 04:40:43.000000,5.1.3,,15780948.0,13.0,137412.0,137412.0,60.0,https://pypi.org/project/nbformat,15680291.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6945380.0,,,,,1.0,,,,,,,,,,,,
14,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,28,nbclient,jupyter/nbclient,conda-forge/nbclient,,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2022-01-19 23:27:36.000000,2022-01-17 10:47:00.000000,39.0,22.0,55.0,84.0,257.0,2022-01-13 20:36:33.000000,0.5.10,16.0,15107011.0,16.0,40756.0,40756.0,29.0,https://pypi.org/project/nbclient,14994646.0,https://anaconda.org/conda-forge/nbclient,2022-01-14 07:18:53.194000,2584337.0,,,,,1.0,,,,,,,,,,,,
15,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2022-01-11 15:40:25.503000,2022-01-11 08:23:50.000000,313.0,56.0,432.0,5143.0,,2022-01-11 08:24:48.000000,1.13.6,,147925.0,100.0,2306.0,2306.0,67.0,https://pypi.org/project/jupytext,131886.0,https://anaconda.org/conda-forge/jupytext,2022-01-11 15:40:25.503000,259355.0,,,,,1.0,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,9214.0,,,,,,,,
16,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot,bqplot/bqplot,conda-forge/bqplot,,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2022-01-20 13:35:19.000000,2022-01-20 13:35:16.000000,428.0,199.0,354.0,3224.0,3456.0,2022-01-07 12:38:39.000000,0.12.32,,77422.0,55.0,29.0,29.0,55.0,https://pypi.org/project/bqplot,46389.0,https://anaconda.org/conda-forge/bqplot,2022-01-07 13:02:09.921000,914384.0,,,,,2.0,bqplot,Apache-2.0,https://www.npmjs.com/package/bqplot,17587.0,,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-11-13 15:23:35.182000,2021-06-29 17:43:55.000000,227.0,99.0,37.0,1479.0,253.0,,,,67654.0,3.0,2615.0,2615.0,44.0,https://pypi.org/project/ipython-sql,65619.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182000,132295.0,,,,,1.0,,MIT,,,,,,,,,,
18,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,facets-overview,pair-code/facets,,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05.000000,822.0,76.0,76.0,6763.0,264.0,2019-07-01 16:35:20.000000,1.0.0,,121131.0,4.0,95.0,95.0,28.0,https://pypi.org/project/facets-overview,121131.0,,,,,,,,2.0,,Apache-2.0,,,5.0,,,,,,,
19,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/maartenbreddels/ipyvolume,,widgets,26,ipyvolume,maartenbreddels/ipyvolume,conda-forge/ipyvolume,,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-11-04 16:00:54.000000,2021-11-01 12:36:42.000000,208.0,162.0,127.0,1703.0,970.0,2018-06-11 13:56:17.000000,0.4.5,,27955.0,16.0,662.0,662.0,39.0,https://pypi.org/project/ipyvolume,20323.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,336588.0,,,,,2.0,ipyvolume,MIT,https://www.npmjs.com/package/ipyvolume,1928.0,,,,,,,,
20,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2022-01-20 12:27:52.000000,2022-01-19 09:01:51.000000,1587.0,174.0,1879.0,6839.0,,,,,196025.0,25.0,1605.0,1605.0,262.0,https://pypi.org/project/jupyterhub,161749.0,https://anaconda.org/conda-forge/jupyterhub,2022-01-10 14:07:13.551000,487841.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-01-18 17:08:11.396217,301.0,2466287.0,1.0,,,,,,,,,,,,
21,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,,jupyter/docker-stacks,,jupyter/scipy-notebook,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2022-01-20 08:41:23.000000,2022-01-18 18:46:08.000000,2464.0,70.0,645.0,6785.0,2460.0,,,,1037092.0,,,,212.0,,,,,,https://hub.docker.com/r/jupyter/scipy-notebook,2022-01-18 22:02:51.934331,331.0,80893191.0,1.0,,BSD-3-Clause,,,,,,,,,,
22,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract_on_jupyter,nteract/nteract,,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2022-01-04 19:02:49.000000,2022-01-04 19:02:10.000000,516.0,149.0,1519.0,5733.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1295167.0,21696.0,66.0,,,174.0,https://pypi.org/project/nteract_on_jupyter,2650.0,,,,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
23,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,25,papermill,nteract/papermill,conda-forge/papermill,,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-12-22 18:47:43.000000,2021-12-11 04:46:33.000000,339.0,99.0,231.0,4506.0,,,,,436806.0,16.0,1858.0,1858.0,96.0,https://pypi.org/project/papermill,431511.0,https://anaconda.org/conda-forge/papermill,2021-10-21 18:29:28.606000,217131.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
