,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-12-21 17:56:16.000000,2022-12-21 11:19:53,4229.0,1480.0,5549.0,15616.0,2021-01-30 02:36:56,7.18.1,319670.0,18507392.0,76.0,335482.0,335482.0,927.0,https://pypi.org/project/ipython,18303767.0,https://anaconda.org/conda-forge/ipython,2022-12-01 15:03:49.150,16061684.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,34,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-12-21 16:18:59.000000,2022-12-21 10:18:02,1388.0,129.0,496.0,9958.0,2022-12-21 10:21:02,3.6.0,,1022514.0,36.0,10121.0,10121.0,106.0,https://pypi.org/project/pandas-profiling,1018312.0,https://anaconda.org/conda-forge/pandas-profiling,2022-11-23 13:57:11.205,319363.0,1.0,ydataai/pandas-profiling,1206.0,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-12-22 09:32:09.000000,2022-12-22 09:32:06,845.0,591.0,1265.0,2659.0,2022-08-18 10:08:44,8.0.0,,8198161.0,42.0,5551.0,5551.0,199.0,https://pypi.org/project/ipywidgets,8040898.0,https://anaconda.org/conda-forge/ipywidgets,2022-12-07 16:20:59.990,7314418.0,1.0,,7687.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,65833.0,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-11-02 15:52:35.711000,2022-11-02 01:13:43,175.0,100.0,219.0,341.0,,,,3595541.0,35.0,118506.0,118506.0,119.0,https://pypi.org/project/qtconsole,3553426.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3327158.0,1.0,,1909.0,,,,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-12-21 18:27:04.000000,2022-12-21 18:26:26,306.0,654.0,1476.0,2447.0,2022-12-16 17:43:14,0.14.2,,364663.0,43.0,4828.0,4828.0,111.0,https://pypi.org/project/panel,349249.0,https://anaconda.org/conda-forge/panel,2022-12-17 16:09:22.853,770742.0,2.0,,2487.0,,,,,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-12-20 08:15:52.186000,2022-12-19 12:27:33,493.0,454.0,598.0,1424.0,2022-12-19 11:58:05,7.2.7,157.0,20100248.0,44.0,180153.0,180153.0,254.0,https://pypi.org/project/nbconvert,19979430.0,https://anaconda.org/conda-forge/nbconvert,2022-12-20 08:15:52.186,9665227.0,1.0,,,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-12-07 08:22:00.000000,2022-10-27 16:02:31,324.0,197.0,328.0,1316.0,2022-10-19 07:57:17,0.17.2,,236340.0,65.0,3359.0,3359.0,81.0,https://pypi.org/project/ipyleaflet,173671.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,939668.0,1.0,,1144.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,50775.0,,,,,,,,,,,,
8,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,,2015-04-09 07:44:14.000,2022-12-21 19:44:05.000000,2022-12-20 16:30:00,317.0,218.0,217.0,530.0,2022-12-20 16:30:20,6.19.4,897.0,12864962.0,51.0,212018.0,212018.0,161.0,https://pypi.org/project/ipykernel,12858464.0,https://anaconda.org/anaconda/ipykernel,2022-09-06 16:04:23.662,548343.0,1.0,,,,,,8.0,,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-12-14 23:06:35.000000,2022-12-14 23:06:38,350.0,46.0,2064.0,2369.0,2022-08-01 21:01:18,8.2.3,,1191.0,77.0,456.0,456.0,232.0,https://pypi.org/project/nikola,1191.0,,,,1.0,,10298.0,,,,,,,,,,,,,,,
