,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-02-14 14:15:59.000000,2024-02-08 09:32:35,4285.0,1593.0,5657.0,16085.0,2021-01-30 02:36:56,7.18.1,320759.0,38013519.0,95.0,504810.0,504810.0,980.0,https://pypi.org/project/ipython,37349306.0,https://anaconda.org/conda-forge/ipython,2024-02-01 14:09:19.226,25805086.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,35,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-02-14 19:40:46.000000,2024-02-13 15:24:16,4412.0,1983.0,2813.0,12017.0,2024-02-13 15:25:48,7.1.0,16625.0,20438500.0,84.0,264800.0,264800.0,645.0,https://pypi.org/project/notebook,20025441.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4043965.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1067.0,32178497.0,8.0,,,,,,,,,,,
3,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-15 13:01:33.000000,2024-02-15 13:01:32,4091.0,720.0,6821.0,18579.0,,,,4375270.0,58.0,83431.0,83431.0,682.0,https://pypi.org/project/bokeh,4071328.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13373450.0,1.0,,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-02-13 19:21:14.000000,2024-02-13 09:33:32,1584.0,203.0,556.0,11820.0,2024-01-08 15:03:46,4.6.4,45.0,545624.0,55.0,2433.0,2433.0,118.0,https://pypi.org/project/pandas-profiling,540977.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,418312.0,1.0,,,,,,,ydataai/ydata-profiling,1371.0,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-02-09 01:49:53.000000,2024-02-09 01:49:51,524.0,503.0,644.0,1630.0,2024-02-07 13:42:05,7.16.0,992.0,24057485.0,69.0,254657.0,254657.0,271.0,https://pypi.org/project/nbconvert,23645792.0,https://anaconda.org/conda-forge/nbconvert,2024-02-07 17:28:28.248,16055400.0,1.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-02-15 10:50:27.000000,2024-02-15 02:26:07,349.0,247.0,238.0,601.0,2024-02-07 13:43:16,6.29.2,2118.0,21621708.0,74.0,332854.0,332854.0,181.0,https://pypi.org/project/ipykernel,21612986.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,857222.0,1.0,,,,,,10.0,,,,,,,,,,,
7,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-02-14 11:28:07.000000,2024-02-08 15:59:34,600.0,586.0,740.0,3626.0,2024-01-26 21:10:26,1.0.0,,74857.0,43.0,12650.0,12650.0,136.0,https://pypi.org/project/jupyter-book,74857.0,,,,1.0,,,,,,7.0,,1527.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-01-26 10:55:56.000000,2024-01-26 10:55:56,344.0,234.0,347.0,1440.0,2024-01-23 17:51:37,0.18.2,,180012.0,70.0,7258.0,7258.0,87.0,https://pypi.org/project/ipyleaflet,140164.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1102515.0,1.0,,,,,,,,1171.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,15348.0,,,,,,
9,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,186.0,108.0,230.0,388.0,,,,5312837.0,41.0,163843.0,163843.0,122.0,https://pypi.org/project/qtconsole,5207864.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4618825.0,1.0,,,,,,,,1971.0,,,,,,,,,
