,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
28,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-06-09 09:47:46.784000,2021-06-08 20:38:53.000000,341.0,119.0,250.0,993.0,1135.0,2021-06-08 20:42:44.000000,0.19.0,,45597.0,14.0,191.0,191.0,53.0,https://pypi.org/project/sparkmagic,44918.0,https://anaconda.org/conda-forge/sparkmagic,2021-06-09 09:47:46.784000,31258.0,1.0,,,,,,,,,,1.0,,,,,,,
29,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,25,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-06-02 09:01:24.000000,2021-06-02 09:01:23.000000,28.0,19.0,47.0,65.0,197.0,,,,10231006.0,11.0,20591.0,20591.0,20.0,https://pypi.org/project/nbclient,10147496.0,https://anaconda.org/conda-forge/nbclient,2021-02-26 10:44:05.167000,1336173.0,1.0,,,,,,,,,,,,,,,,,
30,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,24,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-06-23 16:29:21.497099,2021-06-23 15:59:10.000000,2302.0,55.0,594.0,6347.0,2062.0,,,,132464.0,,,,200.0,,,,,,2.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2021-06-23 16:29:21.497099,302.0,9404964.0,,BSD-3-Clause,,,,,,,,,,
31,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,24,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-06-24 13:39:10.000000,2021-06-24 01:39:20.000000,364.0,53.0,356.0,3410.0,4547.0,,,,3927.0,,193.0,193.0,64.0,https://pypi.org/project/perspective-python,2103.0,,,,1.0,,,,,,@finos/perspective-jupyterlab,Apache-2.0,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1824.0,,,,,,,,
32,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-04-29 15:35:53.000000,2021-04-29 10:13:29.000000,354.0,127.0,279.0,3043.0,737.0,,,,10652.0,9.0,1506.0,1506.0,39.0,https://pypi.org/project/RISE,6651.0,https://anaconda.org/conda-forge/rise,2021-03-11 13:00:21.741000,160055.0,2.0,,,,,,,,,,,,,,,,,
33,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2021-06-11 10:10:54.000000,2021-05-25 03:40:04.000000,280.0,46.0,245.0,2818.0,1240.0,2021-02-23 21:48:06.000000,1.1.13,,41981.0,13.0,,,58.0,https://pypi.org/project/nbdev,41981.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,
34,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,24,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000000,2021-06-24 03:13:51.456000,2021-06-24 02:29:46.000000,186.0,28.0,338.0,2453.0,441.0,2021-06-10 03:43:11.000000,1.49.0,,15583.0,100.0,177.0,177.0,15.0,https://pypi.org/project/dtale,11586.0,https://anaconda.org/conda-forge/dtale,2021-06-24 03:13:51.456000,63966.0,2.0,,,,,,,LGPL-2.1,,,,,,,,,,
35,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,24,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-06-24 04:43:29.000000,2021-06-23 16:59:19.000000,333.0,305.0,515.0,2297.0,1255.0,2021-06-05 22:24:06.000000,0.11.1,,14544.0,30.0,,,79.0,https://pypi.org/project/jupyter-book,14544.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
36,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,24,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2021-02-18 18:12:02.241000,2021-02-18 16:55:13.000000,63.0,14.0,26.0,531.0,81.0,2021-02-18 17:08:16.000000,2.2.0,,150657.0,14.0,1013.0,1013.0,15.0,https://pypi.org/project/watermark,147659.0,https://anaconda.org/conda-forge/watermark,2021-02-18 18:12:02.241000,167908.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
37,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,24,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-06-17 06:53:47.000000,2021-03-31 14:20:34.000000,34.0,18.0,243.0,504.0,1174.0,2020-12-10 14:31:28.000000,0.3.7,,71337.0,28.0,77.0,77.0,11.0,,,,,,1.0,,,,,,@jupyterlab/debugger,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/debugger,71337.0,,,,,,,,
