,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,commit_count,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
74,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,20,chmp/ipytest,ipytest,,https://github.com/chmp/ipytest,MIT,2016-02-07 20:24:41.000,2022-07-13 17:10:50.000000,2022-02-20 08:36:22,19.0,2.0,48.0,234.0,2022-02-12 12:24:45,0.1.0,,41094.0,16.0,197.0,197.0,4.0,https://pypi.org/project/ipytest,41094.0,,,,2.0,,,,,,,,,,,8.0,,,,,,
75,jupyter-console,True,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,20,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,,2015-04-09 06:58:55.000,2022-06-22 16:00:27.000000,2022-06-22 16:00:22,128.0,56.0,88.0,200.0,2022-06-22 16:01:33,6.4.4,61.0,3296442.0,4.0,,,59.0,https://pypi.org/project/jupyter-console,3296430.0,,,,3.0,,,,,,,,,,,,,,,,,
76,BatchSpawner,True,Custom Spawner for Jupyterhub to start servers in batch scheduled..,https://github.com/jupyterhub/batchspawner,,hub-spawners,20,jupyterhub/batchspawner,batchspawner,,https://github.com/jupyterhub/batchspawner,BSD-3-Clause,2015-10-27 03:53:10.000,2022-08-23 23:10:36.000000,2022-04-14 12:04:26,98.0,49.0,73.0,139.0,2021-04-07 15:14:35,1.1.0,,3255.0,9.0,21.0,21.0,40.0,https://pypi.org/project/batchspawner,3255.0,,,,2.0,,352.0,,,,,,,,,,,,,,,
77,Hydrogen,True,"Run code interactively, inspect data, and plot. All the power of Jupyter..",https://github.com/nteract/hydrogen,,notebook-environments,19,nteract/hydrogen,,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2022-06-18 22:42:58.000000,2022-03-25 21:26:26,315.0,165.0,1096.0,3819.0,2021-06-02 09:44:54,2.16.3,,,90.0,,,89.0,,,,,,3.0,,2361.0,,,,,,,,,,,,,,,
78,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,19,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2022-08-16 19:52:00.000000,2022-08-16 17:57:52,267.0,23.0,88.0,2623.0,,,,,34.0,554.0,554.0,24.0,,,,,,3.0,,,,,,,,,,,,,,,,,
79,IJulia.jl,True,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,19,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,MIT,2013-03-05 18:20:21.000,2022-06-23 23:10:23.000000,2022-06-23 23:08:06,383.0,102.0,689.0,2493.0,2022-04-11 14:26:39,1.23.3,,,42.0,,,101.0,,,,,,2.0,,705.0,,,,,,,,,,,,,,,
80,xeus-cling,True,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2022-08-14 23:00:09.000000,2022-01-17 13:34:34,245.0,135.0,116.0,2321.0,,,,3524.0,15.0,,,20.0,,,https://anaconda.org/conda-forge/xeus-cling,2022-03-08 22:30:52.790,155095.0,2.0,,472.0,,,,,,,,,,,,,,,
81,docker-python,True,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,19,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2022-08-23 00:18:15.157031,2022-08-22 19:01:20,808.0,12.0,283.0,2172.0,2022-08-22 23:56:58,d2a6c2d532bec212663d8441ccf7fe2bf2d28996fceb3a0de8a7c8573462dece,,2196.0,81.0,,,146.0,,,,,,3.0,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2022-08-23 00:18:15.157031,164.0,193287.0,,,,,,,
82,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,19,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2022-08-23 18:48:22.000000,2022-08-22 11:27:39,494.0,162.0,404.0,2041.0,,,,23142.0,,7.0,7.0,91.0,,,,,,3.0,,,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2022-08-22 11:29:43.791515,29.0,2777061.0,,,,,,,
83,IJavascript,True,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,19,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,,2015-02-02 15:46:34.000,2022-01-24 13:30:29.000000,2022-01-24 13:30:28,146.0,53.0,177.0,1891.0,2021-11-15 23:43:33,5.2.1,,2433.0,33.0,63.0,63.0,15.0,,,,,,2.0,ijavascript,331.0,https://www.npmjs.com/package/ijavascript,2433.0,,,,,,,,,,,,,
