,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
10,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-07-24 14:49:07.000000,2022-07-24 14:48:08,291.0,43.0,429.0,3564.0,614.0,2022-06-17 17:53:49,2.6.0,,85979.0,111.0,430.0,430.0,27.0,https://pypi.org/project/dtale,81350.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,138889.0,1.0,,,,,,,,,,,,,,,,
11,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,27,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2022-07-26 13:33:49.000000,2022-07-26 13:21:25,221.0,168.0,128.0,1777.0,974.0,2018-06-11 13:56:17,0.4.5,,83824.0,16.0,833.0,833.0,41.0,https://pypi.org/project/ipyvolume,76097.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,371459.0,1.0,ipyvolume,https://www.npmjs.com/package/ipyvolume,2099.0,widgetti/ipyvolume,,,,,,,,,,,,
12,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-07-28 00:45:28.000000,2022-06-12 04:14:20,247.0,100.0,40.0,1549.0,285.0,,,,133678.0,3.0,3305.0,3305.0,53.0,https://pypi.org/project/ipython-sql,131460.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,159740.0,1.0,,,,,,,,,,,,,,,,
13,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-07-20 10:12:15.000000,2022-07-07 05:42:06,188.0,113.0,142.0,1321.0,,2022-04-25 11:58:24,0.9.1,,181682.0,26.0,3592.0,3592.0,28.0,https://pypi.org/project/ipympl,155174.0,,,,1.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,26508.0,,,,,,,,,,,,,
14,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-08-04 00:35:20.000000,2022-07-28 14:56:53,228.0,86.0,442.0,1132.0,1786.0,2022-07-28 14:54:16,0.38.0,,128326.0,42.0,14.0,14.0,76.0,https://pypi.org/project/jupyterlab-git,123426.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-07-29 10:35:26.231,215608.0,1.0,,,,,,,,,,,,,,,,
15,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,27,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2022-06-28 17:24:24.000000,2022-06-28 17:24:21,207.0,38.0,23.0,788.0,156.0,2022-04-01 20:13:44,0.4.2,77.0,419847.0,11.0,1750.0,1750.0,10.0,https://pypi.org/project/jupyter-dash,419845.0,,,,1.0,,,,,,,,,,,,,,,,
16,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,26,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,,2015-04-09 06:58:03.000,2022-08-04 13:58:24.000000,2022-08-04 06:03:30,3746.0,1987.0,2453.0,10188.0,,2022-06-15 01:21:43,6.4.12,8725.0,11226944.0,38.0,9.0,9.0,612.0,https://pypi.org/project/notebook,10883944.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2212668.0,1.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-08-04 08:33:06.018851,937.0,27266640.0,-11.0,,,,,,
17,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-07-03 17:57:24.000000,2022-06-28 07:18:54,356.0,105.0,239.0,4815.0,,,,,893986.0,17.0,2328.0,2328.0,101.0,https://pypi.org/project/papermill,888015.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,286643.0,2.0,,,,,,,,,,,,,,,,
18,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,26,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-07-25 11:39:08.000000,2022-07-25 11:39:08,437.0,210.0,359.0,3328.0,3525.0,2022-01-07 12:38:39,0.12.32,,126208.0,56.0,34.0,34.0,59.0,https://pypi.org/project/bqplot,102882.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,1008577.0,2.0,bqplot,https://www.npmjs.com/package/bqplot,9879.0,,,,,,,,,,,,,
19,JupyterLab LSP,True,Coding assistance for JupyterLab (code navigation + hover..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,26,krassowski/jupyterlab-lsp,,,https://github.com/jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,2019-08-17 11:34:22.000,2022-07-20 13:52:57.000000,2022-06-25 01:42:59,103.0,155.0,263.0,1297.0,2391.0,2022-03-21 19:31:19,3.10.1,,4489.0,41.0,200.0,200.0,41.0,,,,,,1.0,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,4489.0,jupyter-lsp/jupyterlab-lsp,,,,,,,,,,,,
20,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2022-07-19 16:53:06.000000,2022-05-02 22:12:52,383.0,124.0,271.0,1150.0,1212.0,2022-05-02 22:17:21,0.20.0,,40556.0,17.0,248.0,248.0,57.0,https://pypi.org/project/sparkmagic,39738.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,49097.0,1.0,,,,,,,,,,,,,,,,
21,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,26,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,,2020-01-13 17:29:49.000,2022-08-01 23:42:34.000000,2022-07-05 06:47:44,44.0,27.0,62.0,101.0,,2022-07-01 09:13:33,0.6.6,81.0,10155527.0,25.0,64107.0,64107.0,33.0,https://pypi.org/project/nbclient,9994121.0,https://anaconda.org/conda-forge/nbclient,2022-07-01 15:10:26.686,4842014.0,1.0,,,,,,,,,,,,,,,,
22,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2022-08-04 13:05:24.000000,2022-08-02 13:10:28,1667.0,119.0,2005.0,7067.0,,,,,185734.0,32.0,1825.0,1825.0,280.0,https://pypi.org/project/jupyterhub,150331.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,621983.0,1.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-08-02 13:25:01.740023,312.0,2656868.0,,,,,,,
23,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2022-07-25 16:16:57.000000,2022-07-23 17:29:08,526.0,157.0,1520.0,5857.0,10501.0,2021-01-26 05:18:38,0.28.0,1359203.0,20782.0,66.0,,,175.0,https://pypi.org/project/nteract_on_jupyter,2660.0,,,,1.0,,,,,,,,,,,,,,,,
24,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,25,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2022-08-04 13:34:59.000000,2022-08-04 13:34:59,415.0,241.0,364.0,4225.0,,2022-07-18 20:31:49,0.3.6,283.0,52711.0,59.0,7144.0,7144.0,61.0,https://pypi.org/project/voila,45256.0,https://anaconda.org/conda-forge/voila,2022-07-18 23:28:25.603,196869.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,3151.0,,,,,,,,,,,,,
25,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,159.0,164.0,260.0,1027.0,2157.0,2019-12-04 15:06:08,1.1.18,,12783.0,19.0,239.0,239.0,33.0,https://pypi.org/project/pixiedust,11626.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,38182.0,1.0,,,,,,,,,,,,,,,,
26,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,24,finos/perspective,perspective-python,,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-08-04 07:20:57.000000,2022-08-02 15:01:01,481.0,73.0,464.0,4772.0,5314.0,,,,4700.0,,268.0,268.0,72.0,https://pypi.org/project/perspective-python,3305.0,,,,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1395.0,,,,,,,,,,,,,
27,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2022-06-30 09:25:59.000000,2022-03-28 15:25:07,381.0,142.0,284.0,3324.0,751.0,,,,8973.0,9.0,1931.0,1931.0,41.0,https://pypi.org/project/RISE,5028.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,213080.0,2.0,,,,,,,,,,,,,,,,
28,ipycanvas,True,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,24,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,BSD-3-Clause,2019-07-06 12:55:29.000,2022-07-21 03:28:28.000000,2022-06-22 12:18:37,50.0,42.0,69.0,617.0,438.0,2022-05-03 07:55:27,0.12.0,,15186.0,30.0,721.0,721.0,18.0,https://pypi.org/project/ipycanvas,13057.0,https://anaconda.org/conda-forge/ipycanvas,2022-05-16 17:29:42.213,74538.0,2.0,,,,,,,,,,,,,,,,
29,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,23,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-08-04 11:09:09.000000,2022-08-04 11:05:56,347.0,31.0,435.0,3513.0,770.0,2022-08-03 04:03:04,2.1.1,,85844.0,7.0,,,12.0,https://pypi.org/project/nbdev,85844.0,,,,1.0,,,,,,,,,,,,,,,,
30,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,23,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2022-08-01 16:41:36.000000,2022-07-21 16:32:12,492.0,448.0,659.0,2984.0,1375.0,2022-06-03 14:09:27,0.13,,42791.0,37.0,,,111.0,https://pypi.org/project/jupyter-book,42791.0,,,,2.0,,,,,,,,,,,,,,,,
31,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2022-07-05 16:29:00.000000,2022-07-05 16:29:00,131.0,63.0,221.0,2262.0,1965.0,,,,309323.0,21.0,77.0,77.0,40.0,https://pypi.org/project/nbdime,246894.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,588588.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,53774.0,,,,,,,,,,,,,
32,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,23,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,BSD-3-Clause,2014-07-30 03:46:33.000,2022-05-30 23:29:14.790000,2022-05-27 13:53:40,79.0,16.0,28.0,656.0,97.0,2022-05-27 13:54:28,2.3.1,,28330.0,16.0,1548.0,1548.0,19.0,https://pypi.org/project/watermark,25266.0,https://anaconda.org/conda-forge/watermark,2022-05-30 23:29:14.790,214528.0,2.0,,,,,,,,,,,,,,,,
33,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,23,stencila/stencila,,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2022-08-04 11:57:26.000000,2022-07-29 06:53:17,33.0,65.0,497.0,646.0,9651.0,2022-07-29 06:53:21,1.16.0,3125.0,582.0,100.0,17.0,17.0,34.0,,,,,,2.0,stencila,https://www.npmjs.com/package/stencila,209.0,,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16460.0,,,,,,,
34,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2022-07-28 13:13:46.000000,2022-01-05 15:51:17,41.0,37.0,61.0,383.0,446.0,,,,124188.0,8.0,1589.0,1589.0,29.0,https://pypi.org/project/nbval,120740.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985,220700.0,1.0,,,,,,,,,,,,,,,,
35,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2022-08-04 02:42:23.000000,2022-08-04 02:42:20,229.0,141.0,182.0,281.0,,2022-06-08 20:05:27,7.3.4,313.0,11970076.0,19.0,,,119.0,https://pypi.org/project/jupyter-client,11970050.0,,,,1.0,,,,,,,,,,6.0,,,,,,
36,ipywebrtc,True,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,23,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2022-07-20 12:23:11.000000,2021-03-29 11:25:59,33.0,31.0,20.0,209.0,209.0,,,,80986.0,8.0,556.0,556.0,9.0,https://pypi.org/project/ipywebrtc,76232.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469,261411.0,2.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,398.0,,,,,,,,,,,,,
37,ipycytoscape,True,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,23,QuantStack/ipycytoscape,,conda-forge/ipycytoscape,https://github.com/cytoscape/ipycytoscape,BSD-3-Clause,2020-02-05 13:46:52.000,2022-07-21 01:25:53.000000,2022-05-20 15:19:36,53.0,59.0,99.0,199.0,709.0,2022-03-28 22:52:15,1.3.1,3.0,1533.0,19.0,77.0,77.0,32.0,,,https://anaconda.org/conda-forge/ipycytoscape,2022-04-05 02:28:16.580,44478.0,2.0,,,,cytoscape/ipycytoscape,,,,,,,,,,,,
38,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,22,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2022-08-04 08:41:07.171747,2022-08-04 07:15:25,2594.0,40.0,724.0,7143.0,,,,,1011872.0,,,,221.0,,,,,,2.0,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-08-04 08:41:07.171747,356.0,86009155.0,,,,,,,
39,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,22,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,853.0,76.0,76.0,6981.0,264.0,2019-07-01 16:35:20,1.0.0,,241933.0,4.0,,,28.0,https://pypi.org/project/facets-overview,241933.0,,,,2.0,,,,,,,,,,,,,,,,
40,gophernotes,True,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,MIT,2016-01-22 19:22:16.000,2022-07-08 21:14:08.000000,2022-07-08 21:12:48,224.0,50.0,124.0,3332.0,400.0,2022-05-31 17:34:28,0.7.5,40.0,1084.0,17.0,8.0,8.0,29.0,,,,,,1.0,,,,,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,85653.0,,github.com/gopherdata/gophernotes,,,,,
41,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,22,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2022-03-15 15:20:24.000000,2020-04-07 18:56:49,388.0,148.0,125.0,2873.0,405.0,2020-04-07 16:34:17,1.3.1,,71535.0,21.0,,,30.0,https://pypi.org/project/qgrid,64170.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336,350566.0,2.0,qgrid,https://www.npmjs.com/package/qgrid,874.0,,,,,,,,,,,,,
42,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,22,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2021-11-18 19:15:17.218000,2021-01-21 14:02:57,370.0,349.0,4174.0,2672.0,1689.0,2018-12-04 18:27:21,1.3.0,31.0,23260.0,39.0,,,43.0,https://pypi.org/project/beakerx,11439.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218,527294.0,2.0,beakerx,https://www.npmjs.com/package/beakerx,492.0,,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,248803.0,,,,,,,
43,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,22,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2022-08-01 23:42:45.000000,2022-03-15 12:00:47,493.0,162.0,403.0,2033.0,1409.0,,,,23138.0,,7.0,7.0,89.0,,,,,,2.0,,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2022-03-15 12:02:39.244788,29.0,2776657.0,,,,,,,
44,elyra,True,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,22,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2022-08-04 10:39:19.000000,2022-08-02 23:29:04,252.0,224.0,1246.0,1406.0,,2022-07-18 16:35:45,3.10.1,,4663.0,21.0,32.0,32.0,53.0,https://pypi.org/project/elyra,4011.0,https://anaconda.org/conda-forge/elyra,2022-07-30 00:48:19.676,15662.0,1.0,,,,,,,,,,,,,,,,
