,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-09-12 22:21:00.000000,2023-09-11 07:27:46,4270.0,1550.0,5624.0,15923.0,2021-01-30 02:36:56,7.18.1,320378.0,28082360.0,87.0,446246.0,446246.0,962.0,https://pypi.org/project/ipython,27400756.0,https://anaconda.org/conda-forge/ipython,2023-09-01 15:06:10.851,23084554.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-09-14 12:19:27.000000,2023-09-12 09:37:42,1507.0,181.0,534.0,11112.0,2023-08-11 15:54:46,4.5.1,,890667.0,50.0,1299.0,1299.0,112.0,https://pypi.org/project/pandas-profiling,886008.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,396084.0,1.0,ydataai/ydata-profiling,1330.0,,,,,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-09-14 11:37:13.000000,2023-09-11 18:32:53,515.0,482.0,634.0,1550.0,2023-08-29 13:58:20,7.8.0,690.0,20207236.0,57.0,228445.0,228445.0,265.0,https://pypi.org/project/nbconvert,19787953.0,https://anaconda.org/conda-forge/nbconvert,2023-08-29 18:02:57.981,14255203.0,1.0,,,,,,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-09-14 11:37:22.000000,2023-09-13 23:12:18,4020.0,740.0,6660.0,17922.0,,,,5870987.0,53.0,75779.0,75779.0,669.0,https://pypi.org/project/bokeh,5548830.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12564160.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-09-14 01:52:52.000000,2023-09-14 01:52:52,334.0,236.0,230.0,575.0,2023-09-04 16:37:34,6.25.2,1787.0,17390835.0,67.0,286913.0,286913.0,173.0,https://pypi.org/project/ipykernel,17382483.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,779249.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-09-01 21:42:28.364000,2023-09-01 15:16:27,183.0,104.0,225.0,374.0,,,,4791131.0,39.0,147930.0,147930.0,120.0,https://pypi.org/project/qtconsole,4677147.0,https://anaconda.org/conda-forge/qtconsole,2023-09-01 21:42:28.364,4445393.0,1.0,,1944.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-09-12 12:38:29.000000,2023-09-12 12:38:29,4071.0,1967.0,2730.0,11560.0,2023-08-30 14:31:54,7.0.3,14415.0,17580350.0,70.0,221.0,221.0,640.0,https://pypi.org/project/notebook,17227940.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3708554.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-09-11 04:43:18.695140,1041.0,30893657.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-09-11 12:39:04.948000,2023-09-11 08:59:57,332.0,225.0,341.0,1401.0,2023-06-02 07:09:46,0.17.3,,224120.0,67.0,5214.0,5214.0,84.0,https://pypi.org/project/ipyleaflet,154265.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1063703.0,1.0,,1149.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,43263.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-09-13 03:14:20.000000,2023-07-26 09:01:16,582.0,562.0,725.0,3489.0,2023-03-14 01:24:58,0.15.1,,126296.0,42.0,11130.0,11130.0,126.0,https://pypi.org/project/jupyter-book,126296.0,,,,1.0,,1424.0,6.0,,,,,,,,,,,,,,
