,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
102,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,18,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000000,2021-10-14 05:12:32.000000,2021-09-30 19:08:28.000000,47.0,8.0,68.0,274.0,,2021-03-28 03:19:03.000000,0.3.1,,11218.0,13.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,3962.0,,,,2.0,,,,,,jupyterlab_templates,Apache-2.0,https://www.npmjs.com/package/jupyterlab_templates,7256.0,,,,,,,,
103,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,18,executablebooks/thebe,,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000000,2021-11-08 08:09:44.000000,2021-11-01 13:18:16.000000,52.0,55.0,80.0,255.0,668.0,2021-10-26 10:04:08.000000,0.8.2,,,5.0,5.0,5.0,26.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
104,scrapbook,True,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,18,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000000,2021-05-07 07:52:57.000000,2021-04-28 06:36:37.000000,23.0,23.0,25.0,226.0,,,,,81497.0,,73.0,73.0,11.0,https://pypi.org/project/nteract-scrapbook,81497.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
105,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,18,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000000,2021-11-08 21:42:16.000000,2021-11-08 21:42:15.000000,43.0,10.0,70.0,177.0,403.0,2017-06-02 21:19:27.000000,0.5.0,76.0,1351.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430000,74263.0,2.0,,,,,,,Apache-2.0,,,,,,,,,,
106,nbgitpuller,True,Jupyter server extension to sync a git repository one-way to a..,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,18,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-11-10 00:11:33.000000,2021-11-07 15:31:08.000000,51.0,41.0,68.0,147.0,,,,,869.0,10.0,391.0,391.0,23.0,https://pypi.org/project/nbgitpuller,,https://anaconda.org/conda-forge/nbgitpuller,2021-09-03 01:35:54.657000,25222.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
107,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,18,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000000,2021-10-08 10:06:16.000000,2021-10-08 10:02:41.000000,17.0,8.0,33.0,132.0,150.0,2021-10-08 10:06:16.000000,0.7.2,,11293.0,7.0,1.0,1.0,6.0,,,,,,2.0,,,,,,@ijmbarr/jupyterlab_spellchecker,BSD-3-Clause,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,11293.0,,jupyterlab-contrib/spellchecker,,,,,,
108,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,18,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,2019-12-20 14:32:14.000000,2021-11-06 14:17:50.000000,2021-11-06 14:17:25.000000,7.0,2.0,4.0,49.0,112.0,2021-11-06 14:18:45.000000,0.4.0,,161700.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,161700.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
109,ipyvue,True,Jupyter widgets base for Vue libraries.,https://github.com/mariobuikhuizen/ipyvue,,widgets,18,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/mariobuikhuizen/ipyvue,2019-08-11 10:10:05.000000,2021-10-28 12:53:01.039000,2021-10-28 08:26:10.000000,10.0,2.0,3.0,35.0,85.0,2021-01-15 09:49:03.000000,1.5.0,,48677.0,18.0,16.0,16.0,3.0,https://pypi.org/project/ipyvue,47268.0,https://anaconda.org/conda-forge/ipyvue,2021-10-28 12:53:01.039000,38048.0,3.0,,,,,,,MIT,,,,,,,,,,
110,IHaskell,True,A Haskell kernel for IPython.,https://github.com/gibiansky/IHaskell,,kernels,17,gibiansky/IHaskell,,,https://github.com/gibiansky/IHaskell,2013-08-26 07:16:09.000000,2021-11-11 01:06:01.000000,2021-11-10 16:05:11.000000,234.0,28.0,687.0,2304.0,2080.0,2015-03-26 05:06:25.000000,0.6,,19.0,1.0,,,104.0,,,,,,2.0,,,,,,ihaskell_jupyterlab,MIT,https://www.npmjs.com/package/ihaskell_jupyterlab,19.0,,,,,,,,
111,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,17,csurfer/pyheatmagic,py-heat-magic,,https://github.com/csurfer/pyheatmagic,2017-08-18 20:35:01.000000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13.000000,21.0,2.0,3.0,948.0,34.0,,,,3096.0,,24.0,24.0,3.0,https://pypi.org/project/py-heat-magic,3096.0,,,,2.0,,,,,,,MIT,,,,,,,,,,
112,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,17,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,2019-08-12 07:35:46.000000,2021-07-12 20:54:11.000000,2021-06-14 15:04:41.000000,175.0,8.0,14.0,935.0,196.0,2019-09-02 14:01:33.000000,0.1.2,,5752.0,1.0,,,13.0,https://pypi.org/project/pyforest,5752.0,,,,2.0,,,,,,,MIT,,,,,,,,,,
113,gmaps,True,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,17,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45.000000,141.0,62.0,136.0,721.0,1380.0,2016-01-02 19:06:03.000000,0.2,,6355.0,20.0,1.0,1.0,16.0,https://pypi.org/project/gmaps,,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940000,247448.0,3.0,,,,,,jupyter-gmaps,BSD-3-Clause,https://www.npmjs.com/package/jupyter-gmaps,1773.0,,,,,,,,
114,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,17,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,2018-01-31 16:38:30.000000,2021-08-31 21:53:11.000000,2021-06-29 12:29:51.000000,56.0,39.0,25.0,506.0,101.0,,,,5615.0,,145.0,145.0,15.0,,,,,,2.0,,,,,,jupyterlab-drawio,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-drawio,5615.0,,,,,,,,
115,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,17,rapidsai/jupyterlab-nvdashboard,jupyterlab-nvdashboard,,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000000,2021-10-12 08:51:06.000000,2021-10-12 08:51:05.000000,49.0,22.0,28.0,432.0,,2021-05-25 17:57:52.000000,0.6.0,,9569.0,2.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,2846.0,,,,2.0,,,,,,jupyterlab-nvdashboard,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-nvdashboard,6723.0,,,,,,,,
116,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,17,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000000,2021-08-31 17:28:38.000000,2021-08-31 17:28:35.000000,60.0,31.0,69.0,416.0,525.0,,,,12673.0,,1.0,1.0,22.0,,,,,,2.0,,,,,,@jupyterlab/geojson-extension,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/geojson-extension,12673.0,,,,,,,,
117,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-09-21 15:56:43.000000,2021-09-21 15:56:30.000000,63.0,51.0,39.0,388.0,632.0,,,,237.0,,3.0,3.0,27.0,,,,,,3.0,,,,,,@nteract/commuter,BSD-3-Clause,https://www.npmjs.com/package/@nteract/commuter,237.0,,,,,,,,
118,Kernel Gateway,True,Jupyter Kernel Gateway.,https://github.com/jupyter/kernel_gateway,,kernels,17,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter/kernel_gateway,2015-09-21 15:34:11.000000,2021-08-24 23:56:48.000000,2021-08-24 23:55:59.000000,108.0,14.0,161.0,368.0,557.0,2021-08-25 00:19:46.000000,2.5.1,104.0,4865.0,9.0,,,43.0,https://pypi.org/project/jupyter-kernel-gateway,4863.0,,,,2.0,,,,,,,,,,,,,,,,,
119,JupyterLab Google Drive,True,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,17,jupyterlab/jupyterlab-google-drive,,,https://github.com/jupyterlab/jupyterlab-google-drive,2016-12-17 01:40:45.000000,2021-08-10 23:33:48.000000,2021-08-10 23:33:46.000000,66.0,30.0,65.0,347.0,513.0,2018-02-05 18:54:22.000000,0.11.1,,4446.0,12.0,2.0,2.0,14.0,,,,,,2.0,,,,,,@jupyterlab/google-drive,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/google-drive,4446.0,,,,,,,,
120,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,17,nbQA-dev/nbQA,nbqa,,https://github.com/nbQA-dev/nbQA,2020-07-11 15:30:54.000000,2021-11-08 18:07:07.000000,2021-11-08 18:07:05.000000,21.0,5.0,227.0,346.0,569.0,,,,13514.0,,,,16.0,https://pypi.org/project/nbqa,13514.0,,,,3.0,,,,,,,MIT,,,,,,,,,,
121,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,17,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2021-11-08 15:01:15.000000,2021-11-02 07:11:19.000000,51.0,10.0,81.0,316.0,537.0,,,,7133.0,26.0,,,10.0,https://pypi.org/project/vega,,https://anaconda.org/conda-forge/vega,2021-08-11 21:51:27.565000,463649.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
