,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-06-20 13:08:39.000000,2023-06-20 11:42:27,4250.0,1538.0,5601.0,15851.0,2021-01-30 02:36:56,7.18.1,320178.0,24138569.0,86.0,416282.0,416282.0,950.0,https://pypi.org/project/ipython,23895022.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,20711799.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-06-22 13:04:12.000000,2023-06-19 18:54:56,506.0,476.0,625.0,1514.0,2023-06-19 18:55:13,7.6.0,481.0,16746292.0,52.0,213847.0,213847.0,260.0,https://pypi.org/project/nbconvert,16337810.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,12662689.0,1.0,,,,,,,,,,,,,,,,,
3,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-22 12:05:28.000000,2023-06-19 16:35:16,4016.0,703.0,6617.0,17686.0,,,,3446956.0,50.0,71181.0,71181.0,660.0,https://pypi.org/project/bokeh,3290023.0,https://anaconda.org/conda-forge/bokeh,2023-06-16 13:23:47.229,11613046.0,1.0,,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-06-21 12:55:41.000000,2023-06-21 12:32:35,1459.0,161.0,522.0,10750.0,2023-06-21 12:39:17,4.3.1,,956398.0,46.0,708.0,708.0,110.0,https://pypi.org/project/pandas-profiling,951811.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,376174.0,1.0,ydataai/ydata-profiling,1309.0,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-06-21 06:48:57.000000,2023-06-12 20:23:25,330.0,232.0,228.0,556.0,2023-06-12 20:23:49,6.23.2,1548.0,14806926.0,62.0,264124.0,264124.0,168.0,https://pypi.org/project/ipykernel,14798992.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,716499.0,1.0,,,10.0,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-06-11 07:57:11.000000,2023-06-11 07:57:10,575.0,546.0,724.0,3412.0,2023-03-14 01:24:58,0.15.1,,103576.0,42.0,10311.0,10311.0,125.0,https://pypi.org/project/jupyter-book,103576.0,,,,1.0,,1422.0,7.0,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-06-20 08:01:47.000000,2023-06-20 05:06:07,887.0,638.0,1299.0,2817.0,2023-03-22 11:45:50,8.0.5,,8252892.0,48.0,7508.0,7508.0,206.0,https://pypi.org/project/ipywidgets,8087375.0,https://anaconda.org/conda-forge/ipywidgets,2023-06-16 13:17:27.059,9909710.0,1.0,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,50288.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-06-05 07:39:09.482000,2023-06-02 07:03:26,325.0,215.0,340.0,1375.0,2023-06-02 07:09:46,0.17.3,,187615.0,66.0,4586.0,4586.0,83.0,https://pypi.org/project/ipyleaflet,130461.0,https://anaconda.org/conda-forge/ipyleaflet,2023-06-05 07:39:09.482,1029545.0,1.0,,1146.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45042.0,,,,,,,,,,,
9,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-06-16 13:21:26.060000,2023-05-14 21:34:31,184.0,103.0,224.0,368.0,,,,3140504.0,38.0,138040.0,138040.0,120.0,https://pypi.org/project/qtconsole,3092211.0,https://anaconda.org/conda-forge/qtconsole,2023-06-16 13:21:26.060,4104976.0,1.0,,1939.0,,,,,,,,,,,,,,,
