,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-01-16 10:17:48.000000,2024-01-15 09:12:17,4288.0,1581.0,5650.0,16054.0,2021-01-30 02:36:56,7.18.1,320729.0,29848622.0,94.0,494158.0,494158.0,979.0,https://pypi.org/project/ipython,29175608.0,https://anaconda.org/conda-forge/ipython,2024-01-08 13:16:04.705,25477071.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-18 11:07:00.000000,2024-01-18 11:06:54,4066.0,721.0,6800.0,18495.0,,,,3633780.0,57.0,81934.0,81934.0,680.0,https://pypi.org/project/bokeh,3325025.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13276497.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-01-18 02:27:39.000000,2024-01-18 02:26:18,1570.0,200.0,552.0,11687.0,2024-01-08 15:03:46,4.6.4,35.0,543461.0,55.0,2244.0,2244.0,117.0,https://pypi.org/project/pandas-profiling,538791.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,415697.0,1.0,ydataai/ydata-profiling,1371.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-16 15:32:14.796000,2024-01-16 15:00:49,524.0,499.0,642.0,1612.0,2024-01-16 15:01:05,7.14.2,942.0,19364224.0,67.0,249825.0,249825.0,270.0,https://pypi.org/project/nbconvert,18946903.0,https://anaconda.org/conda-forge/nbconvert,2024-01-16 15:32:14.796,15857612.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-16 14:44:32.000000,2024-01-16 14:44:29,344.0,245.0,237.0,596.0,2024-01-16 14:44:47,6.29.0,2076.0,15917719.0,72.0,324132.0,324132.0,177.0,https://pypi.org/project/ipykernel,15908996.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,848640.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,186.0,108.0,230.0,384.0,,,,3966279.0,41.0,160853.0,160853.0,122.0,https://pypi.org/project/qtconsole,3859177.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4605400.0,1.0,,1971.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-11 08:12:53.000000,2024-01-02 08:27:32,4328.0,1982.0,2794.0,11932.0,2023-10-17 12:42:06,7.0.6,16102.0,15791968.0,78.0,838.0,838.0,645.0,https://pypi.org/project/notebook,15376233.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4004454.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1065.0,31952779.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-01-17 09:49:04.000000,2024-01-16 16:03:19,343.0,230.0,347.0,1437.0,2023-12-15 14:14:28,0.18.1,,144100.0,69.0,6890.0,6890.0,87.0,https://pypi.org/project/ipyleaflet,92402.0,https://anaconda.org/conda-forge/ipyleaflet,2023-12-15 15:24:03.988,1095922.0,1.0,,1170.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,26791.0,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-01-18 13:41:15.000000,2024-01-18 12:56:11,415.0,918.0,2204.0,3692.0,2023-12-20 18:14:26,1.3.6,,570152.0,62.0,9761.0,9761.0,156.0,https://pypi.org/project/panel,540904.0,https://anaconda.org/conda-forge/panel,2023-12-22 13:29:20.614,1257672.0,2.0,,,,,,,,,,,,,,,,,
