,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-23 18:41:43.000000,2021-11-18 21:50:27.000000,3501.0,2009.0,2311.0,9565.0,12116.0,2021-11-16 23:13:34.000000,6.4.6,3052.0,11477422.0,27.0,127830.0,127830.0,567.0,https://pypi.org/project/notebook,11133152.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1679623.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-16 20:12:38.899579,883.0,25260178.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-12-02 13:42:43.000000,2021-12-02 02:10:27.000000,4098.0,1483.0,5303.0,15080.0,25572.0,2021-01-30 02:36:56.000000,7.18.1,318003.0,19334131.0,59.0,236631.0,236631.0,846.0,https://pypi.org/project/ipython,19200172.0,https://anaconda.org/conda-forge/ipython,2021-11-27 02:20:24.865000,8892990.0,,,,,1.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,36,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-12-02 13:33:40.000000,2021-12-02 10:23:30.000000,2100.0,1903.0,4317.0,11634.0,23897.0,2021-11-17 17:09:13.000000,3.2.4,16698.0,4992777.0,243.0,52701.0,52701.0,458.0,https://pypi.org/project/jupyterlab,4917467.0,https://anaconda.org/conda-forge/jupyterlab,2021-11-17 17:27:51.317000,4951545.0,,,,,1.0,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,33,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-12-01 15:36:51.000000,2021-11-25 17:52:32.000000,1178.0,94.0,432.0,8269.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,2691887.0,31.0,5923.0,5923.0,82.0,https://pypi.org/project/pandas-profiling,2689088.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,179170.0,,,,,1.0,MIT,4.0,,,,,,,,,,
5,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-30 17:58:54.000000,2021-11-30 17:58:54.000000,758.0,539.0,1157.0,2370.0,7272.0,2021-02-07 22:09:48.000000,7.6.3,,10653406.0,32.0,2727.0,2727.0,185.0,https://pypi.org/project/ipywidgets,10450557.0,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,4128782.0,,,,,1.0,BSD-3-Clause,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,142132.0,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-11-23 22:18:09.316000,2021-11-23 16:57:45.000000,160.0,96.0,194.0,286.0,1811.0,,,,6739646.0,30.0,88942.0,88942.0,111.0,https://pypi.org/project/qtconsole,6707440.0,https://anaconda.org/conda-forge/qtconsole,2021-11-23 22:18:09.316000,2157856.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
7,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-12-02 03:21:53.000000,2021-11-30 04:17:53.000000,3754.0,687.0,6084.0,15760.0,,,,,1711881.0,44.0,41443.0,41443.0,583.0,https://pypi.org/project/bokeh,1602464.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6127393.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
8,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-12-01 12:10:58.000000,2021-11-23 21:17:54.000000,449.0,387.0,555.0,1222.0,,2019-05-11 04:19:05.000000,5.5.0,,11860937.0,25.0,125836.0,125836.0,234.0,https://pypi.org/project/nbconvert,11782953.0,https://anaconda.org/conda-forge/nbconvert,2021-11-14 13:52:58.823000,5302932.0,,,,,1.0,,,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-12-01 16:30:43.000000,2021-11-30 15:54:28.000000,207.0,441.0,1070.0,1480.0,1738.0,2021-11-23 17:55:24.000000,0.12.5,,9019.0,36.0,2380.0,2380.0,79.0,https://pypi.org/project/panel,,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,342727.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
