,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-11-23 13:15:27.000000,2023-11-20 13:46:06,4282.0,1573.0,5637.0,16005.0,2021-01-30 02:36:56,7.18.1,320579.0,32358044.0,90.0,473015.0,473015.0,973.0,https://pypi.org/project/ipython,31662302.0,https://anaconda.org/conda-forge/ipython,2023-11-01 14:10:05.674,24952922.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-23 13:31:31.000000,2023-11-22 18:52:36,4051.0,730.0,6751.0,18333.0,,,,4000548.0,55.0,79519.0,79519.0,675.0,https://pypi.org/project/bokeh,3680901.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13105545.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-11-22 10:44:28.000000,2023-11-21 15:53:25,1543.0,195.0,547.0,11447.0,2023-11-22 10:29:16,4.6.2,4.0,714104.0,53.0,1846.0,1846.0,115.0,https://pypi.org/project/pandas-profiling,709383.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,410792.0,1.0,ydataai/ydata-profiling,1356.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-11-17 02:16:46.000000,2023-11-17 02:16:45,520.0,491.0,639.0,1584.0,2023-11-06 12:38:32,7.11.0,812.0,21069446.0,61.0,240477.0,240477.0,267.0,https://pypi.org/project/nbconvert,20637608.0,https://anaconda.org/conda-forge/nbconvert,2023-11-06 16:05:13.867,15545657.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-11-21 11:23:39.000000,2023-11-21 11:23:36,341.0,241.0,232.0,591.0,2023-11-21 11:23:54,6.27.0,1929.0,17808009.0,69.0,307607.0,307607.0,174.0,https://pypi.org/project/ipykernel,17799270.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,832870.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-16 21:13:55.750000,2023-11-16 00:13:41,186.0,105.0,229.0,384.0,,,,5178241.0,41.0,155194.0,155194.0,122.0,https://pypi.org/project/qtconsole,5066535.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4579951.0,1.0,,1965.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-11-22 07:21:51.000000,2023-11-22 06:47:47,4224.0,1981.0,2772.0,11750.0,2023-10-17 12:42:06,7.0.6,15541.0,17780847.0,76.0,568.0,568.0,643.0,https://pypi.org/project/notebook,17357886.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3943789.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1057.0,31598514.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-11-23 12:24:11.000000,2023-11-23 12:24:11,338.0,229.0,343.0,1420.0,2023-06-02 07:09:46,0.17.3,,233656.0,67.0,6094.0,6094.0,86.0,https://pypi.org/project/ipyleaflet,154563.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1087344.0,1.0,,1152.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,53204.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-11-13 16:33:48.000000,2023-10-29 20:21:13,592.0,574.0,729.0,3555.0,2023-03-14 01:24:58,0.15.1,,135862.0,42.0,11826.0,11826.0,128.0,https://pypi.org/project/jupyter-book,135862.0,,,,1.0,,1426.0,6.0,,,,,,,,,,,,,,
10,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-11-16 01:50:51.000000,2023-11-16 01:50:51,143.0,60.0,80.0,226.0,2023-07-31 10:35:35,5.9.2,217.0,17272191.0,26.0,249845.0,249845.0,79.0,https://pypi.org/project/nbformat,16760579.0,https://anaconda.org/conda-forge/nbformat,2023-07-31 14:51:04.971,20464260.0,1.0,,,11.0,,,,,,,,,,,,,,
11,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-11-22 15:53:09.000000,2023-11-12 10:15:14,372.0,119.0,513.0,6212.0,2023-09-16 21:39:17,1.15.2,,599710.0,100.0,6212.0,6212.0,83.0,https://pypi.org/project/jupytext,574842.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,722340.0,1.0,,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7250.0,,,,,,
