,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,trending,cran_id,gem_id,pypi,hex_id,bitbucket_id
47,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,22,stencila/stencila,,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2021-11-04 12:29:08.000000,2021-10-29 06:55:48.000000,32.0,49.0,474.0,606.0,6045.0,2021-10-29 04:17:22.000000,0.124.0,1025.0,404.0,100.0,16.0,16.0,25.0,,,,,,2.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16459.0,Apache-2.0,stencila,https://www.npmjs.com/package/stencila,90.0,,,,,,,,
48,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,22,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2021-02-18 18:12:02.241000,2021-02-18 16:55:13.000000,68.0,15.0,26.0,563.0,81.0,2021-02-18 17:08:16.000000,2.2.0,,14543.0,14.0,1235.0,1235.0,15.0,https://pypi.org/project/watermark,11481.0,https://anaconda.org/conda-forge/watermark,2021-02-18 18:12:02.241000,186809.0,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
49,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,22,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2021-08-23 23:56:33.000000,2021-01-27 08:24:41.000000,39.0,35.0,60.0,361.0,435.0,,,,88863.0,8.0,1196.0,1196.0,26.0,https://pypi.org/project/nbval,85833.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,166693.0,2.0,,,,,,,,,,,,,,,,,
50,Resource Usage,True,Jupyter Notebook Extension for monitoring your own Resource..,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,22,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000000,2021-09-06 06:37:48.000000,2021-09-06 06:37:39.000000,64.0,28.0,26.0,265.0,170.0,2021-04-29 13:47:38.000000,0.6.0,,22088.0,4.0,84.0,84.0,17.0,https://pypi.org/project/jupyter-resource-usage,,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946000,441772.0,1.0,,,,,,BSD-2-Clause,,,,,,,,,,,
51,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,22,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2021-06-27 18:55:19.000000,2021-06-27 18:55:19.000000,145.0,53.0,77.0,166.0,167.0,2018-06-14 12:02:35.000000,1.2.2,,12120.0,3.0,80.0,80.0,30.0,https://pypi.org/project/jupyterhub-ldapauthenticator,11581.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,22115.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
52,Knowledge Repo,True,A next-generation curated knowledge sharing platform for..,https://github.com/airbnb/knowledge-repo,,notebook-sharing,21,airbnb/knowledge-repo,knowledge-repo,,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000000,2021-09-01 00:27:04.000000,2021-09-01 00:27:04.000000,622.0,116.0,166.0,4926.0,587.0,2021-01-20 07:24:58.000000,0.9.0,,3721.0,30.0,,,60.0,https://pypi.org/project/knowledge-repo,3721.0,,,,3.0,,,,,,Apache-2.0,,,,,,3.0,,,,,
53,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,21,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2021-11-01 05:39:00.312256,2021-08-02 11:47:04.000000,285.0,53.0,500.0,1473.0,583.0,2021-05-11 11:36:15.000000,1.2,,11925.0,16.0,,,40.0,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,49787.0,1.0,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2021-11-01 05:39:00.312256,40.0,1050506.0,MIT,,,,,,,IRkernel,,,,
54,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,21,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2021-11-04 05:10:17.000000,2021-10-03 10:13:29.000000,259.0,198.0,579.0,1044.0,3017.0,2021-05-08 15:44:14.000000,0.6.2,,5507.0,19.0,,,84.0,https://pypi.org/project/nbgrader,3761.0,https://anaconda.org/conda-forge/nbgrader,2021-09-25 00:23:03.383000,101319.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
55,pythreejs,True,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,21,jupyter-widgets/pythreejs,pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,2013-12-23 17:02:11.000000,2021-09-28 14:44:01.000000,2021-02-26 14:01:59.000000,160.0,64.0,144.0,767.0,1659.0,,,,54010.0,15.0,19.0,19.0,27.0,https://pypi.org/project/pythreejs,42580.0,https://anaconda.org/conda-forge/pythreejs,2021-03-02 13:32:39.505000,346176.0,2.0,,,,,,,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,6185.0,,,,,,,,
56,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,21,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-08-10 23:33:27.000000,2021-08-10 23:33:21.000000,100.0,64.0,51.0,699.0,523.0,2018-04-16 17:16:10.000000,0.2.0,,171623.0,1.0,121.0,121.0,13.0,,,,,,2.0,,,,,,BSD-3-Clause,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,171623.0,,,,,,,,
