,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
240,xeus-sqlite,True,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,11,jupyter-xeus/xeus-sqlite,,,https://github.com/jupyter-xeus/xeus-sqlite,2020-03-11 11:24:36.000,2022-03-15 21:55:10.000000,2022-03-15 21:54:54,20.0,12.0,29.0,132.0,276.0,,,,,,,,12.0,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
241,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,11,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29,25.0,11.0,7.0,111.0,441.0,,,,,,,,10.0,,,,,,3.0,BSD-3-Clause,,,,,,,,,,-4.0,,,,,,
242,perfume,True,Interactive performance benchmarking in Jupyter.,https://github.com/leifwalsh/perfume,,widgets,11,leifwalsh/perfume,perfume-bench,,https://github.com/leifwalsh/perfume,2017-07-10 14:34:03.000,2022-04-04 17:51:07.000000,2020-10-31 19:46:42,4.0,2.0,4.0,33.0,196.0,2018-05-20 05:09:14,0.1.6,,80.0,1.0,,,3.0,https://pypi.org/project/perfume-bench,80.0,,,,3.0,,,,,,,,,,,,,,,,,
243,FargateSpawner,True,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,11,uktrade/fargatespawner,fargatespawner,,https://github.com/uktrade/fargatespawner,2018-09-12 14:06:22.000,2020-06-28 13:26:04.000000,2020-06-28 13:25:54,19.0,6.0,5.0,32.0,59.0,,,,417.0,,1.0,1.0,3.0,https://pypi.org/project/fargatespawner,417.0,,,,3.0,MIT,,,,,,,,,,,,,,,,
244,Remote Authenticator,True,"A collection of JupyterHub Authenticators, including Header,..",https://github.com/ucphhpc/jhub-authenticators,,hub-auth,11,rasmunk/jhub-authenticators,jhub-authenticators,,https://github.com/ucphhpc/jhub-authenticators,2017-12-20 14:46:18.000,2022-03-21 16:51:15.000000,2022-03-21 16:51:12,1.0,,,1.0,197.0,2019-04-12 15:44:39,0.2.2,,234.0,3.0,,,5.0,https://pypi.org/project/jhub-authenticators,234.0,,,,3.0,GPL-3.0,ucphhpc/jhub-authenticators,,,,,,,,,,,,,,,
245,jupyterlab-flake8,True,Jupyterlab python linter for notebooks and text files..,https://github.com/mlshapiro/jupyterlab-flake8,,lab-extensions,10,mlshapiro/jupyterlab-flake8,,,https://github.com/mlshapiro/jupyterlab-flake8,2018-04-11 16:16:59.000,2021-09-16 16:01:09.000000,2021-09-16 16:01:07,9.0,6.0,33.0,104.0,,,,,247.0,,,,5.0,,,,,,3.0,BSD-3-Clause,,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,247.0,,,,,,,,,,,,
246,jnotebook-reader,True,An awesome viewer to browse and render Jupyter..,https://github.com/line/jnotebook_reader,,notebook-sharing,10,line/jnotebook_reader,,,https://github.com/line/jnotebook_reader,2020-10-30 02:50:59.000,2021-09-08 19:36:55.000000,2021-02-10 02:29:57,14.0,1.0,1.0,96.0,12.0,2021-02-10 02:34:21,1.0.2,,,3.0,,,5.0,,,,,,3.0,Apache-2.0,,,,,,,,,,,,,,,,
247,JupyterLab Bytecode,True,JupyterLab extension to explore CPython Bytecode.,https://github.com/jtpio/jupyterlab-python-bytecode,,lab-extensions,10,jtpio/jupyterlab-python-bytecode,,,https://github.com/jtpio/jupyterlab-python-bytecode,2018-09-29 19:55:49.000,2022-02-11 12:16:47.000000,2020-10-16 21:38:08,6.0,2.0,3.0,58.0,114.0,,,,21.0,,,,2.0,,,,,,3.0,BSD-3-Clause,,jupyterlab-python-bytecode,https://www.npmjs.com/package/jupyterlab-python-bytecode,21.0,,,,,,,,,,,,
248,KnowledgeLab,True,KnowledgeRepo + JupyterLab.,https://github.com/timkpaine/knowledgelab,,lab-extensions,10,timkpaine/knowledgelab,knowledgelab,,https://github.com/timkpaine/knowledgelab,2017-10-18 01:10:58.000,2022-03-27 15:40:33.000000,2022-03-27 15:40:33,6.0,3.0,24.0,45.0,133.0,,,,20.0,1.0,2.0,2.0,3.0,https://pypi.org/project/knowledgelab,14.0,,,,3.0,Apache-2.0,,knowledgelab,https://www.npmjs.com/package/knowledgelab,6.0,,,,,,,,,,,,
249,ipyp5,True,p5.js Jupyter Widget.,https://github.com/jtpio/ipyp5,,widgets,10,jtpio/ipyp5,ipyp5,,https://github.com/jtpio/ipyp5,2018-03-06 17:50:12.000,2022-02-17 16:43:06.000000,2020-10-16 21:38:41,5.0,5.0,,33.0,60.0,,,,43.0,,,,2.0,https://pypi.org/project/ipyp5,43.0,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
