,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
223,JupyterLab Autoversion,True,Automatically version jupyter notebooks in JupyterLab.,https://github.com/timkpaine/jupyterlab_autoversion,,lab-extensions,12,jupyterlab_autoversion,timkpaine/jupyterlab_autoversion,,,https://github.com/timkpaine/jupyterlab_autoversion,2018-08-23 23:49:52.000,2022-02-06 21:55:00.000000,2022-02-06 21:55:00,6.0,5.0,24.0,54.0,,2021-01-01 04:15:38,0.3.0,,136.0,7.0,,,4.0,https://pypi.org/project/jupyterlab_autoversion,63.0,,,,,,,,3.0,Apache-2.0,jupyterlab_autoversion,https://www.npmjs.com/package/jupyterlab_autoversion,73.0,,,,,,,,
224,JupyterLab Email,True,A jupyterlab extension to email notebooks directly from..,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,12,jupyterlab_email,timkpaine/jupyterlab_email,,,https://github.com/timkpaine/jupyterlab_email,2018-08-07 14:14:40.000,2022-02-09 19:20:51.000000,2022-02-09 19:20:50,2.0,4.0,32.0,50.0,,2020-06-25 16:29:14,0.2.3,,168.0,12.0,,,,https://pypi.org/project/jupyterlab_email,42.0,,,,,,,,3.0,Apache-2.0,jupyterlab_email,https://www.npmjs.com/package/jupyterlab_email,126.0,,,,,,,,
225,JupyterLab Flake8,True,A jupyterlab extension to email notebooks directly from..,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,12,,timkpaine/jupyterlab_email,,,https://github.com/timkpaine/jupyterlab_email,2018-08-07 14:14:40.000,2022-02-09 19:20:51.000000,2022-02-09 19:20:50,2.0,4.0,32.0,50.0,,2020-06-25 16:29:14,0.2.3,,261.0,12.0,,,,,,,,,,,,,3.0,Apache-2.0,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,261.0,,,,,,,,
226,SSH Kernel,True,SSH Kernel for Jupyter.,https://github.com/NII-cloud-operation/sshkernel,,kernels,12,sshkernel,NII-cloud-operation/sshkernel,,,https://github.com/NII-cloud-operation/sshkernel,2019-02-12 02:46:14.000,2021-11-04 09:33:50.000000,2021-11-04 09:33:21,10.0,2.0,6.0,48.0,398.0,,,,148.0,,6.0,6.0,4.0,https://pypi.org/project/sshkernel,148.0,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
227,Jupyter Helpers,True,A collection of helpers for Jupyter/IPython.,https://github.com/krassowski/jupyter-helpers,,notebook-tools,12,jupyter_helpers,krassowski/jupyter-helpers,,,https://github.com/krassowski/jupyter-helpers,2019-03-17 22:11:35.000,2021-07-31 11:45:58.000000,2021-07-31 11:45:57,3.0,3.0,2.0,40.0,27.0,2021-02-10 16:36:22,0.2.3-2,,211.0,5.0,,,2.0,https://pypi.org/project/jupyter_helpers,211.0,,,,,,,,3.0,MIT,,,,,,,,,,,
228,pick,True,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,12,pick,nteract/pick,,,https://github.com/nteract/pick,2020-04-08 23:47:09.000,2021-07-23 05:39:29.000000,2020-11-04 01:10:24,7.0,4.0,5.0,30.0,,,,,45501.0,,,,5.0,https://pypi.org/project/pick,45501.0,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
229,jupyter-nbrequirements,True,Dependency management and optimization in Jupyter..,https://github.com/thoth-station/jupyter-nbrequirements,,jupyter-extensions,12,,thoth-station/jupyter-nbrequirements,,,https://github.com/thoth-station/jupyter-nbrequirements,2019-06-25 06:48:06.000,2022-02-12 14:04:34.000000,2021-10-21 06:25:29,4.0,,32.0,14.0,348.0,2019-12-09 18:41:20,0.5.0,,,3.0,,,12.0,,,,,,,,,,3.0,MIT,,,,,,,,,,,
230,Kernel Management,True,Experimental new kernel management framework for Jupyter.,https://github.com/takluyver/jupyter_kernel_mgmt,,notebook-tools,12,jupyter-kernel-mgmt,takluyver/jupyter_kernel_mgmt,,,https://github.com/takluyver/jupyter_kernel_mgmt,2018-04-01 20:06:08.000,2020-08-27 01:11:14.000000,2020-01-29 22:31:34,7.0,10.0,14.0,13.0,1783.0,2020-01-15 19:12:57,0.5.1,17.0,25.0,3.0,,,74.0,https://pypi.org/project/jupyter-kernel-mgmt,25.0,,,,,,,,3.0,,,,,,,,,,,,
231,jupyter2slides,True,Cloud Native Presentation Slides with Jupyter Notebook +..,https://github.com/datitran/jupyter2slides,,notebook-tools,11,,datitran/jupyter2slides,,,https://github.com/datitran/jupyter2slides,2016-07-26 12:38:17.000,2019-09-03 14:54:44.000000,2018-12-28 18:34:22,164.0,11.0,4.0,769.0,11.0,,,,,,,,,,,,,,,,,,3.0,MIT,,,,,,,,,,,
232,ICSharp,True,C# kernel for Jupyter.,https://github.com/zabirauf/icsharp,,kernels,11,,zabirauf/icsharp,,,https://github.com/zabirauf/icsharp,2014-09-22 07:57:50.000,2018-09-23 04:19:46.000000,2018-09-23 04:19:45,59.0,33.0,13.0,263.0,45.0,,,,,,,,10.0,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
