,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,commit_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-03-30 14:15:30.467000,2023-03-30 11:12:20,4239.0,1513.0,5577.0,15752.0,2021-01-30 02:36:56,7.18.1,319944.0,22231194.0,81.0,380017.0,380017.0,942.0,https://pypi.org/project/ipython,22009791.0,https://anaconda.org/conda-forge/ipython,2023-03-30 14:15:30.467,18145562.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-03-28 20:43:08.000000,2023-03-16 12:00:01,499.0,474.0,602.0,1467.0,2023-03-14 13:47:55,7.2.10,322.0,16603714.0,47.0,197303.0,197303.0,256.0,https://pypi.org/project/nbconvert,16469754.0,https://anaconda.org/conda-forge/nbconvert,2023-03-28 20:15:14.471,11118155.0,1.0,,,,,,,,,,,,,,,,,
3,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-03-25 14:28:29.000000,2023-03-20 14:41:33,322.0,226.0,226.0,542.0,2023-03-20 14:41:55,6.22.0,1285.0,15094582.0,59.0,238430.0,238430.0,166.0,https://pypi.org/project/ipykernel,15087261.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,639218.0,1.0,10.0,,,,,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-03-29 16:54:24.000000,2023-03-28 21:51:41,178.0,103.0,220.0,356.0,,,,3559032.0,36.0,128013.0,128013.0,120.0,https://pypi.org/project/qtconsole,3513543.0,https://anaconda.org/conda-forge/qtconsole,2023-03-13 05:58:34.307,3730127.0,1.0,,1926.0,,,,,,,,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,31,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-03-28 08:18:35.000000,2023-03-28 07:48:22,1428.0,141.0,511.0,10416.0,2023-03-28 08:01:52,4.1.2,,1136140.0,43.0,187.0,187.0,108.0,https://pypi.org/project/pandas-profiling,1131706.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,350315.0,1.0,,1275.0,ydataai/ydata-profiling,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-03-14 01:24:58.000000,2023-03-14 01:16:06,566.0,529.0,709.0,3297.0,2023-03-14 01:24:58,0.15.1,,87357.0,42.0,9083.0,9083.0,121.0,https://pypi.org/project/jupyter-book,87357.0,,,,1.0,7.0,1414.0,,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-03-28 23:13:54.549000,2023-03-28 15:25:44,870.0,624.0,1282.0,2756.0,2023-03-22 11:45:50,8.0.5,,9079772.0,48.0,6409.0,6409.0,203.0,https://pypi.org/project/ipywidgets,8906867.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,8497386.0,1.0,-3.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,70527.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,325.0,213.0,332.0,1340.0,2022-10-19 07:57:17,0.17.2,,235552.0,65.0,3976.0,3976.0,82.0,https://pypi.org/project/ipyleaflet,162791.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,978855.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,60824.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-03-25 11:17:21.000000,2023-03-20 14:39:17,137.0,56.0,78.0,204.0,2023-03-20 14:39:41,5.8.0,111.0,13670546.0,23.0,204086.0,204086.0,75.0,https://pypi.org/project/nbformat,13500072.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,14149030.0,1.0,11.0,,,,,,,,,,,,,,,,
