,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,license,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-07-22 12:35:41.000000,2021-07-13 22:39:31.000000,3358.0,1993.0,2256.0,9233.0,12060.0,2021-05-17 11:17:25.000000,6.4.0,432.0,11153673.0,22.0,112042.0,112042.0,555.0,https://pypi.org/project/notebook,10841081.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1473051.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-07-19 18:26:41.067077,853.0,21398098.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-07-20 11:31:58.000000,2021-07-15 22:56:49.000000,4025.0,1442.0,5251.0,14891.0,25117.0,2021-01-30 02:36:56.000000,7.18.1,317493.0,18261683.0,54.0,210067.0,210067.0,821.0,https://pypi.org/project/ipython,18144689.0,https://anaconda.org/conda-forge/ipython,2021-06-30 12:42:25.468000,7160112.0,,,,,1.0,-1.0,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-07-22 14:11:14.000000,2021-07-21 21:07:30.000000,1966.0,1815.0,4073.0,11224.0,23496.0,2021-05-18 18:46:17.000000,3.0.16,120.0,1163695.0,218.0,44909.0,44909.0,430.0,https://pypi.org/project/jupyterlab,1095466.0,https://anaconda.org/conda-forge/jupyterlab,2021-07-21 19:00:55.657000,4161865.0,,,,,1.0,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-07-19 13:01:09.000000,2021-07-13 17:09:31.000000,737.0,520.0,1129.0,2273.0,7099.0,2021-02-07 22:09:48.000000,7.6.3,,10186902.0,29.0,2016.0,2016.0,177.0,https://pypi.org/project/ipywidgets,10018117.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3392758.0,,,,,1.0,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,114932.0,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-07-19 21:40:31.000000,2021-06-27 20:16:39.000000,1115.0,74.0,401.0,7644.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,486069.0,30.0,4706.0,4706.0,79.0,https://pypi.org/project/pandas-profiling,483575.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,147179.0,,,,,1.0,,,MIT,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-07-19 17:13:47.000000,2021-07-19 17:13:36.000000,259.0,171.0,157.0,410.0,2298.0,2021-07-19 17:13:53.000000,6.0.3,,13182482.0,27.0,123152.0,123152.0,132.0,https://pypi.org/project/ipykernel,13179774.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,184146.0,,,,,1.0,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-07-12 20:59:23.000000,2021-07-12 20:59:23.000000,156.0,91.0,190.0,266.0,1777.0,,,,6186856.0,28.0,80910.0,80910.0,110.0,https://pypi.org/project/qtconsole,6155742.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1929124.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
8,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-07-22 06:02:35.000000,2021-07-21 20:09:42.000000,3678.0,671.0,5955.0,15321.0,,,,,1793576.0,41.0,36669.0,36669.0,563.0,https://pypi.org/project/bokeh,1696798.0,https://anaconda.org/conda-forge/bokeh,2021-07-08 16:05:38.712000,4935722.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-07-15 06:44:26.445000,2021-07-14 22:57:35.000000,286.0,71.0,383.0,4721.0,2190.0,2021-07-14 22:58:52.000000,1.11.4,,351691.0,100.0,1721.0,1721.0,62.0,https://pypi.org/project/jupytext,329455.0,https://anaconda.org/conda-forge/jupytext,2021-07-15 06:44:26.445000,199332.0,,,,,1.0,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,16007.0,,,,,,,
10,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-07-21 20:31:08.000000,2021-07-21 09:36:38.000000,186.0,342.0,950.0,1272.0,1535.0,2021-07-20 15:25:29.000000,0.12.0,,165520.0,31.0,1760.0,1760.0,72.0,https://pypi.org/project/panel,157625.0,https://anaconda.org/conda-forge/panel,2021-07-20 18:30:53.130000,260562.0,,,,,2.0,,,BSD-3-Clause,,,,,,,,,
11,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-07-19 15:55:00.000000,2021-07-19 15:55:00.000000,427.0,371.0,529.0,1150.0,,2019-05-11 04:19:05.000000,5.5.0,,11706167.0,20.0,110372.0,110372.0,224.0,https://pypi.org/project/nbconvert,11638035.0,https://anaconda.org/conda-forge/nbconvert,2021-06-23 20:03:15.806000,4292355.0,,,,,1.0,,,,,,,,,,,,
12,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,nikola,getnikola/nikola,,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-07-13 21:58:24.000000,2021-07-13 21:58:24.000000,332.0,30.0,2028.0,2154.0,10224.0,2021-02-13 17:21:54.000000,8.1.3,,2136.0,73.0,378.0,378.0,221.0,https://pypi.org/project/nikola,2136.0,,,,,,,,1.0,,,MIT,,,,,,,,,
13,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-07-15 07:20:58.000000,2021-07-15 07:20:58.000000,280.0,163.0,265.0,1161.0,945.0,2021-07-21 12:23:32.000000,0.14.0,,87202.0,60.0,976.0,976.0,68.0,https://pypi.org/project/ipyleaflet,52686.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,721034.0,,,,,1.0,,jupyter-leaflet,MIT,https://www.npmjs.com/package/jupyter-leaflet,22887.0,,,,,,,
14,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,ipympl,matplotlib/ipympl,,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-06-15 20:20:04.000000,2021-05-07 14:58:22.000000,153.0,102.0,97.0,1105.0,305.0,2021-03-22 22:29:34.000000,0.7.0,,112581.0,15.0,1654.0,1654.0,23.0,https://pypi.org/project/ipympl,66321.0,,,,,,,,1.0,2.0,jupyter-matplotlib,BSD-3-Clause,https://www.npmjs.com/package/jupyter-matplotlib,46260.0,,,,,,,
15,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,29,nbformat,jupyter/nbformat,conda-forge/nbformat,,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-06-10 23:11:54.000000,2021-06-10 23:11:53.000000,111.0,38.0,63.0,145.0,752.0,2021-04-02 04:40:43.000000,5.1.3,,12067448.0,13.0,115666.0,115666.0,58.0,https://pypi.org/project/nbformat,11980345.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,5487543.0,,,,,1.0,,,,,,,,,,,,
16,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot,bqplot/bqplot,conda-forge/bqplot,,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-07-21 06:59:54.000000,2021-07-16 07:55:36.000000,409.0,192.0,346.0,3116.0,3404.0,2021-07-16 08:16:38.000000,0.12.30,,91497.0,53.0,26.0,26.0,53.0,https://pypi.org/project/bqplot,67982.0,https://anaconda.org/conda-forge/bqplot,2021-07-16 09:06:48.168000,693285.0,,,,,2.0,,bqplot,Apache-2.0,https://www.npmjs.com/package/bqplot,12333.0,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-07-07 18:46:22.000000,2021-06-29 17:43:55.000000,218.0,93.0,37.0,1407.0,253.0,,,,80282.0,3.0,1984.0,1984.0,44.0,https://pypi.org/project/ipython-sql,78300.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,116971.0,,,,,1.0,,,MIT,,,,,,,,,
18,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,jupyterthemes,dunovank/jupyter-themes,,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-07-14 16:41:14.000000,2021-07-14 16:41:14.000000,953.0,183.0,196.0,8595.0,631.0,,,,34025.0,,2354.0,2354.0,41.0,https://pypi.org/project/jupyterthemes,34025.0,,,,,,,,1.0,,,MIT,,,,,,,,,
19,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,facets-overview,pair-code/facets,,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-05-06 12:01:08.000000,2021-05-06 12:01:05.000000,808.0,75.0,76.0,6625.0,264.0,2019-07-01 16:35:20.000000,1.0.0,,75392.0,4.0,58.0,58.0,28.0,https://pypi.org/project/facets-overview,75392.0,,,,,,,,2.0,,,Apache-2.0,,,,,,,,,
20,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/maartenbreddels/ipyvolume,,widgets,26,ipyvolume,maartenbreddels/ipyvolume,conda-forge/ipyvolume,,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-06-29 19:32:16.000000,2021-06-18 12:46:59.000000,203.0,157.0,123.0,1648.0,930.0,2018-06-11 13:56:17.000000,0.4.5,,35839.0,16.0,542.0,542.0,39.0,https://pypi.org/project/ipyvolume,26610.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,303821.0,,,,,2.0,,ipyvolume,MIT,https://www.npmjs.com/package/ipyvolume,3497.0,,,,,,,
21,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-07-22 11:31:11.000000,2021-07-08 11:56:05.000000,178.0,81.0,390.0,920.0,1654.0,2021-05-03 06:30:21.000000,0.30.1,,122658.0,27.0,13.0,13.0,62.0,https://pypi.org/project/jupyterlab-git,120085.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-05-03 09:08:47.801000,79767.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
22,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-07-22 12:08:21.000000,2021-07-20 00:11:16.000000,1537.0,151.0,1815.0,6594.0,,,,,137668.0,21.0,1435.0,1435.0,248.0,https://pypi.org/project/jupyterhub,104197.0,https://anaconda.org/conda-forge/jupyterhub,2021-07-16 22:12:11.207000,418374.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-07-16 12:10:32.711466,291.0,2271622.0,2.0,,,,,,,,,,,,
23,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,,jupyter/docker-stacks,,jupyter/scipy-notebook,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-07-20 00:12:13.000000,2021-07-20 00:12:13.000000,2329.0,58.0,600.0,6397.0,2159.0,,,,540933.0,,,,202.0,,,,,,https://hub.docker.com/r/jupyter/scipy-notebook,2021-07-19 18:24:51.284083,307.0,38947185.0,2.0,,,BSD-3-Clause,,,,,,,,,
24,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract_on_jupyter,nteract/nteract,,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-07-16 00:24:50.000000,2021-06-22 23:34:46.000000,506.0,141.0,1508.0,5580.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1218496.0,23367.0,66.0,,,169.0,https://pypi.org/project/nteract_on_jupyter,3714.0,,,,,,,,2.0,-1.0,,BSD-3-Clause,,,,,,,,,
25,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,25,papermill,nteract/papermill,conda-forge/papermill,,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-07-22 12:11:32.000000,2021-06-16 06:25:45.000000,314.0,92.0,223.0,4241.0,,,,,398697.0,16.0,1455.0,1455.0,91.0,https://pypi.org/project/papermill,393786.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,171898.0,,,,,2.0,,,BSD-3-Clause,,,,,,,,,
26,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,25,voila,voila-dashboards/voila,conda-forge/voila,,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-07-21 12:26:58.000000,2021-07-01 06:06:55.000000,332.0,211.0,294.0,3387.0,903.0,,,,47661.0,46.0,4366.0,4366.0,50.0,https://pypi.org/project/voila,39663.0,https://anaconda.org/conda-forge/voila,2021-04-28 16:36:18.470000,131451.0,,,,,2.0,,@jupyter-voila/jupyterlab-preview,,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,4015.0,,,,,,,
