,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-10-03 10:56:55.000000,2023-10-02 08:48:39,4272.0,1554.0,5631.0,15959.0,2021-01-30 02:36:56,7.18.1,320422.0,31288154.0,89.0,453670.0,453670.0,965.0,https://pypi.org/project/ipython,30606632.0,https://anaconda.org/conda-forge/ipython,2023-10-02 16:43:35.440,23761389.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-05 14:08:40.000000,2023-10-05 09:02:00,4025.0,738.0,6677.0,18031.0,,,,3768248.0,53.0,76922.0,76922.0,670.0,https://pypi.org/project/bokeh,3449366.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12755310.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-10-04 15:47:08.000000,2023-10-04 15:45:49,1519.0,177.0,545.0,11206.0,2023-08-11 15:54:46,4.5.1,,719715.0,50.0,1456.0,1456.0,115.0,https://pypi.org/project/pandas-profiling,715055.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,400761.0,1.0,ydataai/ydata-profiling,1330.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-10-05 02:36:15.855000,2023-10-05 01:15:43,516.0,486.0,636.0,1560.0,2023-10-05 01:15:59,7.9.2,713.0,20798070.0,59.0,231715.0,231715.0,265.0,https://pypi.org/project/nbconvert,20376019.0,https://anaconda.org/conda-forge/nbconvert,2023-10-05 02:36:15.855,14771334.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-10-04 00:37:45.000000,2023-10-04 00:37:45,337.0,240.0,230.0,581.0,2023-09-04 16:37:34,6.25.2,1821.0,19013280.0,67.0,292473.0,292473.0,173.0,https://pypi.org/project/ipykernel,19004865.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,793539.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-10-01 17:04:39.000000,2023-09-01 15:16:27,182.0,104.0,226.0,375.0,,,,5363389.0,39.0,149964.0,149964.0,120.0,https://pypi.org/project/qtconsole,5250342.0,https://anaconda.org/conda-forge/qtconsole,2023-09-01 21:42:28.364,4521882.0,1.0,,1944.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-10-05 08:47:51.000000,2023-10-04 06:54:18,4098.0,1973.0,2745.0,11588.0,2023-09-20 07:14:53,7.0.4,14812.0,18895757.0,73.0,320.0,320.0,641.0,https://pypi.org/project/notebook,18475804.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3787328.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-02 04:42:08.602874,1044.0,31110630.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-09-23 22:00:32.000000,2023-09-11 08:59:57,335.0,226.0,341.0,1405.0,2023-06-02 07:09:46,0.17.3,,226788.0,67.0,5429.0,5429.0,84.0,https://pypi.org/project/ipyleaflet,158516.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1071476.0,1.0,,1149.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,42139.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-09-28 03:04:23.000000,2023-07-26 09:01:16,585.0,567.0,725.0,3522.0,2023-03-14 01:24:58,0.15.1,,77449.0,42.0,11312.0,11312.0,126.0,https://pypi.org/project/jupyter-book,77449.0,,,,1.0,,1424.0,6.0,,,,,,,,,,,,,,
10,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-10-04 02:59:13.000000,2023-10-04 02:56:59,142.0,59.0,80.0,219.0,2023-07-31 10:35:35,5.9.2,215.0,19310103.0,26.0,240425.0,240425.0,78.0,https://pypi.org/project/nbformat,18811685.0,https://anaconda.org/conda-forge/nbformat,2023-07-31 14:51:04.971,19438104.0,1.0,,,11.0,,,,,,,,,,,,,,
11,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-09-17 15:41:19.000000,2023-09-17 15:41:19,369.0,107.0,506.0,6159.0,2023-09-16 21:39:17,1.15.2,,503453.0,100.0,5898.0,5898.0,81.0,https://pypi.org/project/jupytext,479523.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,688831.0,1.0,,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,6710.0,,,,,,
12,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-10-05 10:16:06.000000,2023-10-05 10:15:30,360.0,821.0,1995.0,3142.0,2023-09-18 09:39:21,1.2.3,,644719.0,56.0,8423.0,8423.0,143.0,https://pypi.org/project/panel,615501.0,https://anaconda.org/conda-forge/panel,2023-09-18 13:22:20.670,1168749.0,2.0,,,,,,,,,,,,,,,,,
13,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,29,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2023-10-04 03:07:36.000000,2023-10-04 02:54:14,49.0,34.0,69.0,124.0,2023-05-22 15:04:06,0.8.0,362.0,14441054.0,32.0,126959.0,126959.0,37.0,https://pypi.org/project/nbclient,14165157.0,https://anaconda.org/conda-forge/nbclient,2023-06-16 19:18:04.408,12138898.0,1.0,,,,,,,,,,,,,,,,,
14,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,28,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-10-02 20:41:19.114000,2023-10-02 19:31:25,350.0,51.0,492.0,4272.0,2023-10-02 20:11:29,3.7.0,,106481.0,137.0,875.0,875.0,30.0,https://pypi.org/project/dtale,100406.0,https://anaconda.org/conda-forge/dtale,2023-10-02 20:41:19.114,249088.0,1.0,,757.0,,,,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-10-04 07:40:23.000000,2023-10-04 07:40:23,447.0,221.0,368.0,3474.0,2023-08-04 08:28:46,0.12.41,,182957.0,62.0,49.0,49.0,64.0,https://pypi.org/project/bqplot,147390.0,https://anaconda.org/conda-forge/bqplot,2023-07-12 07:26:23.351,1221545.0,1.0,,3656.0,,,,,,,bqplot,https://www.npmjs.com/package/bqplot,5774.0,,,,,,
16,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,28,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2023-09-25 19:55:05.000000,2023-09-25 19:55:04,364.0,53.0,2092.0,2479.0,2023-04-30 10:42:55,8.2.4,19.0,1837.0,78.0,492.0,492.0,236.0,https://pypi.org/project/nikola,1837.0,,,,2.0,,10379.0,,,,,,,,,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2023-10-03 13:50:37.000000,2023-04-21 20:49:35,264.0,108.0,43.0,1725.0,,,,105610.0,3.0,5141.0,5141.0,55.0,https://pypi.org/project/ipython-sql,102822.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,239784.0,1.0,,292.0,,,,,,,,,,,,,,,
18,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,finos/perspective,perspective-python,,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2023-10-04 22:05:10.000000,2023-09-22 03:58:24,821.0,94.0,568.0,6702.0,2023-09-01 02:01:18,2.5.1,1318.0,7250.0,4.0,605.0,605.0,92.0,https://pypi.org/project/perspective-python,5365.0,,,,1.0,,5737.0,6.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1446.0,,,,,,
19,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2023-10-01 16:58:17.000000,2023-06-08 14:23:52,385.0,129.0,246.0,5378.0,,,,1016319.0,18.0,5257.0,5257.0,109.0,https://pypi.org/project/papermill,1003623.0,https://anaconda.org/conda-forge/papermill,2023-08-30 21:31:47.332,507858.0,2.0,,,,,,,,,,,,,,,,,
20,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2023-10-02 20:57:42.000000,2023-06-16 01:18:19,213.0,134.0,154.0,1459.0,2023-02-15 19:21:40,0.9.3,,229139.0,28.0,8788.0,8788.0,32.0,https://pypi.org/project/ipympl,215585.0,,,,2.0,,,,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,13554.0,,,,,,
21,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,870.0,78.0,81.0,7185.0,2019-07-01 16:35:20,1.0.0,,188377.0,4.0,201.0,201.0,31.0,https://pypi.org/project/facets-overview,188377.0,,,,2.0,,277.0,,,,,,,,,,,,,,,
