,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
22,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2023-10-03 16:27:38.000000,2023-10-03 07:45:16,471.0,270.0,417.0,4943.0,2023-09-18 07:11:18,0.5.4,928.0,78318.0,69.0,10271.0,10271.0,66.0,https://pypi.org/project/voila,69766.0,https://anaconda.org/conda-forge/voila,2023-09-18 09:52:45.570,299534.0,2.0,,,,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,420.0,,,,,,
23,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2023-10-03 02:40:43.000000,2023-10-03 02:40:42,406.0,129.0,299.0,1257.0,2023-09-13 15:49:53,0.21.0,,32182.0,23.0,311.0,311.0,63.0,https://pypi.org/project/sparkmagic,29331.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,105508.0,1.0,,1325.0,,,,,,,,,,,,,,,
24,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2023-09-27 07:22:00.000000,2023-08-11 17:18:48,236.0,46.0,28.0,938.0,2022-04-01 20:13:44,0.4.2,99.0,110858.0,11.0,3324.0,3324.0,10.0,https://pypi.org/project/jupyter-dash,110856.0,,,,2.0,,162.0,,,,,,,,,,,,,,,
25,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2023-10-04 09:07:47.000000,2023-10-04 08:48:08,1865.0,159.0,2162.0,7680.0,,,,246414.0,38.0,2497.0,2497.0,347.0,https://pypi.org/project/jupyterhub,177120.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1003184.0,1.0,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-10-04 08:57:52.608836,328.0,4880071.0,,,,,,,,,
26,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-09-22 21:38:57.000000,2023-09-22 21:38:51,533.0,164.0,1522.0,6072.0,2021-01-26 05:18:38,0.28.0,1465489.0,19044.0,66.0,2.0,2.0,177.0,https://pypi.org/project/nteract_on_jupyter,2578.0,,,,1.0,,10501.0,,,,,,,,,,,,,,,
27,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,25,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-09-27 20:43:33.000000,2023-09-22 07:25:13,895.0,652.0,1313.0,2903.0,2023-09-13 09:49:35,8.1.1,,13246517.0,52.0,2.0,2.0,212.0,https://pypi.org/project/ipywidgets,12878903.0,https://anaconda.org/conda-forge/ipywidgets,2023-09-13 12:15:46.781,11658416.0,2.0,,,-9.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,52522.0,,,,,,
28,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,25,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2023-09-21 17:39:34.000000,2023-09-12 14:04:24,295.0,243.0,640.0,1226.0,2023-09-05 12:35:02,0.9.1,275.0,15350.0,34.0,480.0,480.0,105.0,https://pypi.org/project/nbgrader,10491.0,https://anaconda.org/conda-forge/nbgrader,2023-09-13 22:27:45.981,150575.0,1.0,,,,,,,,,,,,,,,,,
29,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2023-06-16 16:19:15.930000,2021-02-16 04:46:41,160.0,164.0,261.0,1032.0,2019-12-04 15:06:08,1.1.18,,10405.0,19.0,260.0,260.0,33.0,https://pypi.org/project/pixiedust,9384.0,https://anaconda.org/conda-forge/pixiedust,2023-06-16 16:19:15.930,48008.0,1.0,,2157.0,,,,,,,,,,,,,,,
30,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,25,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2023-09-29 00:14:08.000000,2023-09-29 00:14:07,116.0,63.0,35.0,954.0,2023-05-05 07:10:14,0.6.3,,485196.0,6.0,494.0,494.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,485196.0,,,,1.0,,527.0,,,,,,,,,,,,,,,
31,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,25,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2022-03-15 11:03:46.000000,2021-03-31 14:20:34,39.0,17.0,245.0,556.0,2020-12-10 14:31:28,0.3.7,,80070.0,28.0,1033.0,1033.0,11.0,,,,,,1.0,,1174.0,,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,80070.0,,,,,,
32,ipyvuetify,True,Jupyter widgets based on vuetify UI components.,https://github.com/widgetti/ipyvuetify,,widgets,25,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/widgetti/ipyvuetify,MIT,2019-05-14 17:35:51.000,2023-09-07 16:17:19.000000,2023-09-07 15:27:49,49.0,60.0,134.0,316.0,2022-02-07 15:18:40,1.8.2,,122802.0,31.0,924.0,924.0,12.0,https://pypi.org/project/ipyvuetify,119933.0,https://anaconda.org/conda-forge/ipyvuetify,2023-06-16 16:15:58.169,146362.0,2.0,widgetti/ipyvuetify,258.0,,,,,,,,,,,,,,,
33,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,24,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2023-10-04 13:09:12.000000,2023-10-04 13:08:58,2774.0,15.0,836.0,7905.0,,,,906889.0,,16.0,16.0,236.0,,,,,,2.0,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-02 04:41:08.234166,426.0,89782048.0,,,,,,,,,
34,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,24,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2023-09-23 12:49:33.000000,2022-12-21 19:56:24,779.0,343.0,460.0,5092.0,2022-11-15 17:24:23,0.7.0,,412803.0,2.0,16.0,16.0,136.0,https://pypi.org/project/jupyter_contrib_nbextensions,412803.0,,,,1.0,,2660.0,,,,,,,,,,,,,,,
35,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2023-09-17 10:44:45.000000,2023-09-17 10:44:24,399.0,153.0,292.0,3597.0,,,,21323.0,9.0,2626.0,2626.0,44.0,https://pypi.org/project/RISE,17188.0,https://anaconda.org/conda-forge/rise,2023-06-16 16:08:42.704,281242.0,2.0,,767.0,,,,,,,,,,,,,,,
36,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,24,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2023-10-05 13:30:55.000000,2023-10-05 13:09:54,146.0,77.0,242.0,2514.0,2023-04-30 16:02:31,3.2.1,,225578.0,23.0,129.0,129.0,48.0,https://pypi.org/project/nbdime,183510.0,https://anaconda.org/conda-forge/nbdime,2023-06-16 13:24:46.315,928737.0,2.0,,2043.0,,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,30742.0,,,,,,
37,jupyter_server,True,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,24,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2023-10-03 21:00:24.000000,2023-10-03 20:59:19,243.0,140.0,270.0,419.0,2023-08-31 08:20:58,2.7.3,2000.0,18481323.0,100.0,,,513.0,https://pypi.org/project/jupyter_server,18248632.0,https://anaconda.org/conda-forge/jupyter_server,2023-09-25 18:15:44.159,8607559.0,3.0,,,,,,,,,,,,,,,,,
38,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,23,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,MIT,2014-12-10 23:22:23.000,2023-08-13 18:49:04.000000,2023-05-30 13:48:44,1060.0,193.0,201.0,9649.0,,,,40827.0,,16.0,16.0,43.0,https://pypi.org/project/jupyterthemes,40827.0,,,,2.0,,637.0,,,,,,,,,,,,,,,
39,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,23,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2023-09-17 20:01:08.000000,2023-05-31 20:49:34,444.0,124.0,705.0,4515.0,2023-02-03 22:33:26,2.3.11,,41983.0,24.0,,,38.0,https://pypi.org/project/nbdev,41983.0,,,,2.0,,1634.0,,,,,,,,,,,,,,,
40,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,23,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2023-07-07 18:11:05.000000,2023-07-07 13:05:16,230.0,185.0,131.0,1883.0,,,,71512.0,20.0,15.0,15.0,45.0,https://pypi.org/project/ipyvolume,64592.0,https://anaconda.org/conda-forge/ipyvolume,2023-06-05 11:50:27.103,446541.0,2.0,widgetti/ipyvolume,1007.0,-4.0,,,,,,ipyvolume,https://www.npmjs.com/package/ipyvolume,1339.0,,,,,,
41,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,23,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2023-10-03 10:41:12.000000,2023-10-03 10:41:11,324.0,159.0,357.0,1534.0,2022-10-18 19:01:00,2022.10.0,,4010.0,12.0,192.0,192.0,119.0,https://pypi.org/project/jupyter-repo2docker,4010.0,,,,2.0,,,,,,,,,,,,,,,,,
42,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,23,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,BSD-3-Clause,2014-07-30 03:46:33.000,2023-07-02 15:47:55.854000,2023-07-02 14:29:01,86.0,17.0,28.0,831.0,2023-05-23 15:47:43,2.4.0,,29542.0,17.0,2045.0,2045.0,19.0,https://pypi.org/project/watermark,21789.0,https://anaconda.org/conda-forge/watermark,2023-07-02 15:47:55.854,271356.0,2.0,,123.0,,,,,,,,,,,,,,,
43,itables,True,Interactive Tables in Jupyter.,https://github.com/mwouts/itables,,widgets,23,mwouts/itables,itables,,https://github.com/mwouts/itables,MIT,2019-04-15 22:09:44.000,2023-10-01 22:42:06.000000,2023-10-01 22:40:08,40.0,19.0,76.0,512.0,2023-10-01 22:34:26,1.6.1,,120309.0,41.0,314.0,314.0,6.0,https://pypi.org/project/itables,120309.0,,,,2.0,,,,,,,,,,,,,,,,,
44,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2023-08-08 00:32:38.000000,2023-01-11 11:27:13,46.0,39.0,65.0,416.0,,,,143374.0,8.0,2607.0,2607.0,33.0,https://pypi.org/project/nbval,138416.0,https://anaconda.org/conda-forge/nbval,2023-06-16 13:18:53.317,386774.0,2.0,,465.0,,,,,,,,,,,,,,,
