,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
137,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,17,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,2016-04-01 16:19:50.000,2022-02-16 18:42:50.000000,2021-09-21 14:53:24,72.0,3.0,53.0,185.0,213.0,2021-07-14 17:27:18,2.4.11,,1298.0,14.0,,,7.0,https://pypi.org/project/sas_kernel,1298.0,,,,3.0,,Apache-2.0,,,,,,,,,,,,,,,
138,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000,2022-02-03 17:25:47.000000,2022-02-03 17:25:03,42.0,,80.0,176.0,404.0,2017-06-02 21:19:27,0.5.0,84.0,1255.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430,76550.0,3.0,,Apache-2.0,,,,,,,,,,,,,,,
139,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/g2nb/igv-jupyter,,widgets,17,igvteam/igv-jupyter,igv-jupyter,,https://github.com/g2nb/igv-jupyter,2016-07-21 18:44:38.000,2022-05-03 20:07:32.000000,2022-04-28 19:24:12,15.0,,41.0,148.0,137.0,2022-02-07 18:33:52,1.0.0,,305.0,9.0,10.0,10.0,5.0,https://pypi.org/project/igv-jupyter,305.0,,,,3.0,g2nb/igv-jupyter,MIT,,,,,,,,,,,,,,,
140,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,17,jupyterhub/systemdspawner,jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,2016-09-06 07:20:44.000,2022-04-22 08:28:24.000000,2022-04-22 08:28:24,38.0,27.0,31.0,78.0,150.0,,,,1778.0,,20.0,20.0,17.0,https://pypi.org/project/jupyterhub-systemdspawner,1778.0,,,,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
141,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,23.0,88.0,93.0,73.0,269.0,2020-06-18 03:30:24,0.5.10,,743.0,17.0,25.0,25.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,743.0,,,,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
142,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,17,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,2019-12-20 14:32:14.000,2022-01-14 00:49:57.000000,2022-01-14 00:49:56,8.0,2.0,4.0,50.0,117.0,2021-11-06 14:18:45,0.4.0,,703398.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,703398.0,,,,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
143,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,16,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,2016-06-24 22:29:05.000,2021-01-11 10:02:27.000000,2020-03-01 13:46:17,105.0,48.0,32.0,894.0,488.0,2018-12-29 10:52:13,0.4.1,,365479.0,1.0,,,17.0,https://pypi.org/project/jupyter_nbextensions_configurator,365479.0,,,,3.0,,,,,,,,,,,5.0,,,,,,
144,clojupyter,True,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000,2022-04-15 12:53:57.000000,2021-12-29 07:49:50,74.0,17.0,79.0,738.0,283.0,,,,87.0,7.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302,2873.0,3.0,,MIT,,,,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,383.0,,,,,,,
145,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000,2022-05-26 02:01:44.000000,2022-05-26 00:50:51,128.0,664.0,6576.0,628.0,,2022-05-03 22:22:13,2022.4.100,,,24.0,,,248.0,,,,,,3.0,,MIT,,,,,,,,,,,,,,,
146,Bash Kernel,True,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,16,takluyver/bash_kernel,bash_kernel,,https://github.com/takluyver/bash_kernel,2014-06-27 00:27:25.000,2022-05-24 18:33:24.000000,2019-07-22 16:06:53,104.0,40.0,53.0,580.0,86.0,2016-04-07 16:41:34,0.4.1,2839.0,6170.0,1.0,,,13.0,https://pypi.org/project/bash_kernel,6132.0,,,,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
147,LFortran,True,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit..,https://github.com/lfortran/lfortran,,kernels,16,lfortran/lfortran,lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000,2022-05-26 05:00:20.000000,2022-05-26 04:59:58,18.0,,,322.0,8737.0,,,,1066.0,12.0,,,24.0,https://pypi.org/project/lfortran,68.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722,33947.0,3.0,,,,,,,,,,,,,,,,,
148,Lantern,True,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,16,timkpaine/lantern,pylantern,,https://github.com/timkpaine/lantern,2017-07-15 03:49:10.000,2022-03-27 15:23:56.000000,2022-03-27 15:23:55,20.0,10.0,188.0,310.0,514.0,2020-02-02 22:32:28,0.1.6,,82.0,26.0,15.0,15.0,2.0,https://pypi.org/project/pylantern,82.0,,,,2.0,,Apache-2.0,,,,,,,,,,,,,,,
149,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,16,googlecolab/jupyter_http_over_ws,jupyter_http_over_ws,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000,2022-04-01 12:43:46.000000,2021-08-30 21:48:24,39.0,21.0,8.0,224.0,29.0,,,,37363.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,37363.0,,,,3.0,,Apache-2.0,,,,,,,,,,,,,,,
150,JupyterLab Go-To-Definition,True,Navigate to variable's definition with a click in..,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,16,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,2018-12-22 01:18:42.000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05,8.0,10.0,13.0,211.0,89.0,2019-07-05 21:26:30,0.5.0,,3129.0,5.0,11.0,11.0,2.0,,,,,,2.0,,BSD-3-Clause,@krassowski/jupyterlab_go_to_definition,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,3129.0,,,,,,,,,,,,
151,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,16,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,2018-01-23 18:18:38.000,2022-05-12 20:41:09.000000,2021-03-10 20:56:11,22.0,12.0,19.0,208.0,71.0,2021-03-10 20:57:44,4.14.3,,1315.0,6.0,3.0,3.0,5.0,,,,,,3.0,,,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,1315.0,,,,,,,,,,,,
152,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,34.0,57.0,34.0,169.0,426.0,,,,127.0,,10.0,10.0,9.0,,,,,,2.0,,BSD-3-Clause,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,127.0,,,,,,,,,,,,
153,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,16,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000,2022-04-09 09:34:20.000000,2022-02-22 17:17:32,18.0,13.0,33.0,148.0,152.0,2021-10-08 10:06:16,0.7.2,,2313.0,7.0,1.0,1.0,6.0,,,,,,2.0,jupyterlab-contrib/spellchecker,BSD-3-Clause,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,2313.0,,,,,,,,,,,,
154,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,16,QuantStack/ipytree,ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000,2022-04-09 09:36:06.000000,2021-08-10 09:03:01,24.0,18.0,13.0,90.0,103.0,,,,22375.0,7.0,,,8.0,https://pypi.org/project/ipytree,21436.0,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895,35701.0,3.0,,MIT,,,,,,,,,,,,,,,
155,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,timkpaine/jupyterlab_iframe,jupyterlab_iframe,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000,2022-05-26 02:31:31.000000,2022-05-26 02:31:30,16.0,4.0,62.0,80.0,,2022-04-11 20:18:27,0.4.4,,1827.0,17.0,3.0,3.0,5.0,https://pypi.org/project/jupyterlab_iframe,686.0,,,,2.0,,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,1141.0,,,,,,,,,,,,
156,niwidgets,True,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,16,nipy/niwidgets,niwidgets,,https://github.com/nipy/niwidgets,2017-09-11 22:20:27.000,2022-04-06 18:48:31.000000,2020-03-24 14:27:42,33.0,17.0,17.0,74.0,242.0,,,,182.0,,27.0,27.0,16.0,https://pypi.org/project/niwidgets,182.0,,,,3.0,,Apache-2.0,,,,,,,,,,,,,,,
157,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000,2022-04-09 13:34:22.000000,2022-04-09 13:34:21,10.0,10.0,15.0,63.0,,,,,106252.0,5.0,9.0,9.0,5.0,https://pypi.org/project/ipyregulartable,89.0,,,,3.0,,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,106163.0,,,,,,,,,,,,
158,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,16,spacetelescope/jdaviz,jdaviz,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000,2022-05-26 13:50:47.000000,2022-05-26 13:50:47,29.0,236.0,353.0,57.0,,2022-05-25 17:27:57,2.6.0,,609.0,7.0,,,26.0,https://pypi.org/project/jdaviz,609.0,,,,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
159,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,jupyterlab-contrib/jupyter-archive,,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000,2022-04-09 07:50:58.000000,2022-04-09 07:50:57,10.0,1.0,32.0,55.0,208.0,2022-04-08 13:49:20,3.3.1,3252.0,800.0,24.0,,,9.0,,,https://anaconda.org/conda-forge/jupyter-archive,2022-04-08 17:06:07.608,21576.0,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
160,First Use Authenticator,True,JupyterHub Authenticator that lets users set..,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,16,jupyterhub/firstuseauthenticator,jupyterhub-firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,2016-10-25 03:09:14.000,2022-02-28 01:42:16.000000,2021-10-28 11:33:41,21.0,6.0,17.0,40.0,,2019-01-24 17:18:45,0.12,,4342.0,2.0,61.0,61.0,12.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,4342.0,,,,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
161,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43,3.0,2.0,4.0,13.0,172.0,,,,1197.0,7.0,53.0,53.0,4.0,https://pypi.org/project/ipyscales,92.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793,51944.0,3.0,,BSD-3-Clause,,,,,,,,,,,,,,,
162,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,OpenGeoscience/geonotebook,,,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,139.0,37.0,46.0,1046.0,647.0,,,,1875.0,,,,9.0,,,,,,3.0,,Apache-2.0,,,,geonotebook/geonotebook,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,7.0,131272.0,,,,,,,
163,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,15,csurfer/pyheatmagic,py-heat-magic,,https://github.com/csurfer/pyheatmagic,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,23.0,2.0,3.0,985.0,34.0,,,,956.0,,28.0,28.0,3.0,https://pypi.org/project/py-heat-magic,956.0,,,,2.0,,MIT,,,,,,,,,,,,,,,
