,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,commit_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-03-23 10:43:41.000000,2023-03-23 09:00:08,4238.0,1507.0,5573.0,15737.0,2021-01-30 02:36:56,7.18.1,319919.0,21920374.0,80.0,377807.0,377807.0,940.0,https://pypi.org/project/ipython,21701320.0,https://anaconda.org/conda-forge/ipython,2023-02-28 21:01:39.229,17950671.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-03-23 13:12:42.000000,2023-03-16 12:00:01,497.0,472.0,601.0,1462.0,2023-03-14 13:47:55,7.2.10,313.0,17449000.0,46.0,196299.0,196299.0,256.0,https://pypi.org/project/nbconvert,17316567.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10991449.0,1.0,,,,,,,,,,,,,,,,,
3,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-03-20 14:41:37.000000,2023-03-20 14:41:33,321.0,227.0,225.0,543.0,2023-03-20 14:41:55,6.22.0,1264.0,15549210.0,59.0,236867.0,236867.0,166.0,https://pypi.org/project/ipykernel,15541969.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,632264.0,1.0,10.0,,,,,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-03-13 05:58:34.307000,2023-03-11 20:46:41,178.0,102.0,220.0,356.0,,,,3511450.0,36.0,127441.0,127441.0,120.0,https://pypi.org/project/qtconsole,3466361.0,https://anaconda.org/conda-forge/qtconsole,2023-03-13 05:58:34.307,3697325.0,1.0,,1921.0,,,,,,,,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,31,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-03-22 21:14:37.000000,2023-03-17 09:34:07,1425.0,135.0,511.0,10380.0,2023-03-17 09:38:31,4.1.1,,1163860.0,42.0,165.0,165.0,108.0,https://pypi.org/project/pandas-profiling,1159457.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,347873.0,1.0,,1271.0,ydataai/ydata-profiling,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-03-14 01:24:58.000000,2023-03-14 01:16:06,564.0,527.0,707.0,3288.0,2023-03-14 01:24:58,0.15.1,,94946.0,42.0,9005.0,9005.0,121.0,https://pypi.org/project/jupyter-book,94946.0,,,,1.0,7.0,1414.0,,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-03-23 08:35:03.000000,2023-03-22 13:37:26,869.0,620.0,1280.0,2746.0,2023-03-22 11:45:50,8.0.5,,9269948.0,46.0,6325.0,6325.0,202.0,https://pypi.org/project/ipywidgets,9100898.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-21 18:02:07.070,8381137.0,1.0,-3.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,68073.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-02 23:14:08.000000,2023-02-10 13:49:02,325.0,212.0,332.0,1339.0,2022-10-19 07:57:17,0.17.2,,236466.0,65.0,3923.0,3923.0,82.0,https://pypi.org/project/ipyleaflet,162274.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,974165.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,62312.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-03-20 18:30:27.236000,2023-03-20 14:39:17,136.0,56.0,78.0,204.0,2023-03-20 14:39:41,5.8.0,110.0,13896624.0,23.0,203042.0,203042.0,75.0,https://pypi.org/project/nbformat,13728291.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,13971372.0,1.0,11.0,,,,,,,,,,,,,,,,
10,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,29,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-03-23 13:37:23.000000,2023-03-23 04:39:27,3987.0,667.0,6551.0,17391.0,,,,3611286.0,49.0,203.0,203.0,645.0,https://pypi.org/project/bokeh,3463516.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10491696.0,1.0,,,,,,,,,,,,,,,,,
11,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,29,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-03-23 00:10:51.000000,2023-03-20 13:10:34,3921.0,2004.0,2557.0,10870.0,2023-03-06 07:20:44,6.5.3,11311.0,12277326.0,55.0,19.0,19.0,624.0,https://pypi.org/project/notebook,11929228.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3057125.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-03-20 04:41:08.333855,986.0,29130495.0,,,,,,
