,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
10,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-12-07 08:04:28.000000,2022-12-07 00:25:24,3914.0,671.0,6409.0,16968.0,,,,3809938.0,47.0,175.0,175.0,623.0,https://pypi.org/project/bokeh,3670979.0,https://anaconda.org/conda-forge/bokeh,2022-11-15 00:21:46.763,9449216.0,1.0,,,,,,,,,,,,,,,,,
11,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,28,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2022-11-09 11:07:12.000000,2022-07-26 13:21:25,225.0,173.0,128.0,1807.0,2018-06-11 13:56:17,0.4.5,,67691.0,16.0,914.0,914.0,41.0,https://pypi.org/project/ipyvolume,60142.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,399038.0,1.0,widgetti/ipyvolume,974.0,ipyvolume,https://www.npmjs.com/package/ipyvolume,1849.0,,,,,,,,,,,,
12,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-12-07 20:53:42.000000,2022-11-29 15:10:25,200.0,121.0,147.0,1361.0,2022-08-22 09:55:02,0.9.2,,183606.0,27.0,4649.0,4649.0,29.0,https://pypi.org/project/ipympl,156619.0,,,,1.0,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,26987.0,,,,,,,,,,,,
13,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,27,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,,2015-04-09 06:58:03.000,2022-12-07 07:10:25.000000,2022-12-06 08:00:53,3865.0,1992.0,2511.0,10570.0,2022-10-30 06:48:28,6.5.2,9807.0,10957890.0,46.0,12.0,12.0,622.0,https://pypi.org/project/notebook,10614832.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,2650461.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-12-05 18:44:27.832194,964.0,28114492.0,,,,,,
14,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2022-12-06 07:19:32.921000,2022-11-12 19:00:16,351.0,84.0,471.0,5696.0,2022-12-05 23:03:52,1.14.2,,317404.0,100.0,3713.0,3713.0,73.0,https://pypi.org/project/jupytext,300907.0,https://anaconda.org/conda-forge/jupytext,2022-12-06 07:19:32.921,450275.0,1.0,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7308.0,,,,,,,,,,,,
15,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-11-22 09:42:18.000000,2022-11-04 18:35:00,309.0,49.0,438.0,3755.0,2022-11-04 20:11:40,2.9.0,,284758.0,114.0,571.0,571.0,29.0,https://pypi.org/project/dtale,279545.0,https://anaconda.org/conda-forge/dtale,2022-11-04 20:50:39.708,177266.0,2.0,,631.0,,,,,,,,,,,,,,,
16,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-12-07 07:40:46.000000,2022-09-29 15:04:10,439.0,213.0,361.0,3381.0,2022-09-02 15:03:28,0.12.36,,147931.0,58.0,35.0,35.0,59.0,https://pypi.org/project/bqplot,129692.0,https://anaconda.org/conda-forge/bqplot,2022-09-02 17:23:26.370,1081308.0,2.0,,3545.0,bqplot,https://www.npmjs.com/package/bqplot,4552.0,,,,,,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-11-16 00:09:35.000000,2022-11-16 00:09:35,256.0,104.0,40.0,1602.0,,,,105117.0,3.0,3709.0,3709.0,53.0,https://pypi.org/project/ipython-sql,102613.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,190317.0,1.0,,286.0,,,,,,,,,,,,,,,
18,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-12-08 08:57:36.000000,2022-12-08 08:57:35,242.0,83.0,456.0,1190.0,2022-11-28 16:46:06,0.40.1,,110488.0,48.0,17.0,17.0,83.0,https://pypi.org/project/jupyterlab-git,103931.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-11-28 21:24:37.215,314736.0,1.0,,1814.0,,,,,,,,,,,,,,,
19,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2022-10-29 13:12:23.000000,2021-05-06 12:01:05,858.0,78.0,76.0,7043.0,2019-07-01 16:35:20,1.0.0,,395581.0,4.0,150.0,150.0,28.0,https://pypi.org/project/facets-overview,395581.0,,,,2.0,,264.0,,,,,,,,,,,,,,,
20,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-11-05 14:54:39.000000,2022-10-18 22:34:20,364.0,114.0,243.0,5023.0,,,,1003937.0,17.0,2608.0,2608.0,108.0,https://pypi.org/project/papermill,997231.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,348715.0,2.0,,,,,,,,,,,,,,,,,
21,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2022-12-07 23:03:07.000000,2022-11-30 15:38:24,438.0,260.0,379.0,4474.0,2022-10-26 15:12:41,0.4.0,455.0,73064.0,60.0,7856.0,7856.0,63.0,https://pypi.org/project/voila,67293.0,https://anaconda.org/conda-forge/voila,2022-10-27 07:53:02.986,233124.0,2.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,1079.0,,,,,,,,,,,,
22,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2022-12-07 19:48:38.000000,2022-10-21 14:50:27,225.0,46.0,23.0,845.0,2022-04-01 20:13:44,0.4.2,77.0,403551.0,11.0,2126.0,2126.0,10.0,https://pypi.org/project/jupyter-dash,403549.0,,,,2.0,,161.0,,,,,,,,,,,,,,,
23,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2022-12-08 13:53:12.000000,2022-12-08 08:21:57,1783.0,142.0,2050.0,7324.0,,,,205013.0,34.0,2003.0,2003.0,319.0,https://pypi.org/project/jupyterhub,167535.0,https://anaconda.org/conda-forge/jupyterhub,2022-12-05 14:39:56.585,801506.0,1.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-12-07 14:58:34.656927,318.0,2788054.0,,,,,,
24,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2022-12-08 08:02:18.000000,2022-10-26 19:51:28,529.0,158.0,1521.0,5924.0,2021-01-26 05:18:38,0.28.0,1397250.0,20668.0,66.0,,,176.0,https://pypi.org/project/nteract_on_jupyter,2982.0,,,,1.0,,10501.0,,,,,,,,,,,,,,,
25,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,25,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2022-11-28 16:46:30.000000,2022-11-23 09:52:14,535.0,496.0,679.0,3153.0,2022-08-16 07:13:52,0.13.1,,79185.0,38.0,,,118.0,https://pypi.org/project/jupyter-book,79185.0,,,,2.0,,1394.0,,,,,,,,,,,,,,,
26,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2022-10-31 16:26:37.000000,2022-10-31 16:26:37,390.0,129.0,285.0,1183.0,2022-05-02 22:17:21,0.20.0,,36153.0,17.0,267.0,267.0,58.0,https://pypi.org/project/sparkmagic,35212.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,60232.0,1.0,,1214.0,,,,,,,,,,,,,,,
27,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,160.0,164.0,260.0,1024.0,2019-12-04 15:06:08,1.1.18,,15170.0,19.0,242.0,242.0,33.0,https://pypi.org/project/pixiedust,14034.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,42041.0,1.0,,2157.0,,,,,,,,,,,,,,,
28,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-11-29 21:32:01.000000,2022-11-17 02:50:02,394.0,75.0,675.0,3897.0,2022-11-08 23:17:29,2.3.9,,52113.0,23.0,,,30.0,https://pypi.org/project/nbdev,52113.0,,,,1.0,,1538.0,,,,,,,,,,,,,,,
29,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2022-11-03 18:17:00.705000,2022-11-03 14:02:18,388.0,145.0,288.0,3429.0,,,,11046.0,9.0,2099.0,2099.0,43.0,https://pypi.org/project/RISE,6892.0,https://anaconda.org/conda-forge/rise,2022-11-03 18:17:00.705,240937.0,2.0,,760.0,,,,,,,,,,,,,,,
30,pythreejs,True,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,24,jupyter-widgets/pythreejs,pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,,2013-12-23 17:02:11.000,2022-10-21 10:50:59.000000,2022-08-25 13:37:51,173.0,55.0,166.0,840.0,2022-08-31 09:02:38,2.4.1,,79398.0,17.0,21.0,21.0,30.0,https://pypi.org/project/pythreejs,69282.0,https://anaconda.org/conda-forge/pythreejs,2022-09-06 14:51:41.037,442822.0,2.0,,1715.0,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,4511.0,,,,,,,,,,,,
31,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,23,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2022-12-06 21:39:57.000000,2022-11-15 17:23:09,772.0,327.0,452.0,4936.0,2022-11-15 17:24:23,0.7.0,,310615.0,2.0,,,132.0,https://pypi.org/project/jupyter_contrib_nbextensions,310615.0,,,,1.0,,2640.0,,,,2.0,,,,,,,,,,,
32,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,23,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2022-11-08 16:27:23.000000,2020-04-07 18:56:49,393.0,151.0,125.0,2916.0,2020-04-07 16:34:17,1.3.1,,82308.0,21.0,,,30.0,https://pypi.org/project/qgrid,75392.0,https://anaconda.org/conda-forge/qgrid,2022-11-02 16:27:28.702,370802.0,2.0,,405.0,qgrid,https://www.npmjs.com/package/qgrid,523.0,,,,,,,,,,,,
33,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,23,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2022-11-03 11:08:08.841000,2021-01-21 14:02:57,375.0,348.0,4175.0,2702.0,2018-12-04 18:27:21,1.3.0,31.0,16078.0,39.0,,,43.0,https://pypi.org/project/beakerx,4614.0,https://anaconda.org/conda-forge/beakerx,2022-11-03 11:08:08.841,561157.0,1.0,,1689.0,beakerx,https://www.npmjs.com/package/beakerx,253.0,,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,248928.0,,,,,,
34,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2022-12-05 02:37:02.000000,2022-11-24 14:42:18,137.0,70.0,222.0,2334.0,,,,285867.0,21.0,89.0,89.0,41.0,https://pypi.org/project/nbdime,232571.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,710756.0,2.0,,1967.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,43425.0,,,,,,,,,,,,
35,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,23,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,MIT,2014-02-26 02:57:07.000,2022-12-05 18:43:35.148477,2022-11-03 10:02:52,284.0,61.0,511.0,1580.0,2022-11-03 10:05:23,1.3.1,,15115.0,18.0,,,42.0,,,https://anaconda.org/r/r-irkernel,2022-05-31 20:41:46.649,100855.0,1.0,,592.0,,,,,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2022-12-05 18:43:35.148477,48.0,1486098.0,IRkernel,,,,,
36,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,23,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2022-12-06 00:32:31.000000,2022-11-17 12:09:03,303.0,152.0,336.0,1421.0,2022-10-18 19:01:00,2022.10.0,,4861.0,12.0,169.0,169.0,114.0,https://pypi.org/project/jupyter-repo2docker,4861.0,,,,1.0,,,,,,,,,,,,,,,,,
37,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2022-10-24 14:20:57.000000,2022-09-17 19:29:50,46.0,38.0,62.0,392.0,,,,97512.0,8.0,1788.0,1788.0,31.0,https://pypi.org/project/nbval,93586.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985,266979.0,1.0,,457.0,,,,,,,,,,,,,,,
38,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2022-12-08 12:26:41.000000,2022-12-08 12:26:38,237.0,150.0,183.0,300.0,2022-12-05 11:28:56,7.4.8,540.0,15253395.0,37.0,,,122.0,https://pypi.org/project/jupyter-client,15253362.0,,,,1.0,,,,,,,,,,,,,,,,,
39,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,23,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,BSD-3-Clause,2014-08-24 20:53:45.000,2022-12-01 15:02:51.677000,2022-12-01 11:45:08,78.0,28.0,115.0,296.0,2022-12-01 11:45:25,0.29.3,52.0,33521.0,52.0,651.0,651.0,32.0,https://pypi.org/project/metakernel,25404.0,https://anaconda.org/conda-forge/metakernel,2022-12-01 15:02:51.677,649075.0,1.0,,,,,,3.0,,,,,,,,,,,
40,ipywebrtc,True,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,23,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2022-12-06 14:47:30.000000,2021-03-29 11:25:59,34.0,35.0,20.0,217.0,,,,65327.0,8.0,641.0,641.0,9.0,https://pypi.org/project/ipywebrtc,60388.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469,285502.0,2.0,,209.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,479.0,,,,,,,,,,,,
41,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,23,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,BSD-3-Clause,2016-01-17 05:11:49.000,2022-09-13 07:14:14.000000,2021-06-27 18:55:19,153.0,56.0,82.0,183.0,2018-06-14 12:02:35,1.2.2,,8343.0,3.0,103.0,103.0,31.0,https://pypi.org/project/jupyterhub-ldapauthenticator,7823.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507,28097.0,1.0,,167.0,,,,,,,,,,,,,,,
42,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,22,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2022-12-06 22:07:39.000000,2022-12-06 22:07:39,2641.0,24.0,771.0,7375.0,,,,993705.0,,,,225.0,,,,,,2.0,,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-12-05 18:44:16.308250,372.0,88439763.0,,,,,,
43,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,22,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2022-12-08 13:53:41.000000,2022-12-07 23:40:32,316.0,52.0,108.0,2917.0,2022-12-08 13:53:42,0.2.1,,,40.0,1050.0,1050.0,31.0,,,,,,2.0,,,,,,3.0,,,,,,,,,,,
44,elyra,True,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,22,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2022-12-07 21:44:31.000000,2022-12-07 04:27:47,258.0,238.0,1303.0,1495.0,2022-11-14 19:45:15,3.13.0,,3651.0,25.0,39.0,39.0,56.0,https://pypi.org/project/elyra,2790.0,https://anaconda.org/conda-forge/elyra,2022-11-15 21:42:34.916,24134.0,1.0,,,,,,,,,,,,,,,,,
