,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-05-04 12:44:02.000000,2023-05-04 12:43:46,4249.0,1529.0,5590.0,15805.0,2021-01-30 02:36:56,7.18.1,320033.0,21197685.0,83.0,393440.0,393440.0,946.0,https://pypi.org/project/ipython,20968770.0,https://anaconda.org/conda-forge/ipython,2023-04-29 16:05:23.786,19225345.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-05-02 05:05:11.000000,2023-04-25 17:17:43,504.0,479.0,607.0,1489.0,2023-04-10 13:58:26,7.3.1,369.0,15967796.0,49.0,203402.0,203402.0,259.0,https://pypi.org/project/nbconvert,15829294.0,https://anaconda.org/conda-forge/nbconvert,2023-04-10 14:35:54.580,11772116.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-05-04 07:44:51.000000,2023-03-28 07:48:22,1447.0,149.0,512.0,10548.0,2023-03-28 08:01:52,4.1.2,,970313.0,43.0,371.0,371.0,108.0,https://pypi.org/project/pandas-profiling,965855.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,361101.0,1.0,ydataai/ydata-profiling,1275.0,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-05-03 10:30:11.000000,2023-04-14 20:04:39,326.0,227.0,226.0,549.0,2023-03-20 14:41:55,6.22.0,1333.0,14086151.0,59.0,247954.0,247954.0,166.0,https://pypi.org/project/ipykernel,14078627.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,672279.0,1.0,,,10.0,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-04-06 20:07:25.000000,2023-04-02 21:20:30,183.0,104.0,221.0,364.0,,,,3370855.0,37.0,131704.0,131704.0,120.0,https://pypi.org/project/qtconsole,3324468.0,https://anaconda.org/conda-forge/qtconsole,2023-04-03 17:42:12.643,3896567.0,1.0,,1932.0,,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-05-01 16:59:43.000000,2023-04-24 17:23:00,572.0,535.0,717.0,3350.0,2023-03-14 01:24:58,0.15.1,,64908.0,42.0,9573.0,9573.0,124.0,https://pypi.org/project/jupyter-book,64908.0,,,,1.0,,1421.0,7.0,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-05-04 12:46:21.000000,2023-03-28 15:25:44,877.0,632.0,1288.0,2777.0,2023-03-22 11:45:50,8.0.5,,8625709.0,48.0,6840.0,6840.0,203.0,https://pypi.org/project/ipywidgets,8468241.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,9094067.0,1.0,,,-3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,50479.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,326.0,214.0,334.0,1355.0,2022-10-19 07:57:17,0.17.2,,212609.0,65.0,4227.0,4227.0,82.0,https://pypi.org/project/ipyleaflet,156798.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,999729.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,43910.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-05-02 05:05:04.000000,2023-04-13 22:49:36,139.0,59.0,78.0,207.0,2023-03-20 14:39:41,5.8.0,114.0,13659340.0,23.0,210500.0,210500.0,76.0,https://pypi.org/project/nbformat,13481718.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,15097697.0,1.0,,,11.0,,,,,,,,,,,,,,
