,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,38,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-06-23 10:57:21.000000,2022-06-16 21:01:10,4181.0,1449.0,5496.0,15400.0,25981.0,2021-01-30 02:36:56,7.18.1,318934.0,21905724.0,73.0,284938.0,284938.0,889.0,https://pypi.org/project/ipython,21736845.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,12274509.0,1.0,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-06-18 13:53:05.000000,2022-06-03 15:43:48,1298.0,109.0,465.0,9143.0,1002.0,2022-05-02 02:53:44,3.2.0,,1206910.0,32.0,8232.0,8232.0,88.0,https://pypi.org/project/pandas-profiling,1203833.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,215409.0,1.0,ydataai/pandas-profiling,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-06-23 10:34:34.000000,2022-06-22 13:23:39,812.0,566.0,1215.0,2512.0,7449.0,2021-02-07 22:09:48,7.6.3,,9173807.0,36.0,4261.0,4261.0,197.0,https://pypi.org/project/ipywidgets,8998998.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5213788.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,104353.0,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-06-19 17:26:07.000000,2022-06-19 17:26:07,167.0,96.0,212.0,315.0,1887.0,,,,4255766.0,33.0,103109.0,103109.0,116.0,https://pypi.org/project/qtconsole,4219967.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2613399.0,1.0,,,,,,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-23 05:56:11.000000,2022-06-23 02:39:25,3863.0,691.0,6227.0,16406.0,,,,,2893010.0,45.0,52849.0,52849.0,607.0,https://pypi.org/project/bokeh,2770152.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7617198.0,1.0,,,,,,,,,,,,,,,,
6,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,30,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-06-20 09:59:34.000000,2022-06-19 19:48:45,335.0,71.0,313.0,3277.0,1453.0,2022-06-17 20:18:03,1.2.10,,84479.0,28.0,1031.0,1031.0,69.0,https://pypi.org/project/nbdev,84479.0,,,,1.0,,,,,6.0,,,,,,,,,,,
7,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-06-23 09:47:59.000000,2022-06-20 10:31:13,261.0,529.0,1299.0,1975.0,2143.0,2022-05-24 10:14:55,0.13.1,,415643.0,40.0,3529.0,3529.0,96.0,https://pypi.org/project/panel,404363.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,496341.0,2.0,,,,,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-06-21 19:44:20.000000,2022-06-21 19:44:19,346.0,43.0,2055.0,2306.0,10281.0,2022-05-01 17:07:03,8.2.2,,1737.0,76.0,430.0,430.0,230.0,https://pypi.org/project/nikola,1737.0,,,,1.0,,,,,,,,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-06-23 09:59:59.000000,2022-06-23 09:59:59,316.0,181.0,305.0,1270.0,1096.0,2022-04-14 10:12:55,0.16.0,,153715.0,62.0,1889.0,1889.0,79.0,https://pypi.org/project/ipyleaflet,91404.0,https://anaconda.org/conda-forge/ipyleaflet,2022-05-16 15:27:39.486,839545.0,1.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,50811.0,,,,,,,,,,,,
10,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2022-04-20 04:15:39.000000,2022-04-04 20:36:11,342.0,71.0,446.0,5424.0,,2022-04-04 20:59:48,1.13.8,,375402.0,100.0,2960.0,2960.0,70.0,https://pypi.org/project/jupytext,359144.0,https://anaconda.org/conda-forge/jupytext,2022-04-06 06:06:21.811,329553.0,1.0,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,8594.0,,,,,,,,,,,,
11,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-06-17 18:17:38.395000,2022-06-17 17:23:50,278.0,40.0,428.0,3484.0,606.0,2022-06-17 17:53:49,2.6.0,,73441.0,111.0,392.0,392.0,24.0,https://pypi.org/project/dtale,68999.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,124377.0,1.0,,,,,,,,,,,,,,,,
12,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-06-23 09:54:53.000000,2022-05-31 14:01:29,434.0,209.0,358.0,3310.0,3520.0,2022-01-07 12:38:39,0.12.32,,133264.0,56.0,34.0,34.0,58.0,https://pypi.org/project/bqplot,93437.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,983064.0,1.0,,bqplot,https://www.npmjs.com/package/bqplot,26361.0,,,,,,,,,,,,
13,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,27,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2022-06-08 12:42:54.000000,2022-06-08 12:42:54,217.0,167.0,128.0,1762.0,972.0,2018-06-11 13:56:17,0.4.5,,62345.0,16.0,801.0,801.0,40.0,https://pypi.org/project/ipyvolume,54645.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,363627.0,1.0,widgetti/ipyvolume,ipyvolume,https://www.npmjs.com/package/ipyvolume,2019.0,,,,,,,,,,,,
14,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-06-12 04:14:24.000000,2022-06-12 04:14:20,241.0,101.0,39.0,1533.0,285.0,,,,126888.0,3.0,3182.0,3182.0,53.0,https://pypi.org/project/ipython-sql,124730.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,151111.0,1.0,,,,,,,,,,,,,,,,
15,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-06-17 03:16:42.000000,2022-06-16 20:13:40,183.0,109.0,141.0,1299.0,,2022-04-25 11:58:24,0.9.1,,223929.0,26.0,3311.0,3311.0,28.0,https://pypi.org/project/ipympl,194099.0,,,,1.0,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,29830.0,,,,,,,,,,,,
16,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-06-23 10:23:44.000000,2022-06-19 16:47:30,220.0,86.0,437.0,1107.0,1774.0,2022-04-26 06:28:08,0.37.1,,109473.0,41.0,14.0,14.0,75.0,https://pypi.org/project/jupyterlab-git,105192.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-04-26 12:22:32.707,179841.0,1.0,,,,,,,,,,,,,,,,
17,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,27,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2022-06-17 01:22:28.000000,2022-06-08 17:52:50,204.0,34.0,22.0,764.0,152.0,2022-04-01 20:13:44,0.4.2,76.0,282337.0,11.0,1631.0,1631.0,10.0,https://pypi.org/project/jupyter-dash,282334.0,,,,1.0,,,,,,,,,,,,,,,,
18,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,26,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,,2015-04-09 06:58:03.000,2022-06-21 23:09:21.000000,2022-06-17 09:23:48,3711.0,2054.0,2369.0,10069.0,,2022-06-15 01:21:43,6.4.12,8230.0,12148659.0,36.0,9.0,9.0,611.0,https://pypi.org/project/notebook,11801308.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2086177.0,1.0,,,,,-11.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-06-20 06:40:22.884803,926.0,27101367.0,,,,,,
19,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,26,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2022-06-21 08:17:11.441361,2022-06-21 07:58:36,1658.0,113.0,1995.0,7020.0,,,,,1819577.0,32.0,1787.0,1787.0,280.0,https://pypi.org/project/jupyterhub,1784333.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,583606.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-06-21 08:17:11.441361,312.0,2616067.0,,,,,,
20,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-06-17 20:18:04.000000,2022-06-17 20:18:04,354.0,104.0,239.0,4736.0,,,,,738343.0,17.0,2236.0,2236.0,100.0,https://pypi.org/project/papermill,732553.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,266371.0,2.0,,,,,,,,,,,,,,,,
21,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2022-05-20 09:05:22.000000,2022-05-02 22:12:52,378.0,123.0,271.0,1129.0,1212.0,2022-05-02 22:17:21,0.20.0,,37422.0,17.0,238.0,238.0,57.0,https://pypi.org/project/sparkmagic,36644.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,45152.0,1.0,,,,,,,,,,,,,,,,
22,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,26,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,,2020-01-13 17:29:49.000,2022-06-06 21:01:18.000000,2022-05-31 22:19:02,43.0,27.0,61.0,97.0,,2022-05-31 22:19:49,0.6.4,73.0,11466996.0,23.0,58975.0,58975.0,33.0,https://pypi.org/project/nbclient,11313341.0,https://anaconda.org/conda-forge/nbclient,2022-06-01 08:24:54.627,4302159.0,1.0,,,,,,,,,,,,,,,,
23,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2022-06-22 09:20:23.000000,2022-06-20 21:24:02,2565.0,43.0,707.0,7065.0,2920.0,,,,1032498.0,,,,219.0,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-06-20 06:16:00.333898,349.0,85697396.0,,,,,,
24,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,25,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,835.0,76.0,76.0,6866.0,264.0,2019-07-01 16:35:20,1.0.0,,221983.0,4.0,120.0,120.0,28.0,https://pypi.org/project/facets-overview,221983.0,,,,2.0,,,,,,,,,,,,,,,,
25,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2022-06-17 01:17:18.000000,2022-05-20 02:05:53,524.0,156.0,1520.0,5835.0,10501.0,2021-01-26 05:18:38,0.28.0,1348009.0,21770.0,66.0,,,174.0,https://pypi.org/project/nteract_on_jupyter,3305.0,,,,2.0,,,,,,,,,,,,,,,,
26,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,25,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2022-06-22 10:59:36.000000,2022-06-22 10:59:35,408.0,242.0,360.0,4162.0,,2022-03-29 17:16:03,0.3.5,264.0,43651.0,58.0,6868.0,6868.0,59.0,https://pypi.org/project/voila,36202.0,https://anaconda.org/conda-forge/voila,2022-03-29 20:27:37.534,183265.0,1.0,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,3255.0,,,,,,,,,,,,
