,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-03-18 23:58:59.000000,2022-03-14 11:16:25,4160.0,1502.0,5389.0,15291.0,25913.0,2021-01-30 02:36:56,7.18.1,318539.0,17795569.0,69.0,262037.0,262037.0,879.0,https://pypi.org/project/ipython,17646268.0,https://anaconda.org/conda-forge/ipython,2022-03-03 16:57:06.411,10380884.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-03-24 14:19:34.000000,2022-03-23 18:17:41,3791.0,670.0,6178.0,16091.0,,,,,4930669.0,44.0,48254.0,48254.0,600.0,https://pypi.org/project/bokeh,4816155.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6756370.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-03-16 08:33:19.000000,2022-03-01 16:07:01,1246.0,113.0,441.0,8689.0,924.0,2021-09-27 23:08:38,3.1.0,,1005238.0,31.0,7104.0,7104.0,86.0,https://pypi.org/project/pandas-profiling,1002393.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,190633.0,1.0,MIT,ydataai/pandas-profiling,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-03-16 18:48:16.392000,2022-03-11 23:17:39,782.0,553.0,1188.0,2453.0,7392.0,2021-02-07 22:09:48,7.6.3,,8303034.0,34.0,3494.0,3494.0,193.0,https://pypi.org/project/ipywidgets,8125293.0,https://anaconda.org/conda-forge/ipywidgets,2022-03-16 18:48:16.392,4539785.0,1.0,BSD-3-Clause,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,113801.0,,,,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-03-24 08:54:50.000000,2022-03-24 08:54:50,467.0,393.0,570.0,1285.0,,2022-03-11 17:04:00,6.4.3,,10419400.0,30.0,140472.0,140472.0,239.0,https://pypi.org/project/nbconvert,10335786.0,https://anaconda.org/conda-forge/nbconvert,2022-03-11 23:52:25.113,5936658.0,1.0,,,,,,,,,,,,,,,,,
6,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-03-23 14:14:50.000000,2022-03-23 14:14:45,233.0,483.0,1165.0,1687.0,1906.0,2021-12-09 16:47:15,0.12.6,,419680.0,37.0,2941.0,2941.0,90.0,https://pypi.org/project/panel,410228.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,387535.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
7,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-03-22 16:25:29.000000,2022-03-22 15:15:28,286.0,199.0,191.0,461.0,,2022-03-14 11:24:49,6.9.2,326.0,10676456.0,30.0,160106.0,160106.0,150.0,https://pypi.org/project/ipykernel,10673058.0,https://anaconda.org/anaconda/ipykernel,2022-03-12 09:13:36.250,255849.0,1.0,,,,,,,,,,,,,,,,,
8,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000,2022-03-10 22:26:42.482000,2022-03-10 17:07:34,123.0,47.0,68.0,167.0,776.0,2022-03-10 20:06:49,5.2.0,,10770192.0,14.0,146449.0,146449.0,62.0,https://pypi.org/project/nbformat,10665043.0,https://anaconda.org/conda-forge/nbformat,2022-03-10 22:26:42.482,7465640.0,1.0,,,,,,,,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-03-08 17:38:51.000000,2022-03-08 17:38:50,339.0,39.0,2043.0,2269.0,10257.0,2021-12-27 18:23:21,8.2.0,,3509.0,74.0,413.0,413.0,224.0,https://pypi.org/project/nikola,3509.0,,,,1.0,MIT,,,,,,,,,,,,,,,,
