,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,license,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
212,SSH Kernel,True,SSH Kernel for Jupyter.,https://github.com/NII-cloud-operation/sshkernel,,kernels,13,NII-cloud-operation/sshkernel,sshkernel,,https://github.com/NII-cloud-operation/sshkernel,2019-02-12 02:46:14.000000,2021-11-04 09:33:50.000000,2021-11-04 09:33:21.000000,10.0,2.0,6.0,47.0,398.0,,,,42.0,,6.0,6.0,4.0,https://pypi.org/project/sshkernel,42.0,,,,3.0,,,,,,,,BSD-3-Clause,,,,,,,,,
213,JWT Authenticator,True,A Token Authenticator for JupyterHub.,https://github.com/mogthesprog/jwtauthenticator,,hub-auth,13,mogthesprog/jwtauthenticator,jupyterhub-jwtauthenticator,,https://github.com/mogthesprog/jwtauthenticator,2017-06-21 20:09:58.000000,2021-04-15 07:40:37.000000,2019-02-13 10:57:15.000000,36.0,9.0,8.0,38.0,24.0,,,,240.0,,8.0,8.0,7.0,https://pypi.org/project/jupyterhub-jwtauthenticator,240.0,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
214,jupyterlab_commands,True,Add arbitrary python commands to the jupyterlab command palette.,https://github.com/timkpaine/jupyterlab_commands,,lab-extensions,13,timkpaine/jupyterlab_commands,,,https://github.com/timkpaine/jupyterlab_commands,2018-08-01 15:55:08.000000,2021-11-30 12:58:55.000000,2021-11-30 12:58:55.000000,6.0,1.0,22.0,35.0,,2021-11-30 04:16:09.000000,0.3.2,,,11.0,3.0,3.0,,,,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
215,Null Authenticator,True,Null Authenticator for JupyterHub instances that should have no login mechanism.,https://github.com/jupyterhub/nullauthenticator,,hub-auth,13,jupyterhub/nullauthenticator,nullauthenticator,,https://github.com/jupyterhub/nullauthenticator,2017-08-30 09:12:22.000000,2021-09-23 19:47:08.000000,2021-02-09 00:11:20.000000,9.0,1.0,,7.0,16.0,,,,2219.0,,71.0,71.0,5.0,https://pypi.org/project/nullauthenticator,2219.0,,,,3.0,,,,,,,,BSD-3-Clause,,,,,,,,,
216,JupyterLab Voyager,True,JupyterLab extension visualize data with Voyager.,https://github.com/altair-viz/jupyterlab_voyager,,lab-renderer,12,altair-viz/jupyterlab_voyager,,,https://github.com/altair-viz/jupyterlab_voyager,2017-08-26 15:50:13.000000,2021-08-10 22:48:31.000000,2019-08-14 17:21:34.000000,31.0,40.0,20.0,266.0,87.0,,,,58.0,,,,6.0,,,,,,3.0,,,,,,,jupyterlab_voyager,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab_voyager,58.0,,,,,,,
217,jupyter-manim,True,manim cell magic for IPython/Jupyter to show the output video.,https://github.com/krassowski/jupyter-manim,,magic,12,krassowski/jupyter-manim,,,https://github.com/krassowski/jupyter-manim,2019-05-22 14:18:39.000000,2021-11-05 23:41:24.000000,2021-02-05 05:42:04.000000,11.0,6.0,17.0,161.0,38.0,2020-04-12 11:15:09.000000,1.3,,,6.0,,,4.0,,,,,,3.0,,,,,,,,MIT,,,,,,,,,
218,nbmake-action,True,GitHub Action for testing notebooks.,https://github.com/treebeardtech/nbmake-action,,notebook-tools,12,treebeardtech/nbmake-action,,,https://github.com/treebeardtech/nbmake-action,2020-02-06 15:49:32.000000,2021-09-21 08:52:43.000000,2021-09-21 08:52:40.000000,6.0,,24.0,154.0,731.0,2020-12-11 15:26:11.000000,0.2.1,,,5.0,,,2.0,,,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
219,naas,True,"Schedule notebooks, run them like APIs, expose securely your assets:..",https://github.com/jupyter-naas/naas,,notebook-tools,12,jupyter-naas/naas,naas,,https://github.com/jupyter-naas/naas,2020-09-20 17:09:00.000000,2021-12-27 20:04:42.000000,2021-12-23 12:45:49.000000,11.0,77.0,38.0,148.0,,,,,4935.0,,3.0,3.0,13.0,https://pypi.org/project/naas,4935.0,,,,3.0,,,,,,,,AGPL-3.0,,,,,,,,,
220,ipyexperiments,True,jupyter/ipython experiment containers for GPU and general..,https://github.com/stas00/ipyexperiments,,notebook-tools,12,stas00/ipyexperiments,ipyexperiments,,https://github.com/stas00/ipyexperiments,2018-11-15 01:19:40.000000,2021-12-07 18:50:39.000000,2021-12-07 18:50:38.000000,10.0,,5.0,143.0,203.0,,,,191.0,,5.0,5.0,3.0,https://pypi.org/project/ipyexperiments,191.0,,,,3.0,,,,,,,,,,,,,,,,,
221,Neon Theme,True,"A flat, 80's neon inspired theme for JupyterLab.",https://github.com/yeebc/jupyterlab-neon-theme,,lab-themes,12,yeebc/jupyterlab-neon-theme,,,https://github.com/yeebc/jupyterlab-neon-theme,2019-09-27 14:29:10.000000,2021-03-07 04:41:08.000000,2021-03-07 04:40:47.000000,5.0,2.0,10.0,109.0,43.0,,,,1292.0,,1.0,1.0,3.0,,,,,,2.0,,,,,,,@yeebc/jupyterlab_neon_theme,BSD-3-Clause,https://www.npmjs.com/package/@yeebc/jupyterlab_neon_theme,1292.0,,,,,,,
