,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
151,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,16,ipytree,QuantStack/ipytree,conda-forge/ipytree,,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000000,2021-12-19 00:56:39.000000,2021-08-10 09:03:01.000000,23.0,16.0,13.0,86.0,103.0,,,,12018.0,7.0,,,8.0,https://pypi.org/project/ipytree,11195.0,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895000,28004.0,,,,,3.0,MIT,,,,,,,,,,,
152,Rsession Proxy,True,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,16,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,,,https://github.com/jupyterhub/jupyter-rsession-proxy,2016-12-09 06:26:18.000000,2021-12-22 18:40:07.000000,2021-12-22 18:40:06.000000,59.0,24.0,42.0,83.0,219.0,,,,1028.0,,34.0,34.0,19.0,https://pypi.org/project/jupyter-rsession-proxy,1028.0,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
153,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,jupyterlab_iframe,timkpaine/jupyterlab_iframe,,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000000,2021-12-12 18:40:39.000000,2021-12-12 18:40:39.000000,15.0,6.0,58.0,75.0,,2021-11-30 04:16:27.000000,0.4.1,,1282.0,14.0,3.0,3.0,5.0,https://pypi.org/project/jupyterlab_iframe,454.0,,,,,,,,2.0,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,828.0,,,,,,,,
154,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,16,jupyterhub-systemdspawner,jupyterhub/systemdspawner,,,https://github.com/jupyterhub/systemdspawner,2016-09-06 07:20:44.000000,2021-12-01 11:44:56.000000,2021-08-06 12:10:14.000000,37.0,25.0,29.0,74.0,146.0,,,,1520.0,,19.0,19.0,17.0,https://pypi.org/project/jupyterhub-systemdspawner,1520.0,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
155,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,ipyregulartable,jpmorganchase/ipyregulartable,,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000000,2021-12-11 18:18:15.000000,2021-12-11 18:18:15.000000,9.0,9.0,15.0,53.0,,,,,103410.0,5.0,8.0,8.0,4.0,https://pypi.org/project/ipyregulartable,44.0,,,,,,,,3.0,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,103366.0,,,,,,,,
156,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000000,2021-12-08 08:31:32.000000,2021-10-14 14:56:05.000000,8.0,1.0,29.0,51.0,195.0,2021-12-08 08:31:33.000000,2.3.1,3251.0,830.0,22.0,,,8.0,,,https://anaconda.org/conda-forge/jupyter-archive,2021-10-13 13:44:42.346000,19171.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
157,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,16,,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,,https://github.com/vatlab/jupyterlab-sos,2018-03-20 16:07:18.000000,2021-11-12 20:41:39.000000,2021-11-12 20:41:32.000000,3.0,10.0,48.0,48.0,301.0,2019-09-02 19:30:02.000000,0.5.0,,601.0,11.0,5.0,5.0,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2021-04-16 15:33:43.971000,13211.0,,,,,2.0,BSD-3-Clause,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,130.0,,,,,,,,
158,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,16,jdaviz,spacetelescope/jdaviz,,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000000,2022-01-06 14:09:41.000000,2022-01-06 14:09:41.000000,26.0,208.0,272.0,37.0,,2021-12-23 19:15:41.000000,2.2.0,,255.0,3.0,,,25.0,https://pypi.org/project/jdaviz,255.0,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
159,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,2.0,4.0,13.0,172.0,,,,1251.0,7.0,51.0,51.0,4.0,https://pypi.org/project/ipyscales,64.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,51074.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
160,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,,OpenGeoscience/geonotebook,,geonotebook/geonotebook,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00.000000,136.0,37.0,46.0,1037.0,647.0,,,,1988.0,,,,9.0,,,,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,6.0,131261.0,3.0,Apache-2.0,,,,,,,,,,,
161,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000000,2022-01-05 21:59:02.000000,2021-10-21 20:09:40.000000,84.0,20.0,63.0,661.0,141.0,,,4791.0,154.0,2.0,,,7.0,,,,,,,,,,3.0,MIT,,,,,,,,,,,
162,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,jupyternotify,ShopRunner/jupyter-notify,,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000000,2021-04-27 16:57:08.000000,2021-04-27 14:56:38.000000,30.0,11.0,11.0,549.0,,2018-01-08 14:51:41.000000,0.1.15,,1349.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,1349.0,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
163,IElixir,True,Jupyter's kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,15,,pprzetacznik/IElixir,,pprzetacznik/ielixir,https://github.com/pprzetacznik/IElixir,2015-07-06 11:39:08.000000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38.000000,38.0,10.0,20.0,335.0,282.0,2020-11-15 17:48:03.000000,0.9.21,,3.0,8.0,,,19.0,,,,,,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,308.0,3.0,Apache-2.0,,,,,,,,,,ielixir,
164,blackcellmagic,True,IPython magic command to format python code in cell using..,https://github.com/csurfer/blackcellmagic,,magic,15,blackcellmagic,csurfer/blackcellmagic,,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2021-09-18 19:09:47.000000,2021-09-18 19:09:46.000000,9.0,3.0,5.0,280.0,18.0,,,,3207.0,,128.0,128.0,3.0,https://pypi.org/project/blackcellmagic,3207.0,,,,,,,,2.0,MIT,,,,,,,,,,,
165,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,15,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000000,2021-08-30 21:48:26.000000,2021-08-30 21:48:24.000000,34.0,19.0,7.0,205.0,29.0,,,,26706.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,26706.0,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
166,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,15,sidecar,jupyter-widgets/jupyterlab-sidecar,,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-10-26 14:58:49.000000,2021-07-04 21:12:58.000000,34.0,19.0,10.0,191.0,69.0,2021-03-11 01:34:17.000000,0.5.1,,512.0,1.0,3.0,3.0,13.0,https://pypi.org/project/sidecar,,,,,,,,,3.0,BSD-3-Clause,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,512.0,,,,,,,,
167,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/igvteam/igv-jupyter,,widgets,15,igv-jupyter,igvteam/igv-jupyter,,,https://github.com/igvteam/igv-jupyter,2016-07-21 18:44:38.000000,2021-11-22 19:09:03.000000,2021-11-22 18:54:33.000000,14.0,,39.0,142.0,119.0,2021-11-22 19:09:03.000000,0.10.4,,103.0,8.0,6.0,6.0,4.0,https://pypi.org/project/igv-jupyter,103.0,,,,,,,,3.0,MIT,,,,,,,,,,,
168,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000000,2021-02-08 11:04:25.512000,2020-09-11 21:06:00.000000,28.0,33.0,28.0,126.0,158.0,,,,4867.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512000,321260.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
169,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,15,,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000000,2021-08-26 08:02:21.000000,2021-08-26 08:02:18.000000,18.0,5.0,16.0,124.0,111.0,,,,1800.0,,150.0,150.0,7.0,,,,,,,,,,1.0,BSD-3-Clause,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,1800.0,,,,,,,,
170,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,15,,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29.000000,25.0,11.0,7.0,112.0,441.0,,,,,,338.0,338.0,10.0,,,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
171,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,15,ipylab,jtpio/ipylab,conda-forge/ipylab,,https://github.com/jtpio/ipylab,2019-11-15 19:52:12.000000,2021-11-14 22:01:52.000000,2021-11-14 22:01:52.000000,4.0,9.0,17.0,90.0,,2021-11-13 10:58:20.000000,0.5.2,21.0,1533.0,11.0,,,5.0,https://pypi.org/project/ipylab,1219.0,https://anaconda.org/conda-forge/ipylab,2021-11-13 16:03:39.438000,8176.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
172,Content Management,True,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,15,jupyter_cms,jupyter-incubator/contentmanagement,conda-forge/jupyter_cms,,https://github.com/jupyter-incubator/contentmanagement,2015-09-21 15:41:02.000000,2021-11-17 19:16:08.958000,2018-06-11 01:51:34.000000,25.0,7.0,20.0,76.0,136.0,,,,1268.0,3.0,,,8.0,https://pypi.org/project/jupyter_cms,166.0,https://anaconda.org/conda-forge/jupyter_cms,2021-11-17 19:16:08.958000,70537.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
173,nbzip,True,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,15,nbzip,data-8/nbzip,,,https://github.com/data-8/nbzip,2017-09-30 17:32:31.000000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25.000000,15.0,9.0,5.0,74.0,43.0,,,,583.0,,246.0,246.0,6.0,https://pypi.org/project/nbzip,583.0,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
174,niwidgets,True,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,15,niwidgets,nipy/niwidgets,,,https://github.com/nipy/niwidgets,2017-09-11 22:20:27.000000,2021-10-21 18:19:17.000000,2020-03-24 14:27:42.000000,33.0,17.0,17.0,70.0,242.0,,,,170.0,,27.0,27.0,16.0,https://pypi.org/project/niwidgets,170.0,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
175,JupyterLab Quickopen,True,Quickly open a file in JupyterLab by typing part of its..,https://github.com/parente/jupyterlab-quickopen,,lab-extensions,15,jupyterlab-quickopen,parente/jupyterlab-quickopen,,,https://github.com/parente/jupyterlab-quickopen,2018-12-04 01:00:58.000000,2021-12-12 18:36:27.000000,2021-12-12 18:25:55.000000,6.0,,,70.0,56.0,2021-12-12 18:28:02.000000,1.2.0,,448.0,3.0,,,5.0,https://pypi.org/project/jupyterlab-quickopen,412.0,,,,,,,,3.0,BSD-3-Clause,@parente/jupyterlab-quickopen,https://www.npmjs.com/package/@parente/jupyterlab-quickopen,36.0,,,,,,,,
176,jupyterlab-theme-solarized-dark,True,JupyterLab 2.x Solarized Dark extension.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,15,jupyterlab_theme_solarized_dark,AllanChain/jupyterlab-theme-solarized-dark,,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,2020-04-05 12:18:48.000000,2021-11-16 02:56:15.000000,2021-11-16 02:48:11.000000,6.0,1.0,1.0,51.0,68.0,2021-09-26 00:52:38.000000,2.0.1,,2791.0,9.0,1.0,1.0,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,,,,,,,,,1.0,BSD-3-Clause,jupyterlab-theme-solarized-dark,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,2791.0,,,,,,,,
177,First Use Authenticator,True,JupyterHub Authenticator that lets users set..,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,15,jupyterhub-firstuseauthenticator,jupyterhub/firstuseauthenticator,,,https://github.com/jupyterhub/firstuseauthenticator,2016-10-25 03:09:14.000000,2021-10-28 11:34:33.000000,2021-10-28 11:33:41.000000,20.0,5.0,17.0,38.0,,2019-01-24 17:18:45.000000,0.12,,3588.0,2.0,56.0,56.0,12.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,3588.0,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
178,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,14,,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,2020-11-25 15:20:08.000000,2022-01-03 15:26:19.000000,2021-12-29 18:07:11.000000,162.0,34.0,29.0,2009.0,,,,,,18.0,,,11.0,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
179,jupyter-tensorboard,True,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,14,jupyter-tensorboard,lspvic/jupyter_tensorboard,,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000000,2021-02-25 23:36:10.000000,2020-02-16 06:42:48.000000,68.0,39.0,29.0,449.0,69.0,,,,3357.0,,,,4.0,https://pypi.org/project/jupyter-tensorboard,3357.0,,,,,,,,3.0,MIT,,,,,,,,,,,
180,JupyterWith,True,declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyterWith,,notebook-tools,14,,tweag/jupyterWith,,,https://github.com/tweag/jupyterWith,2018-12-18 10:10:58.000000,2021-12-20 09:23:14.000000,2021-12-20 09:23:14.000000,69.0,46.0,42.0,302.0,344.0,,,,,,,,24.0,,,,,,,,,,3.0,MIT,,,,,,,,,,,
181,gpu-jupyter,True,Leverage the flexibility of Jupyterlab through the power of your..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,14,,iot-salzburg/gpu-jupyter,,,https://github.com/iot-salzburg/gpu-jupyter,2019-11-12 20:10:23.000000,2021-11-22 09:07:18.000000,2021-11-22 09:07:17.000000,106.0,6.0,39.0,291.0,210.0,2021-04-08 06:54:08.000000,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,10.0,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
