,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
83,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,19,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-12-25 14:22:01.000000,2021-11-22 20:42:15,361.0,2.0,89.0,2974.0,2021-07-13 22:12:59,0.13.2,,11466.0,4.0,,,11.0,,,,,,3.0,,,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,26.0,515988.0,,,,,,
84,IJulia.jl,True,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,19,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,MIT,2013-03-05 18:20:21.000,2023-01-17 17:13:36.000000,2023-01-17 17:10:37,386.0,110.0,694.0,2586.0,2022-12-20 22:13:40,1.24.0,,,43.0,,,106.0,,,,,,2.0,,,713.0,,,,,,,,,,,,,,
85,docker-python,True,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,19,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2023-02-22 21:47:50.000000,2023-02-22 21:47:49,839.0,18.0,285.0,2258.0,2023-02-16 15:29:43,57c4ea6e84d0d186c13de35874062b80fa4cca1a4311f6ab510b636f627b80d9,,2063.0,100.0,,,147.0,,,,,,3.0,,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2023-02-16 15:38:25.544725,166.0,193994.0,,,,,,
86,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,19,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2023-02-11 02:13:48.000000,2023-01-27 08:04:32,509.0,171.0,404.0,2090.0,,,,22061.0,,9.0,9.0,95.0,,,,,,3.0,,,,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2023-01-27 08:07:14.487852,30.0,2779733.0,,,,,,
87,colabcode,True,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,19,abhishekkrthakur/colabcode,colabcode,,https://github.com/abhishekkrthakur/colabcode,MIT,2020-09-09 10:06:26.000,2022-08-22 10:08:00.000000,2021-06-11 15:16:36,252.0,43.0,33.0,1888.0,,,,4063.0,,94.0,94.0,8.0,https://pypi.org/project/colabcode,4063.0,,,,3.0,,,44.0,,,,,,,,,,,,,,
88,almond,True,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,19,almond-sh/almond,,,https://github.com/almond-sh/almond,BSD-3-Clause,2015-03-10 22:48:50.000,2023-02-11 01:54:54.000000,2023-02-01 10:48:47,223.0,102.0,200.0,1491.0,2023-02-01 10:52:48,0.13.3,1447.0,206.0,41.0,,,39.0,,,,,,2.0,,,,,,,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2023-02-01 13:35:35.588883,6.0,17188.0,,,,,,
89,Variable Inspector,True,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,19,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,BSD-3-Clause,2018-06-13 18:16:02.000,2023-01-20 07:58:41.000000,2023-01-10 15:02:24,83.0,39.0,123.0,958.0,2021-04-10 11:39:23,3.0.7,,4036.0,6.0,5.0,5.0,19.0,,,,,,1.0,,,169.0,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,4036.0,,,,,,,,,,,
90,notedown,True,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,19,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,92.0,39.0,29.0,842.0,,,,5923.0,1.0,214.0,214.0,7.0,https://pypi.org/project/notedown,5303.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,34743.0,3.0,,,264.0,,,,,,,,,,,,,,
91,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2022-12-10 12:18:17.000000,2022-01-05 20:19:46,145.0,64.0,56.0,781.0,2021-10-12 17:36:36,1.8.1,,10178.0,3.0,,,20.0,https://pypi.org/project/witwidget,9029.0,,,,3.0,,,328.0,wit-widget,https://www.npmjs.com/package/wit-widget,1149.0,,,,,,,,,,,
92,gmaps,True,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,19,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,BSD-3-Clause,2014-12-01 09:12:06.000,2022-04-15 13:31:22.000000,2019-07-22 06:22:45,146.0,71.0,137.0,749.0,2016-01-02 19:06:03,0.2,,11665.0,20.0,3.0,3.0,16.0,https://pypi.org/project/gmaps,5865.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940,290908.0,3.0,,,1380.0,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,1584.0,,,,,,,,,,,
93,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,19,nbQA-dev/nbQA,nbqa,,https://github.com/nbQA-dev/nbQA,MIT,2020-07-11 15:30:54.000,2023-02-20 21:29:07.000000,2023-02-20 21:29:07,35.0,2.0,270.0,695.0,,,,62766.0,,,,23.0,https://pypi.org/project/nbqa,62766.0,,,,3.0,,,628.0,,,,,,,,,,,,,,
