,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
85,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,19,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2022-07-17 11:55:06.000000,2022-07-09 09:08:49,107.0,50.0,32.0,908.0,502.0,2022-07-17 11:55:06,0.5.0,,304229.0,2.0,,,20.0,https://pypi.org/project/jupyter_nbextensions_configurator,304229.0,,,,2.0,,,,,,,,,,8.0,,,,,,
86,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2022-06-03 01:25:04.000000,2022-01-05 20:19:46,139.0,58.0,52.0,730.0,328.0,2021-10-12 17:36:36,1.8.1,,18995.0,3.0,,,20.0,https://pypi.org/project/witwidget,12598.0,,,,3.0,wit-widget,https://www.npmjs.com/package/wit-widget,6397.0,,,,,,,,,,,,,
87,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,19,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2022-07-07 04:18:47.000000,2021-08-10 23:33:21,104.0,64.0,51.0,724.0,523.0,2018-04-16 17:16:10,0.2.0,,102339.0,1.0,,,14.0,,,,,,2.0,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,102339.0,,,,,,,,,,,,,
88,Apache Toree,True,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,19,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,Apache-2.0,2016-01-07 08:00:06.000,2022-03-15 19:55:24.000000,2022-03-15 19:55:24,212.0,,,701.0,1150.0,,,,12305.0,,,,103.0,https://pypi.org/project/toree,12305.0,,,,2.0,,,,,,,,,,,,,,,,
89,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,19,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2022-07-20 03:28:34.000000,2021-06-29 12:29:51,63.0,40.0,25.0,540.0,101.0,,,,4525.0,,499.0,499.0,15.0,,,,,,2.0,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,4525.0,,,,,,,,,,,,,
90,ipysheet,True,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,19,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2022-07-20 08:55:24.000000,2021-12-14 18:02:31,62.0,61.0,57.0,499.0,295.0,,,,57527.0,13.0,3.0,3.0,10.0,https://pypi.org/project/ipysheet,52775.0,https://anaconda.org/conda-forge/ipysheet,2021-08-11 12:55:17.098,53561.0,3.0,ipysheet,https://www.npmjs.com/package/ipysheet,3507.0,,,,,,,,,,,,,
91,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,19,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,,2015-09-09 13:39:18.000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25,62.0,17.0,41.0,470.0,32.0,2018-01-15 18:11:51,0.9.0,,13255.0,8.0,252.0,252.0,3.0,https://pypi.org/project/pivottablejs,13255.0,,,,3.0,,,,,,,,,,,,,,,,
92,Octave Kernel,True,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,19,calysto/octave_kernel,octave_kernel,,https://github.com/Calysto/octave_kernel,BSD-3-Clause,2014-07-31 01:59:06.000,2022-05-03 22:45:44.000000,2022-05-03 22:45:44,60.0,29.0,143.0,406.0,409.0,2022-03-31 08:36:27,0.34.2,50.0,10902.0,6.0,,,18.0,https://pypi.org/project/octave_kernel,10902.0,,,,2.0,,,,,,,,,,,,,,,,
93,JupyterLab System Monitor,True,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,19,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2022-07-20 02:30:49.000000,2022-02-15 08:27:46,29.0,22.0,20.0,245.0,,2021-02-04 22:39:49,0.8.0,,4023.0,2.0,46.0,46.0,7.0,,,,,,2.0,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,4023.0,,,,,,,,,,,,,
94,bookstore,True,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,19,nteract/bookstore,bookstore,,https://github.com/nteract/bookstore,BSD-3-Clause,2018-10-16 18:54:00.000,2021-08-26 18:26:16.000000,2019-12-09 16:52:07,18.0,34.0,39.0,184.0,619.0,2019-12-03 17:50:40,2.5.0,,26059.0,6.0,11.0,11.0,7.0,https://pypi.org/project/bookstore,26059.0,,,,3.0,,,,,,,,,,,,,,,,
