,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-31 08:14:23.000000,2023-07-31 08:14:22,4263.0,1546.0,5610.0,15881.0,2021-01-30 02:36:56,7.18.1,320269.0,27767362.0,86.0,430035.0,430035.0,955.0,https://pypi.org/project/ipython,27515818.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21901158.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-08-03 08:24:18.000000,2023-08-01 10:01:01,1487.0,175.0,524.0,10958.0,2023-08-01 08:57:19,4.4.0,,941704.0,48.0,1028.0,1028.0,111.0,https://pypi.org/project/pandas-profiling,937101.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,386694.0,1.0,ydataai/ydata-profiling,1320.0,,,,,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-08-01 12:27:09.000000,2023-08-01 12:27:06,510.0,480.0,629.0,1534.0,2023-07-25 16:47:05,7.7.3,588.0,18776684.0,55.0,220065.0,220065.0,263.0,https://pypi.org/project/nbconvert,18370153.0,https://anaconda.org/conda-forge/nbconvert,2023-07-25 19:35:27.976,13415167.0,1.0,,,,,,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-08-03 10:49:03.000000,2023-08-01 09:03:02,4016.0,719.0,6638.0,17809.0,,,,3636675.0,52.0,73347.0,73347.0,665.0,https://pypi.org/project/bokeh,3317993.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12109923.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-08-01 09:48:34.000000,2023-08-01 09:48:32,333.0,235.0,229.0,566.0,2023-07-25 16:19:55,6.25.0,1669.0,17837778.0,65.0,274447.0,274447.0,171.0,https://pypi.org/project/ipykernel,17829655.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,749835.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-06-16 13:21:26.060000,2023-05-14 21:34:31,182.0,104.0,224.0,370.0,,,,4374243.0,38.0,141934.0,141934.0,120.0,https://pypi.org/project/qtconsole,4325183.0,https://anaconda.org/conda-forge/qtconsole,2023-06-16 13:21:26.060,4268236.0,1.0,,1939.0,,,,,,,,,,,,,,,
7,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-07-31 16:59:36.000000,2023-07-26 09:01:16,577.0,553.0,724.0,3457.0,2023-03-14 01:24:58,0.15.1,,122981.0,42.0,10737.0,10737.0,126.0,https://pypi.org/project/jupyter-book,122981.0,,,,1.0,,1424.0,7.0,,,,,,,,,,,,,,
8,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-08-03 09:02:32.000000,2023-08-03 09:02:32,890.0,638.0,1310.0,2853.0,2023-08-01 07:41:33,8.1.0,,10839667.0,51.0,7923.0,7923.0,210.0,https://pypi.org/project/ipywidgets,10476943.0,https://anaconda.org/conda-forge/ipywidgets,2023-08-01 08:08:00.042,10597520.0,1.0,,,-3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,59938.0,,,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-07-27 21:39:55.000000,2023-06-02 07:03:26,327.0,225.0,340.0,1385.0,2023-06-02 07:09:46,0.17.3,,222823.0,66.0,4895.0,4895.0,83.0,https://pypi.org/project/ipyleaflet,155989.0,https://anaconda.org/conda-forge/ipyleaflet,2023-06-05 07:39:09.482,1050541.0,1.0,,1146.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,54759.0,,,,,,,,,,,
