,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
100,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,18,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,MIT,2019-08-12 07:35:46.000,2022-03-21 19:03:41.000000,2021-06-14 15:04:41,179.0,9.0,14.0,984.0,2019-09-02 14:01:33,0.1.2,,8438.0,1.0,,,13.0,https://pypi.org/project/pyforest,8438.0,,,,2.0,,196.0,,,,,,,,,,,,,,,
101,notedown,True,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,18,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,91.0,39.0,29.0,832.0,,,,4720.0,1.0,189.0,189.0,7.0,https://pypi.org/project/notedown,4063.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,34213.0,3.0,,264.0,,,,,,,,,,,,,,,
102,gmaps,True,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,18,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,BSD-3-Clause,2014-12-01 09:12:06.000,2022-04-15 13:31:22.000000,2019-07-22 06:22:45,145.0,68.0,137.0,744.0,2016-01-02 19:06:03,0.2,,13980.0,20.0,1.0,1.0,16.0,https://pypi.org/project/gmaps,8202.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940,276204.0,3.0,,1380.0,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,1529.0,,,,,,,,,,,,
103,IRuby,True,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,SciRuby/iruby,,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2022-08-31 17:32:38.909630,2022-07-05 23:32:06,19.0,45.0,141.0,728.0,2021-08-17 16:20:34,0.7.4,15.0,18.0,10.0,169.0,169.0,44.0,,,,,,2.0,,715.0,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2022-08-31 17:32:38.909630,3.0,1713.0,,,,,iruby,,
104,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,18,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2022-07-07 04:18:47.000000,2021-08-10 23:33:21,105.0,64.0,51.0,723.0,2018-04-16 17:16:10,0.2.0,,230135.0,1.0,,,14.0,,,,,,2.0,,523.0,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,230135.0,,,,,,,,,,,,
105,Code Formatter,True,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,18,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,MIT,2018-08-12 20:50:17.000,2022-08-13 00:57:17.000000,2022-08-11 18:59:13,49.0,22.0,138.0,614.0,,,,30366.0,,,,37.0,https://pypi.org/project/jupyterlab_code_formatter,27095.0,,,,2.0,,428.0,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,3271.0,,,,,,,,,,,,
106,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,18,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2022-07-20 03:28:34.000000,2021-06-29 12:29:51,63.0,40.0,25.0,547.0,,,,3988.0,,671.0,671.0,15.0,,,,,,2.0,,101.0,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,3988.0,,,,,,,,,,,,
107,JupyterLab Latex,True,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,18,jupyterlab/jupyterlab-latex,jupyterlab_latex,,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2022-08-18 09:17:17.000000,2022-08-18 09:17:14,59.0,28.0,55.0,532.0,2021-09-15 15:34:35,3.1.0,,5338.0,1.0,2.0,2.0,22.0,https://pypi.org/project/jupyterlab_latex,4235.0,,,,2.0,,436.0,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,1103.0,,,,,,,,,,,,
108,nb_conda_kernels,True,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2022-02-14 03:58:59.101000,2020-11-30 15:55:07,57.0,35.0,99.0,480.0,2020-09-05 22:35:32,2.3.0,,10217.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2022-02-14 03:58:59.101,776537.0,2.0,,335.0,,,,,,,,,,,,,,,
109,OAuthenticator,True,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,18,jupyterhub/oauthenticator,oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2022-09-08 13:19:36.567000,2022-09-08 08:53:24,313.0,30.0,199.0,347.0,,,,33938.0,15.0,,,109.0,https://pypi.org/project/oauthenticator,33254.0,https://anaconda.org/conda-forge/oauthenticator,2022-09-08 13:19:36.567,28763.0,1.0,,,,,,,,,,,-4.0,,,,,,
110,JupyterLab GitHub,True,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,18,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2022-09-05 16:32:10.000000,2022-09-05 14:24:06,89.0,20.0,37.0,339.0,2021-11-27 17:02:34,3.0.1,,2633.0,6.0,2.0,2.0,16.0,https://pypi.org/project/jupyterlab-github,1089.0,,,,2.0,,238.0,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,1544.0,,,,,,,,,,,,
111,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,18,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,BSD-3-Clause,2015-08-04 03:22:47.000,2022-10-01 01:46:54.000000,2022-10-01 01:45:40,55.0,13.0,82.0,331.0,,,,15990.0,27.0,,,11.0,https://pypi.org/project/vega,9315.0,https://anaconda.org/conda-forge/vega,2022-02-10 13:26:24.004,507326.0,3.0,,600.0,,,,,,,,,,,,,,,
112,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,18,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/jpmorganchase/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2022-08-25 14:05:41.000000,2022-08-25 14:05:40,51.0,7.0,71.0,313.0,2021-03-28 03:19:03,0.3.1,,8860.0,13.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,5753.0,,,,2.0,,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,3107.0,,,,,,,,,,,,
113,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,18,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,BSD-3-Clause,2016-09-26 19:01:37.000,2022-09-28 18:14:33.000000,2022-06-21 23:17:54,52.0,39.0,93.0,271.0,2022-06-21 23:30:24,5.3.0,,55493.0,17.0,,,19.0,https://pypi.org/project/dask-labextension,35683.0,https://anaconda.org/conda-forge/dask-labextension,2022-06-22 14:17:08.997,727528.0,2.0,,,dask-labextension,https://www.npmjs.com/package/dask-labextension,1622.0,,,,,,,,,,,,
114,scrapbook,True,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,18,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,BSD-3-Clause,2018-10-22 04:17:04.000,2022-04-13 16:57:46.000000,2022-04-13 16:57:42,26.0,23.0,25.0,251.0,,,,62337.0,,160.0,160.0,11.0,https://pypi.org/project/nteract-scrapbook,62337.0,,,,3.0,,,,,,,,,,,,,,,,,
115,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57,29.0,18.0,18.0,166.0,2017-03-05 04:26:44,0.2.0,,4502.0,8.0,93.0,93.0,6.0,https://pypi.org/project/spylon-kernel,3045.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447,99096.0,2.0,vericast/spylon-kernel,188.0,,,,,,,,,,,,,,,
116,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,18,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2022-07-20 12:04:32.000000,2022-07-20 12:02:54,23.0,7.0,16.0,158.0,,,,1197.0,,645.0,645.0,7.0,,,,,,1.0,,113.0,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,1197.0,,,,,,,,,,,,
117,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,18,QuantStack/ipytree,ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,MIT,2018-09-15 13:17:27.000,2022-08-23 16:41:28.248000,2022-08-23 15:09:07,25.0,15.0,16.0,96.0,2022-08-24 12:33:17,0.2.2,,36729.0,8.0,,,8.0,https://pypi.org/project/ipytree,35586.0,https://anaconda.org/conda-forge/ipytree,2022-08-23 16:41:28.248,49172.0,3.0,,107.0,,,,,,,,,,,,,,,
118,Rsession Proxy,True,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,18,jupyterhub/jupyter-rsession-proxy,jupyter-rsession-proxy,,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2022-09-24 00:33:01.000000,2022-09-24 00:33:01,69.0,27.0,46.0,96.0,,,,3707.0,,41.0,41.0,21.0,https://pypi.org/project/jupyter-rsession-proxy,3707.0,,,,2.0,,231.0,,,,,,,,,,,,,,,
119,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,18,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2022-09-26 23:32:04.000000,2022-09-09 11:32:12,55.0,24.0,70.0,55.0,2021-10-19 17:24:48,1.0.5,,7537.0,3.0,42.0,42.0,21.0,https://pypi.org/project/jupyterhub-nativeauthenticator,7537.0,,,,1.0,,,,,,,,,,,,,,,,,
120,LTI Authenticator,True,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,18,jupyterhub/ltiauthenticator,jupyterhub-ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,BSD-3-Clause,2017-12-15 02:54:15.000,2022-09-26 23:31:58.000000,2022-08-22 19:06:15,44.0,1.0,34.0,55.0,2021-11-15 20:10:09,1.3.0,,4035.0,6.0,80.0,80.0,15.0,https://pypi.org/project/jupyterhub-ltiauthenticator,4035.0,,,,1.0,,,,,,,,,,,,,,,,,
121,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,18,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2022-09-30 17:46:37.000000,2022-01-14 00:49:56,8.0,3.0,4.0,54.0,2021-11-06 14:18:45,0.4.0,,700690.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,700690.0,,,,3.0,,117.0,,,,,,,,,,,,,,,
122,IJava,True,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,17,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2022-05-25 03:24:04.000000,2019-12-08 22:22:20,164.0,69.0,57.0,835.0,2019-05-06 03:28:50,1.3.0,95455.0,1835.0,5.0,,,4.0,,,,,,2.0,,90.0,,,,,,,,,,,,,,,
123,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,17,nbQA-dev/nbQA,nbqa,,https://github.com/nbQA-dev/nbQA,MIT,2020-07-11 15:30:54.000,2022-10-03 19:42:03.000000,2022-10-03 19:42:03,33.0,,259.0,597.0,,,,32892.0,,,,20.0,https://pypi.org/project/nbqa,32892.0,,,,3.0,,628.0,,,,,,,,,,,,,,,
124,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,17,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2022-08-21 23:34:02.000000,2022-07-08 08:01:04,68.0,32.0,71.0,447.0,,,,1617.0,,1.0,1.0,25.0,,,,,,3.0,,556.0,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,1617.0,,,,,,,,,,,,
125,Kernel Gateway,True,Jupyter Kernel Gateway.,https://github.com/jupyter-server/kernel_gateway,,kernels,17,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter-server/kernel_gateway,,2015-09-21 15:34:11.000,2022-03-12 12:39:32.000000,2022-03-12 12:39:32,114.0,14.0,162.0,409.0,2021-08-25 00:19:46,2.5.1,105.0,16410.0,9.0,,,44.0,https://pypi.org/project/jupyter-kernel-gateway,16408.0,,,,2.0,jupyter-server/kernel_gateway,561.0,,,,,,,,,,,,,,,
126,JupyterLab Google Drive,True,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,17,jupyterlab/jupyterlab-google-drive,,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2022-07-20 08:58:08.000000,2022-04-28 22:45:01,73.0,33.0,65.0,373.0,2018-02-05 18:54:22,0.11.1,,1594.0,12.0,2.0,2.0,16.0,,,,,,2.0,,515.0,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,1594.0,,,,,,,,,,,,
127,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,17,executablebooks/thebe,,,https://github.com/executablebooks/thebe,BSD-3-Clause,2017-03-14 12:17:22.000,2022-09-22 19:48:00.000000,2021-11-19 12:06:20,57.0,64.0,87.0,299.0,2021-10-26 10:04:08,0.8.2,,,5.0,5.0,5.0,26.0,,,,,,3.0,,676.0,,,,,,,,,,,,,,,
128,ML Hub,True,Multi-user development platform for machine learning teams. Simple to..,https://github.com/ml-tooling/ml-hub,,notebook-environments,17,ml-tooling/ml-hub,,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,54.0,15.0,11.0,257.0,2020-02-03 15:59:07,1.0.0,1947.0,1158.0,8.0,,,7.0,,,,,,3.0,,220.0,,,,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,44257.0,,,,,,,
129,OCaml Kernel,True,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,17,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2022-04-10 08:21:20.000000,2022-04-10 07:57:57,30.0,5.0,68.0,230.0,2022-04-10 08:38:48,2.8.0,72125.0,1144.0,32.0,,,18.0,,,,,,2.0,,372.0,,,,,,,,,,,,,,,
130,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,17,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,BSD-3-Clause,2018-08-02 05:15:23.000,2022-07-26 15:26:35.721000,2022-07-25 12:51:22,23.0,14.0,39.0,223.0,2022-07-25 13:09:54,npm@3.1.0,2.0,975.0,29.0,1.0,1.0,25.0,,,https://anaconda.org/conda-forge/mamba_gator,2022-07-26 15:26:35.721,20062.0,3.0,,614.0,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,103.0,,,,,,,,,,,,
131,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,17,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2022-06-01 15:55:57.000000,2022-06-01 15:55:57,74.0,3.0,54.0,189.0,2021-07-14 17:27:18,2.4.11,,2130.0,14.0,,,9.0,https://pypi.org/project/sas_kernel,2130.0,,,,2.0,,213.0,,,,,,,,,,,,,,,
132,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,Apache-2.0,2017-01-31 01:16:24.000,2022-02-03 17:25:47.000000,2022-02-03 17:25:03,42.0,,80.0,175.0,2017-06-02 21:19:27,0.5.0,87.0,1260.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430,83119.0,2.0,,404.0,,,,,,,,,,,,,,,
133,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,krishnan-r/sparkmonitor,sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,Apache-2.0,2017-05-31 09:13:01.000,2022-05-16 18:45:37.000000,2022-05-16 18:45:37,50.0,15.0,7.0,166.0,2018-05-29 18:46:14,0.0.9,2416.0,2678.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,2626.0,,,,3.0,,215.0,,,,krishnanr/sparkmonitor,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,921.0,,,,,,,
134,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,17,jupyterhub/systemdspawner,jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,BSD-3-Clause,2016-09-06 07:20:44.000,2022-08-19 16:01:16.000000,2022-04-22 08:28:24,41.0,27.0,32.0,81.0,,,,1735.0,,21.0,21.0,17.0,https://pypi.org/project/jupyterhub-systemdspawner,1735.0,,,,3.0,,150.0,,,,,,,,,,,,,,,
135,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,17,spacetelescope/jdaviz,jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2022-10-06 14:35:19.000000,2022-10-06 14:02:30,39.0,284.0,447.0,77.0,2022-08-26 20:51:24,2.10.0,,1944.0,13.0,,,31.0,https://pypi.org/project/jdaviz,1944.0,,,,3.0,,,,,,,,,,,,,,,,,
136,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,23.0,88.0,93.0,72.0,2020-06-18 03:30:24,0.5.10,,920.0,17.0,26.0,26.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,920.0,,,,3.0,,269.0,,,,,,,,,,,,,,,
137,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,17,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/jpmorganchase/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2022-09-26 14:23:48.000000,2022-09-26 14:23:48,13.0,10.0,15.0,70.0,,,,78533.0,6.0,11.0,11.0,5.0,https://pypi.org/project/ipyregulartable,223.0,,,,3.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,78310.0,,,,,,,,,,,,
138,ipyvue,True,Jupyter widgets base for Vue libraries.,https://github.com/widgetti/ipyvue,,widgets,17,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/widgetti/ipyvue,MIT,2019-08-11 10:10:05.000,2022-09-26 08:51:09.246000,2022-09-22 15:26:02,11.0,2.0,5.0,44.0,2021-11-19 19:10:31,1.7.0,,90583.0,19.0,,,3.0,https://pypi.org/project/ipyvue,89042.0,https://anaconda.org/conda-forge/ipyvue,2022-09-26 08:51:09.246,58589.0,3.0,widgetti/ipyvue,89.0,,,,,,,,,,,,,,,
139,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,17,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,BSD-3-Clause,2017-08-24 20:16:19.000,2022-10-05 15:24:45.662000,2022-09-01 10:51:55,3.0,2.0,4.0,13.0,,,,1172.0,8.0,53.0,53.0,4.0,https://pypi.org/project/ipyscales,129.0,https://anaconda.org/conda-forge/ipyscales,2022-10-05 15:24:45.662,54287.0,3.0,,178.0,,,,,,,,,,,,,,,
140,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,16,csurfer/pyheatmagic,py-heat-magic,,https://github.com/csurfer/pyheatmagic,MIT,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,22.0,2.0,3.0,994.0,,,,1552.0,,29.0,29.0,3.0,https://pypi.org/project/py-heat-magic,1552.0,,,,2.0,,34.0,,,,,,,,,,,,,,,
141,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,16,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,MIT,2017-12-02 21:16:38.000,2022-07-06 19:26:23.000000,2019-07-16 04:37:36,72.0,57.0,42.0,922.0,2019-07-16 04:33:54,0.11.0,,415.0,14.0,3.0,3.0,8.0,,,,,,2.0,,60.0,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,415.0,,,,,,,,,,,,
142,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2022-10-06 08:13:57.000000,2022-10-06 08:13:56,161.0,695.0,7182.0,753.0,2022-08-31 22:01:41,2022.08.100,,,29.0,,,255.0,,,,,,3.0,,,,,,,,,,,,,,,,,
143,clojupyter,True,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2022-10-02 18:23:16.000000,2022-10-02 18:23:13,77.0,15.0,84.0,749.0,,,,82.0,7.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302,3119.0,3.0,,291.0,,,,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,397.0,,,,,,,
144,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,16,ShopRunner/jupyter-notify,jupyternotify,,https://github.com/ShopRunner/jupyter-notify,BSD-3-Clause,2017-06-01 14:08:55.000,2022-08-09 17:30:42.000000,2021-04-27 14:56:38,34.0,12.0,12.0,561.0,2018-01-08 14:51:41,0.1.15,,2239.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,2239.0,,,,2.0,,,,,,,,,,,,,,,,,
145,Enterprise Gateway,True,"A lightweight, multi-tenant, scalable and secure gateway..",https://github.com/jupyter-server/enterprise_gateway,,kernels,16,jupyter/enterprise_gateway,jupyter_enterprise_gateway,,https://github.com/jupyter-server/enterprise_gateway,,2017-04-21 16:05:14.000,2022-09-29 22:00:19.000000,2022-09-29 22:00:19,177.0,53.0,471.0,527.0,2022-01-27 22:17:10,2.6.0,21647.0,1826.0,31.0,,,103.0,https://pypi.org/project/jupyter_enterprise_gateway,1466.0,,,,3.0,jupyter-server/enterprise_gateway,,,,,,,,,,,,,,,,
146,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,16,rapidsai/jupyterlab-nvdashboard,jupyterlab-nvdashboard,,https://github.com/rapidsai/jupyterlab-nvdashboard,BSD-3-Clause,2019-08-12 15:22:10.000,2022-07-20 22:12:04.000000,2022-06-23 14:30:59,60.0,25.0,32.0,480.0,2022-05-10 19:35:57,0.7.0,,4118.0,3.0,,,17.0,https://pypi.org/project/jupyterlab-nvdashboard,3062.0,,,,2.0,,,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,1056.0,,,,,,,,,,,,
147,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,16,nteract/commuter,,,https://github.com/nteract/commuter,BSD-3-Clause,2017-01-03 22:23:32.000,2022-04-28 20:50:09.000000,2022-04-28 20:49:58,63.0,52.0,39.0,446.0,,,,358.0,,3.0,3.0,27.0,,,,,,3.0,,640.0,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,358.0,,,,,,,,,,,,
148,Matlab Kernel,True,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,16,calysto/matlab_kernel,matlab_kernel,,https://github.com/Calysto/matlab_kernel,,2015-01-31 12:51:06.000,2022-05-09 10:21:04.000000,2022-05-09 10:21:01,74.0,25.0,104.0,439.0,2022-05-09 10:21:42,0.17.1,,3881.0,3.0,,,18.0,https://pypi.org/project/matlab_kernel,3881.0,,,,3.0,,216.0,,,,,,,,,,,,,,,
