,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
69,JupyterLab Dash,True,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,20,plotly/jupyterlab-dash,jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,MIT,2018-11-07 19:47:52.000,2020-05-19 14:20:53.000000,2020-05-19 11:44:34,57.0,20.0,8.0,360.0,,,,12124.0,2.0,269.0,269.0,7.0,https://pypi.org/project/jupyterlab-dash,1308.0,,,,1.0,,41.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,10816.0,,,,,,,,,,,,
70,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,20,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,BSD-3-Clause,2014-08-24 20:53:45.000,2022-08-09 16:57:34.000000,2022-08-09 16:57:34,78.0,28.0,114.0,292.0,2022-08-08 15:44:17,0.29.2,46.0,85042.0,51.0,,,31.0,https://pypi.org/project/metakernel,77069.0,https://anaconda.org/conda-forge/metakernel,2022-08-09 13:33:11.047,621655.0,1.0,,,,,,,,,,,,,,,,,
71,jupyter-server-proxy,True,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,20,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2022-09-20 13:06:20.000000,2022-09-08 00:19:50,115.0,61.0,96.0,256.0,2018-12-10 14:39:58,0.8.8,,125745.0,16.0,4.0,4.0,64.0,https://pypi.org/project/jupyter-server-proxy,103603.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2022-09-08 09:19:11.744,974259.0,2.0,,,,,,,,,,,,,,,,,
72,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,20,chmp/ipytest,ipytest,,https://github.com/chmp/ipytest,MIT,2016-02-07 20:24:41.000,2022-09-18 13:55:21.000000,2022-02-20 08:36:22,20.0,1.0,51.0,238.0,2022-02-12 12:24:45,0.1.0,,44355.0,16.0,204.0,204.0,4.0,https://pypi.org/project/ipytest,44355.0,,,,2.0,,,,,,,,,,,,,,,,,
73,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,20,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,,2015-04-09 01:07:29.000,2022-10-06 13:54:04.000000,2022-10-01 12:37:28,133.0,51.0,75.0,185.0,2022-09-26 14:35:36,5.6.1,,9209831.0,19.0,,,68.0,https://pypi.org/project/nbformat,9074281.0,https://anaconda.org/conda-forge/nbformat,2022-09-26 14:57:29.721,10572939.0,2.0,,,,,,,,,,,,,,,,,
74,nbgitpuller,True,Jupyter server extension to sync a git repository one-way to a..,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,20,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,BSD-3-Clause,2017-05-24 19:41:10.000,2022-06-27 14:03:15.000000,2022-06-22 08:23:11,61.0,54.0,80.0,170.0,,,,9919.0,11.0,525.0,525.0,25.0,https://pypi.org/project/nbgitpuller,8840.0,https://anaconda.org/conda-forge/nbgitpuller,2022-03-20 01:46:35.034,43161.0,2.0,,,,,,,,,,,,,,,,,
75,Hydrogen,True,"Run code interactively, inspect data, and plot. All the power of Jupyter..",https://github.com/nteract/hydrogen,,notebook-environments,19,nteract/hydrogen,,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2022-09-25 13:59:40.000000,2022-03-25 21:26:26,316.0,166.0,1096.0,3819.0,2021-06-02 09:44:54,2.16.3,,,90.0,,,89.0,,,,,,3.0,,2361.0,,,,,,,,,,,,,,,
76,evidently,True,Interactive reports to analyze machine learning models during..,https://github.com/evidentlyai/evidently,,widgets,19,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2022-10-06 08:50:15.000000,2022-10-05 17:05:38,294.0,37.0,94.0,2741.0,,,,,36.0,711.0,711.0,28.0,,,,,,3.0,,,,,,,,,,,,,,,,,
77,xeus-cling,True,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2022-08-14 23:00:09.000000,2022-01-17 13:34:34,251.0,136.0,116.0,2363.0,,,,3524.0,15.0,,,20.0,,,https://anaconda.org/conda-forge/xeus-cling,2022-03-08 22:30:52.790,162110.0,2.0,,472.0,,,,,,,,,,,,,,,
78,docker-python,True,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,19,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2022-10-04 15:08:35.000000,2022-09-16 18:28:18,812.0,13.0,283.0,2186.0,2022-09-14 22:48:47,554628d62759e213d19b5d2e992b57e0d5c428d1648fe3004cb5d0bd590109ba,,2149.0,83.0,,,146.0,,,,,,3.0,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2022-09-14 23:08:22.083286,164.0,193421.0,,,,,,,
