,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,license,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
111,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,18,dask-labextension,dask/dask-labextension,conda-forge/dask-labextension,,https://github.com/dask/dask-labextension,2016-09-26 19:01:37.000000,2021-06-15 16:04:06.000000,2021-06-02 23:43:51.000000,36.0,29.0,79.0,226.0,,2021-06-02 23:50:52.000000,5.0.2,,24883.0,14.0,,,17.0,https://pypi.org/project/dask-labextension,5727.0,https://anaconda.org/conda-forge/dask-labextension,2021-06-03 19:31:09.600000,307710.0,,,,,2.0,,dask-labextension,BSD-3-Clause,https://www.npmjs.com/package/dask-labextension,6848.0,,,,,,,
112,scrapbook,True,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,18,nteract-scrapbook,nteract/scrapbook,,,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000000,2021-05-07 07:52:57.000000,2021-04-28 06:36:37.000000,22.0,22.0,25.0,215.0,,,,,66758.0,,40.0,40.0,11.0,https://pypi.org/project/nteract-scrapbook,66758.0,,,,,,,,3.0,,,BSD-3-Clause,,,,,,,,,
113,itables,True,Interactive Tables in Jupyter.,https://github.com/mwouts/itables,,widgets,18,itables,mwouts/itables,,,https://github.com/mwouts/itables,2019-04-15 22:09:44.000000,2021-02-04 23:19:55.000000,2021-02-04 23:19:48.000000,15.0,9.0,8.0,182.0,85.0,2020-12-14 21:50:21.000000,0.3.0,,1928.0,5.0,54.0,54.0,3.0,https://pypi.org/project/itables,1928.0,,,,,,,,3.0,,,MIT,,,,,,,,,
114,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,18,sidecar,jupyter-widgets/jupyterlab-sidecar,,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-06-15 20:16:21.000000,2021-03-11 01:31:03.000000,32.0,19.0,10.0,177.0,49.0,2021-03-11 01:34:17.000000,0.5.1,,3516.0,1.0,3.0,3.0,11.0,https://pypi.org/project/sidecar,1947.0,,,,,,,,2.0,,@jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,1569.0,,,,,,,
115,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,18,sas_kernel,sassoftware/sas_kernel,,,https://github.com/sassoftware/sas_kernel,2016-04-01 16:19:50.000000,2021-06-11 16:23:17.000000,2021-06-11 16:23:17.000000,69.0,3.0,51.0,172.0,213.0,2021-05-21 18:47:55.000000,2.4.10,,955.0,13.0,,,7.0,https://pypi.org/project/sas_kernel,955.0,,,,,,,,2.0,,,Apache-2.0,,,,,,,,,
116,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,18,,mamba-org/gator,conda-forge/mamba_gator,,https://github.com/mamba-org/gator,2018-08-02 05:15:23.000000,2021-06-16 05:13:27.000000,2021-06-16 05:13:27.000000,18.0,12.0,35.0,159.0,594.0,2021-04-24 12:29:24.000000,5.1.1,1.0,1037.0,25.0,1.0,1.0,24.0,,,https://anaconda.org/conda-forge/mamba_gator,2021-04-24 15:21:50.973000,6402.0,,,,,2.0,,@mamba-org/gator-lab,BSD-3-Clause,https://www.npmjs.com/package/@mamba-org/gator-lab,237.0,,,,,,,
117,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,spylon-kernel,Valassis-Digital-Media/spylon-kernel,conda-forge/spylon-kernel,,https://github.com/vericast/spylon-kernel,2016-11-21 02:23:14.000000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57.000000,23.0,16.0,18.0,135.0,188.0,2017-03-05 04:26:44.000000,0.2.0,,5259.0,8.0,61.0,61.0,6.0,https://pypi.org/project/spylon-kernel,3947.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447000,69548.0,,,,,2.0,,,,,,,,vericast/spylon-kernel,,,,
118,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,17,,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,2017-12-02 21:16:38.000000,2021-06-15 20:32:15.000000,2019-07-16 04:37:36.000000,72.0,52.0,42.0,869.0,60.0,2019-07-16 04:33:54.000000,0.11.0,,727.0,14.0,3.0,3.0,8.0,,,,,,,,,,2.0,,jupyterlab_vim,MIT,https://www.npmjs.com/package/jupyterlab_vim,727.0,,,,,,,
119,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,17,,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,2018-01-31 16:38:30.000000,2021-06-29 12:30:03.000000,2021-06-29 12:29:51.000000,56.0,36.0,25.0,474.0,101.0,,,,6381.0,,11.0,11.0,15.0,,,,,,,,,,2.0,,jupyterlab-drawio,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-drawio,6381.0,,,,,,,
120,nb_conda_kernels,True,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,17,,Anaconda-Platform/nb_conda_kernels,conda-forge/nb_conda_kernels,,https://github.com/Anaconda-Platform/nb_conda_kernels,2015-12-10 16:11:42.000000,2021-01-30 00:58:02.504000,2020-11-30 15:55:07.000000,51.0,25.0,95.0,381.0,335.0,2020-09-05 22:35:32.000000,2.3.0,,7266.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2021-01-30 00:58:02.504000,443258.0,,,,,3.0,,,BSD-3-Clause,,,,,,,,,
