,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
157,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,16,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-05-02 16:09:30.000000,2023-05-02 16:09:30,11.0,6.0,5.0,73.0,2021-11-06 14:18:45,0.4.0,,26576.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,26576.0,,,,3.0,,149.0,,,,,,,,,,,,,,,
158,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,16,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2023-10-31 14:30:10.000000,2023-10-31 14:23:11,6.0,5.0,19.0,63.0,2023-09-03 15:30:13,0.4.0,,42175.0,17.0,2.0,2.0,3.0,https://pypi.org/project/ipydagred3,280.0,,,,3.0,,,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,41895.0,,,,,,
159,First Use Authenticator,True,JupyterHub Authenticator that lets users set..,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,16,jupyterhub/firstuseauthenticator,jupyterhub-firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,BSD-3-Clause,2016-10-25 03:09:14.000,2023-06-30 06:50:09.000000,2023-06-30 06:50:08,27.0,9.0,17.0,47.0,2019-01-24 17:18:45,0.12,,4245.0,2.0,86.0,86.0,12.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,4245.0,,,,2.0,,,,,,,,,,,,,,,,,
160,BinderHub,True,"Run your code in the cloud, with technology so advanced, it feels..",https://github.com/jupyterhub/binderhub,,notebook-sharing,15,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,BSD-3-Clause,2017-04-26 00:28:26.000,2023-11-08 18:01:38.000000,2023-11-08 18:01:38,361.0,197.0,483.0,2403.0,,,,,1.0,9.0,9.0,95.0,,,,,,3.0,,,,,,,,,,,,,,,binderhub,,
161,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,OpenGeoscience/geonotebook,,,https://github.com/OpenGeoscience/geonotebook,Apache-2.0,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,136.0,37.0,46.0,1082.0,,,,1492.0,,,,9.0,,,,,,3.0,,647.0,,geonotebook/geonotebook,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,9.0,131299.0,,,,,,,,,
162,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,15,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,MIT,2017-12-02 21:16:38.000,2023-04-05 12:21:41.000000,2019-07-16 04:37:36,73.0,58.0,44.0,951.0,2019-07-16 04:33:54,0.11.0,,259.0,14.0,2.0,2.0,8.0,,,,,,3.0,,60.0,,,,,,,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,259.0,,,,,,
163,clojupyter,True,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,15,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2023-07-20 06:35:35.164000,2022-11-06 15:47:40,77.0,17.0,86.0,795.0,,,,69.0,8.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2023-07-20 06:35:35.164,3481.0,3.0,,299.0,,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,414.0,,,,,,,,,
164,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,ShopRunner/jupyter-notify,jupyternotify,,https://github.com/ShopRunner/jupyter-notify,BSD-3-Clause,2017-06-01 14:08:55.000,2022-08-09 17:30:42.000000,2021-04-27 14:56:38,38.0,13.0,12.0,574.0,2018-01-08 14:51:41,0.1.15,,1276.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,1276.0,,,,3.0,,,,,,,,,,,,,,,,,
165,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,15,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2023-11-12 10:25:49.000000,2023-11-12 10:25:41,69.0,35.0,74.0,473.0,,,,2120.0,,,,29.0,,,,,,3.0,,,,,,,,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2120.0,,,,,,
166,nbtutor,True,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,15,lgpage/nbtutor,,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,,2016-11-07 14:08:25.000,2023-11-06 08:19:39.000000,2023-04-14 07:14:04,39.0,13.0,24.0,446.0,,,,1697.0,4.0,38.0,38.0,4.0,,,https://anaconda.org/conda-forge/nbtutor,2023-06-16 13:17:46.107,140880.0,3.0,,,,,,,,,,,,,,,,,
167,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,15,executablebooks/thebe,,,https://github.com/executablebooks/thebe,BSD-3-Clause,2017-03-14 12:17:22.000,2023-11-14 21:54:09.000000,2023-09-28 12:08:17,62.0,95.0,117.0,352.0,2021-10-26 10:04:08,0.8.2,,,5.0,8.0,8.0,28.0,,,,,,3.0,,,,,,,,,,,,,,,,,
168,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chesterli29/jupyterlab_tensorboard,,lab-extensions,15,chaoleili/jupyterlab_tensorboard,,,https://github.com/chesterli29/jupyterlab_tensorboard,MIT,2018-08-14 12:36:26.000,2022-07-21 07:29:55.000000,2022-07-18 10:51:06,33.0,20.0,10.0,307.0,,,,6824.0,,4.0,4.0,7.0,,,,,,3.0,chesterli29/jupyterlab_tensorboard,37.0,,,,,,,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,6824.0,,,,,,
169,jupyterlab-classic,True,The next-gen old-school notebook UI.,https://github.com/jupyterlab/retrolab,,notebook-environments,15,jtpio/jupyterlab-classic,jupyterlab-classic,,https://github.com/jupyterlab/retrolab,BSD-3-Clause,2020-12-07 16:37:07.000,2023-02-16 13:40:19.000000,2023-02-16 13:40:18,45.0,,111.0,280.0,2022-05-04 07:37:18,0.3.21,1536.0,96.0,50.0,17.0,17.0,17.0,https://pypi.org/project/jupyterlab-classic,53.0,,,,3.0,jupyterlab/retrolab,,,,,,,,,,,,,,,,
170,JupyterLab Go-To-Definition,True,Navigate to variable's definition with a click in..,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,15,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,BSD-3-Clause,2018-12-22 01:18:42.000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05,9.0,10.0,13.0,222.0,2019-07-05 21:26:30,0.5.0,,577.0,5.0,16.0,16.0,2.0,,,,,,3.0,,89.0,,,,,,,@krassowski/jupyterlab_go_to_definition,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,577.0,,,,,,
171,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,15,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2023-01-13 14:14:25.000000,2023-01-13 14:14:25,80.0,,58.0,194.0,2022-12-01 21:51:02,2.4.13,,4421.0,15.0,,,11.0,https://pypi.org/project/sas_kernel,4421.0,,,,3.0,,,,,,,,,,,,,,,,,
172,Jupyter Spark,True,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,15,mozilla/jupyter-spark,jupyter-spark,,https://github.com/mozilla/jupyter-spark,MPL-2.0,2016-01-27 15:38:50.000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11,30.0,13.0,14.0,193.0,,,,481.0,,18.0,18.0,12.0,https://pypi.org/project/jupyter-spark,481.0,,,,3.0,,106.0,,,,,,,,,,,,,,,
173,JupyterLab Spreadsheet,True,"JupyterLab plugin for viewing spreadsheets, such as..",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,15,quigleyj97/jupyterlab-spreadsheet,,,https://github.com/quigleyj97/jupyterlab-spreadsheet,BSD-3-Clause,2018-10-13 22:51:03.000,2023-05-06 22:45:04.000000,2022-07-18 18:08:51,15.0,8.0,18.0,183.0,2021-07-17 23:45:44,0.4.1,,1993.0,5.0,5.0,5.0,4.0,,,,,,3.0,,,,,,,,,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,1993.0,,,,,,
174,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,15,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2023-08-08 06:45:57.000000,2023-08-08 06:45:57,35.0,,93.0,175.0,,,,71.0,,13.0,13.0,10.0,,,,,,3.0,,427.0,,,,,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,71.0,,,,,,
175,nbgallery,True,Enterprise Jupyter notebook sharing and collaboration app.,https://github.com/nbgallery/nbgallery,,notebook-sharing,15,nbgallery/nbgallery,,,https://github.com/nbgallery/nbgallery,MIT,2017-01-10 19:18:40.000,2023-11-15 00:19:08.000000,2023-11-14 13:47:32,29.0,32.0,452.0,152.0,,,,2069.0,,,,23.0,,,,,,3.0,,,,nbgallery/nbgallery,https://hub.docker.com/r/nbgallery/nbgallery,2023-11-14 13:48:44.757675,5.0,169689.0,,,,,,,,,
176,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,15,Cadair/jupyter_environment_kernels,environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,BSD-2-Clause,2015-01-06 14:50:00.000,2022-11-23 11:42:58.000000,2022-11-23 11:42:26,17.0,7.0,23.0,148.0,2022-11-23 11:42:59,1.2.0,,5515.0,3.0,5.0,5.0,8.0,https://pypi.org/project/environment_kernels,5515.0,,,,3.0,,83.0,,,,,,,,,,,,,,,
177,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,Anaconda-Platform/nb_conda,,conda-forge/nb_conda,https://github.com/Anaconda-Platform/nb_conda,BSD-3-Clause,2015-12-09 23:12:58.000,2023-07-31 14:10:59.000000,2020-09-11 21:06:00,30.0,35.0,28.0,138.0,,,,6826.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2023-06-16 13:21:18.593,600733.0,3.0,,158.0,,,,,,,,,,,,,,,
178,jupyterlab-theme-solarized-dark,True,JupyterLab 2.x Solarized Dark extension.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,15,AllanChain/jupyterlab-theme-solarized-dark,jupyterlab_theme_solarized_dark,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,BSD-3-Clause,2020-04-05 12:18:48.000,2023-10-08 01:10:32.000000,2023-10-08 01:10:30,7.0,2.0,2.0,90.0,2023-07-13 02:25:29,3.0.0,19.0,17015.0,10.0,2.0,2.0,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,14647.0,,,,2.0,,,,,,,,,jupyterlab-theme-solarized-dark,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,2368.0,,,,,,
179,JupyterLab Kernelspy,True,A Jupyter Lab extension for inspecting messages to/from..,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,,lab-extensions,15,jupyterlab-contrib/jupyterlab-kernelspy,,,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,,2018-04-20 16:11:58.000,2023-10-08 08:15:21.000000,2023-10-08 08:15:20,11.0,2.0,11.0,72.0,2023-08-30 15:49:27,4.0.0,19.0,305.0,6.0,6.0,6.0,6.0,,,,,,3.0,,158.0,,,,,,,jupyterlab-kernelspy,https://www.npmjs.com/package/jupyterlab-kernelspy,305.0,,,,,,
180,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,vatlab/jupyterlab-sos,,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,BSD-3-Clause,2018-03-20 16:07:18.000,2023-10-23 20:14:31.000000,2023-09-30 16:16:13,6.0,10.0,52.0,65.0,2019-09-02 19:30:02,0.5.0,,859.0,15.0,2.0,2.0,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2023-06-16 16:17:01.985,31824.0,3.0,,333.0,,,,,,,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,223.0,,,,,,
