,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-01-04 13:44:24.000000,2023-12-31 15:30:39,4285.0,1579.0,5646.0,16043.0,2021-01-30 02:36:56,7.18.1,320713.0,29899669.0,93.0,488923.0,488923.0,978.0,https://pypi.org/project/ipython,29230464.0,https://anaconda.org/conda-forge/ipython,2023-12-22 17:01:55.232,25332327.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-04 12:49:47.000000,2024-01-04 09:17:26,4064.0,722.0,6791.0,18449.0,,,,4147431.0,56.0,81169.0,81169.0,679.0,https://pypi.org/project/bokeh,3839628.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13235545.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-01-03 00:05:53.000000,2023-12-15 00:57:55,1566.0,199.0,551.0,11634.0,2023-12-05 15:38:30,4.6.3,27.0,585331.0,54.0,2155.0,2155.0,117.0,https://pypi.org/project/pandas-profiling,580675.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,414436.0,1.0,ydataai/ydata-profiling,1367.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-02 02:19:45.000000,2024-01-02 02:19:37,522.0,498.0,640.0,1601.0,2024-01-01 21:32:42,7.14.0,885.0,20071783.0,65.0,247239.0,247239.0,268.0,https://pypi.org/project/nbconvert,19656744.0,https://anaconda.org/conda-forge/nbconvert,2024-01-02 01:37:14.931,15770931.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-01 21:21:29.000000,2023-12-26 15:00:52,343.0,242.0,235.0,593.0,2023-12-26 15:01:09,6.28.0,2027.0,16358994.0,71.0,319821.0,319821.0,176.0,https://pypi.org/project/ipykernel,16350312.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,844750.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,186.0,108.0,229.0,386.0,,,,4223582.0,41.0,159228.0,159228.0,122.0,https://pypi.org/project/qtconsole,4116638.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4598622.0,1.0,,1971.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-02 16:49:48.000000,2024-01-02 08:27:32,4304.0,1979.0,2793.0,11876.0,2023-10-17 12:42:06,7.0.6,16010.0,16542333.0,78.0,777.0,777.0,645.0,https://pypi.org/project/notebook,16127926.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3987365.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1062.0,31863221.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-01-04 12:09:59.000000,2023-12-21 11:41:05,341.0,227.0,346.0,1433.0,2023-12-15 14:14:28,0.18.1,,161458.0,69.0,6708.0,6708.0,87.0,https://pypi.org/project/ipyleaflet,100868.0,https://anaconda.org/conda-forge/ipyleaflet,2023-12-15 15:24:03.988,1093456.0,1.0,,1165.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,35739.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-12-25 16:33:49.000000,2023-12-05 10:47:47,591.0,581.0,730.0,3587.0,2023-03-14 01:24:58,0.15.1,,82254.0,42.0,12232.0,12232.0,134.0,https://pypi.org/project/jupyter-book,82254.0,,,,1.0,,1459.0,6.0,,,,,,,,,,,,,,
10,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-01-04 09:00:37.000000,2023-12-27 23:45:16,401.0,898.0,2183.0,3423.0,2023-12-20 18:14:26,1.3.6,,619980.0,62.0,9601.0,9601.0,153.0,https://pypi.org/project/panel,590923.0,https://anaconda.org/conda-forge/panel,2023-12-22 13:29:20.614,1249480.0,2.0,,,,,,,,,,,,,,,,,
