,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-05-17 12:44:39.000000,2021-05-16 01:13:34.000000,4010.0,1440.0,5221.0,14807.0,25053.0,2021-01-30 02:36:56.000000,7.18.1,317269.0,20094892.0,51.0,197148.0,197148.0,809.0,https://pypi.org/project/ipython,19985452.0,https://anaconda.org/conda-forge/ipython,2021-05-06 02:03:34.754000,6467794.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-05-19 13:03:51.591859,2021-05-17 11:14:21.000000,3316.0,1989.0,2229.0,9104.0,12055.0,2021-05-17 11:17:25.000000,6.4.0,272.0,11387330.0,22.0,103944.0,103944.0,553.0,https://pypi.org/project/notebook,11099281.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1381527.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-05-19 13:03:51.591859,833.0,19087845.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-05-20 13:23:51.000000,2021-05-18 19:37:00.000000,1920.0,1771.0,3917.0,11095.0,23243.0,2021-05-18 18:46:17.000000,3.0.16,,971570.0,211.0,40477.0,40477.0,414.0,https://pypi.org/project/jupyterlab,906640.0,https://anaconda.org/conda-forge/jupyterlab,2021-05-18 20:22:14.784000,3830908.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-05-12 00:41:13.000000,2021-05-08 13:40:35.000000,722.0,517.0,1116.0,2230.0,6979.0,2021-02-07 22:09:48.000000,7.6.3,,10453908.0,29.0,1667.0,1667.0,173.0,https://pypi.org/project/ipywidgets,10259593.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3134834.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,142925.0,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-05-18 00:45:13.000000,2021-05-14 08:03:44.000000,423.0,358.0,523.0,1123.0,3698.0,2019-05-11 04:19:05.000000,5.5.0,,11632949.0,19.0,102435.0,102435.0,216.0,https://pypi.org/project/nbconvert,11568884.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3908011.0,1.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-05-15 21:22:04.000000,2021-05-13 20:30:29.000000,252.0,160.0,147.0,395.0,2219.0,2021-05-13 11:34:35.000000,5.5.5,,10455021.0,27.0,113746.0,113746.0,128.0,https://pypi.org/project/ipykernel,10452566.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,162044.0,1.0,,,,,,,,,,2.0,,,,,,,
7,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-05-20 13:27:07.000000,2021-05-19 09:28:57.000000,3641.0,653.0,5897.0,15115.0,,,,,1512502.0,40.0,34278.0,34278.0,558.0,https://pypi.org/project/bokeh,1421364.0,https://anaconda.org/conda-forge/bokeh,2021-05-11 13:20:48.298000,4465804.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
8,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-05-18 12:43:21.000000,2021-05-02 17:57:23.000000,150.0,92.0,185.0,261.0,1764.0,,,,7206610.0,27.0,76618.0,76618.0,108.0,https://pypi.org/project/qtconsole,7176219.0,https://anaconda.org/conda-forge/qtconsole,2021-05-02 20:14:23.482000,1823491.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
9,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-05-19 06:57:20.000000,2021-05-16 18:36:27.000000,1087.0,68.0,396.0,7337.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,385457.0,30.0,4074.0,4074.0,76.0,https://pypi.org/project/pandas-profiling,383237.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,126577.0,1.0,,,,,,,MIT,,,1.0,,,,,,,
