,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
141,F# Kernel,True,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,16,,fsprojects/IfSharp,,fsprojects/ifsharp,https://github.com/fsprojects/IfSharp,2013-12-03 21:25:01.000000,2020-09-10 16:17:07.000000,2020-09-10 16:17:02.000000,69.0,13.0,126.0,430.0,335.0,2020-03-08 20:03:38.000000,3.0.4,5248.0,64.0,15.0,,,27.0,,,,,,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,621.0,3.0,,BSD-3-Clause,,,,,,,,,,
142,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000000,2021-08-05 11:02:17.000000,2021-08-05 07:26:32.000000,70.0,923.0,4682.0,366.0,,2021-08-03 20:23:34.000000,2021.8.11,,,17.0,,,236.0,,,,,,,,,,3.0,,MIT,,,,,,,,,,
143,tributary,True,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,16,tributary,timkpaine/tributary,conda-forge/tributary,,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000000,2021-04-21 02:18:31.000000,2021-03-23 03:29:09.000000,23.0,10.0,66.0,267.0,,2021-02-27 04:59:39.000000,0.1.5,,1038.0,12.0,15.0,15.0,6.0,https://pypi.org/project/tributary,153.0,https://anaconda.org/conda-forge/tributary,2020-10-15 18:24:08.479000,12393.0,,,,,3.0,-2.0,Apache-2.0,,,,,,,,,,
144,nbQA,True,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,16,nbqa,nbQA-dev/nbQA,,,https://github.com/nbQA-dev/nbQA,2020-07-11 15:30:54.000000,2021-08-02 17:09:54.000000,2021-08-02 17:09:51.000000,17.0,4.0,223.0,263.0,550.0,,,,10871.0,,,,14.0,https://pypi.org/project/nbqa,10871.0,,,,,,,,3.0,,MIT,,,,,,,,,,
145,nbinteract,True,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,16,nbinteract,SamLau95/nbinteract,,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000000,2021-08-04 03:40:15.000000,2021-04-15 20:39:36.000000,21.0,29.0,41.0,202.0,590.0,,,,1742.0,,1.0,1.0,8.0,https://pypi.org/project/nbinteract,1742.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
146,Jupyter Spark,True,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,16,jupyter-spark,mozilla/jupyter-spark,,,https://github.com/mozilla/jupyter-spark,2016-01-27 15:38:50.000000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11.000000,30.0,13.0,14.0,189.0,106.0,,,,1196.0,,14.0,14.0,12.0,https://pypi.org/project/jupyter-spark,1196.0,,,,,,,,3.0,,MPL-2.0,,,,,,,,,,
147,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000000,2020-05-24 13:16:18.000000,2020-05-24 13:16:16.000000,29.0,54.0,34.0,155.0,426.0,,,,154.0,,10.0,10.0,9.0,,,,,,,,,,2.0,,BSD-3-Clause,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,154.0,,,,,,,
148,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/igvteam/igv-jupyter,,widgets,16,igv-jupyter,igvteam/igv-jupyter,,,https://github.com/igvteam/igv-jupyter,2016-07-21 18:44:38.000000,2021-07-16 16:03:44.000000,2021-07-16 16:03:40.000000,14.0,,36.0,133.0,99.0,2021-05-12 20:00:29.000000,0.10.0,,272.0,5.0,5.0,5.0,4.0,https://pypi.org/project/igv-jupyter,272.0,,,,,,,,3.0,,MIT,,,,,,,,,,
149,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,16,,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000000,2021-08-04 08:43:26.000000,2021-08-04 08:43:18.000000,16.0,8.0,32.0,121.0,130.0,2021-07-31 22:02:39.000000,0.7.0,,3185.0,5.0,1.0,1.0,6.0,,,,,,,,,,2.0,,BSD-3-Clause,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,3185.0,,,jupyterlab-contrib/spellchecker,,,,
150,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,16,,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000000,2021-08-04 03:02:09.000000,2021-07-19 14:32:24.000000,13.0,3.0,14.0,110.0,101.0,,,,3912.0,,67.0,67.0,7.0,,,,,,,,,,1.0,,BSD-3-Clause,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,3912.0,,,,,,,
151,Rsession Proxy,True,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,16,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,,,https://github.com/jupyterhub/jupyter-rsession-proxy,2016-12-09 06:26:18.000000,2021-08-05 00:00:27.000000,2021-07-03 06:55:54.000000,51.0,24.0,36.0,77.0,191.0,,,,1024.0,,25.0,25.0,16.0,https://pypi.org/project/jupyter-rsession-proxy,1024.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
152,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,jupyterlab_iframe,timkpaine/jupyterlab_iframe,,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000000,2021-06-18 13:29:41.000000,2021-06-18 13:29:32.000000,14.0,5.0,56.0,75.0,,2021-06-18 13:30:57.000000,0.4.0,,2140.0,13.0,3.0,3.0,4.0,https://pypi.org/project/jupyterlab_iframe,706.0,,,,,,,,2.0,,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,1434.0,,,,,,,
