,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
187,Jupyter Spark,True,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,14,mozilla/jupyter-spark,jupyter-spark,,https://github.com/mozilla/jupyter-spark,2016-01-27 15:38:50.000000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11.000000,30.0,13.0,14.0,189.0,106.0,,,,1603.0,,,,12.0,https://pypi.org/project/jupyter-spark,1603.0,,,,3.0,,,,,,,MPL-2.0,,,,,,,,,,
188,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,14,Cadair/jupyter_environment_kernels,environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,2015-01-06 14:50:00.000000,2018-02-20 00:36:41.000000,2018-02-12 13:00:01.000000,16.0,6.0,22.0,137.0,77.0,2018-02-12 13:01:06.000000,1.1.1,,4896.0,2.0,,,7.0,https://pypi.org/project/environment_kernels,4896.0,,,,3.0,,,,,,,BSD-2-Clause,,,,,,,,,,
189,Content Management,True,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,14,jupyter-incubator/contentmanagement,jupyter_cms,conda-forge/jupyter_cms,https://github.com/jupyter-incubator/contentmanagement,2015-09-21 15:41:02.000000,2020-10-15 16:27:20.124000,2018-06-11 01:51:34.000000,24.0,7.0,20.0,75.0,136.0,,,,1311.0,3.0,,,8.0,https://pypi.org/project/jupyter_cms,227.0,https://anaconda.org/conda-forge/jupyter_cms,2020-10-15 16:27:20.124000,60728.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
190,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,14,QuantStack/ipytree,ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,2018-09-15 13:17:27.000000,2021-05-07 15:03:47.000000,2021-03-03 12:57:09.000000,18.0,11.0,12.0,74.0,93.0,,,,6998.0,7.0,,,7.0,https://pypi.org/project/ipytree,6340.0,https://anaconda.org/conda-forge/ipytree,2021-03-03 13:15:38.895000,17112.0,3.0,,,,,,,MIT,,,,,,,,,,
191,JupyterLab HDF5,True,Open and explore HDF5 files in JupyterLab. Can handle very..,https://github.com/jupyterlab/jupyterlab-hdf5,,lab-extensions,14,jupyterlab/jupyterlab-hdf5,jupyterlab_hdf,,https://github.com/jupyterlab/jupyterlab-hdf5,2018-10-02 18:20:20.000000,2021-05-10 23:50:02.000000,2021-03-19 07:45:36.000000,15.0,14.0,28.0,71.0,280.0,,,,1561.0,,,,4.0,https://pypi.org/project/jupyterlab_hdf,895.0,,,,3.0,,,,,,@jupyterlab/hdf5,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/hdf5,666.0,,,,,,,,
192,ipymaterialui,True,Jupyter Widgets based on React Material UI components.,https://github.com/maartenbreddels/ipymaterialui,,widgets,14,maartenbreddels/ipymaterialui,ipymaterialui,,https://github.com/maartenbreddels/ipymaterialui,2018-11-23 18:33:20.000000,2021-05-11 00:18:19.000000,2019-10-29 13:53:37.000000,11.0,6.0,3.0,63.0,74.0,2019-08-09 15:57:25.000000,0.1.1,,201.0,1.0,4.0,4.0,3.0,https://pypi.org/project/ipymaterialui,81.0,,,,3.0,,,,,,jupyter-materialui,MIT,https://www.npmjs.com/package/jupyter-materialui,120.0,,,,,,,,
193,JupyterLab Shortcutui,True,A JupyterLab extension for managing keyboard shortcuts.,https://github.com/jupyterlab/jupyterlab-shortcutui,,lab-extensions,14,jupyterlab/jupyterlab-shortcutui,,,https://github.com/jupyterlab/jupyterlab-shortcutui,2018-06-18 22:07:19.000000,2020-01-17 16:59:32.000000,2020-01-17 16:59:32.000000,14.0,7.0,6.0,54.0,191.0,2019-09-05 11:54:07.000000,0.4.0,,706.0,3.0,,,8.0,,,,,,3.0,,,,,,@jupyterlab/shortcutui,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/shortcutui,706.0,,,,,,,,
194,JupyterLab Autoversion,True,Automatically version jupyter notebooks in JupyterLab.,https://github.com/timkpaine/jupyterlab_autoversion,,lab-extensions,14,timkpaine/jupyterlab_autoversion,jupyterlab_autoversion,,https://github.com/timkpaine/jupyterlab_autoversion,2018-08-23 23:49:52.000000,2021-05-11 23:50:48.000000,2021-05-11 23:49:10.000000,5.0,5.0,23.0,51.0,,2021-01-01 04:15:38.000000,0.3.0,,208.0,7.0,,,4.0,https://pypi.org/project/jupyterlab_autoversion,114.0,,,,3.0,,,,,,jupyterlab_autoversion,Apache-2.0,https://www.npmjs.com/package/jupyterlab_autoversion,94.0,,,,,,,,
195,WrapSpawner,True,Mechanism for runtime configuration of spawners for JupyterHub.,https://github.com/jupyterhub/wrapspawner,,hub-spawners,14,jupyterhub/wrapspawner,,,https://github.com/jupyterhub/wrapspawner,2016-09-21 21:48:31.000000,2021-04-13 21:03:08.000000,2021-04-13 21:03:05.000000,40.0,15.0,13.0,42.0,30.0,2021-04-13 20:56:56.000000,1.0.0,,,1.0,4.0,4.0,15.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
196,JWT Authenticator,True,A Token Authenticator for JupyterHub.,https://github.com/mogthesprog/jwtauthenticator,,hub-auth,14,mogthesprog/jwtauthenticator,jupyterhub-jwtauthenticator,,https://github.com/mogthesprog/jwtauthenticator,2017-06-21 20:09:58.000000,2021-04-15 07:40:37.000000,2019-02-13 10:57:15.000000,35.0,7.0,8.0,34.0,24.0,,,,347.0,,7.0,7.0,7.0,https://pypi.org/project/jupyterhub-jwtauthenticator,347.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,
