,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-05 12:50:30.000000,2023-07-05 12:50:29,4255.0,1542.0,5601.0,15862.0,2021-01-30 02:36:56,7.18.1,320219.0,25363960.0,86.0,420751.0,420751.0,951.0,https://pypi.org/project/ipython,25118521.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21119171.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-07-05 13:44:52.000000,2023-06-28 18:21:11,507.0,479.0,626.0,1518.0,2023-06-19 18:55:13,7.6.0,502.0,16738556.0,52.0,215900.0,215900.0,261.0,https://pypi.org/project/nbconvert,16334632.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,12925261.0,1.0,,,,,,,,,,,,,,,,,
3,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-06 14:19:07.000000,2023-07-06 09:30:36,4013.0,713.0,6620.0,17726.0,,,,3578932.0,51.0,71834.0,71834.0,660.0,https://pypi.org/project/bokeh,3260563.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11779665.0,1.0,,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-06-27 10:11:50.000000,2023-06-21 12:32:35,1464.0,167.0,522.0,10837.0,2023-06-21 12:39:17,4.3.1,,951860.0,46.0,822.0,822.0,110.0,https://pypi.org/project/pandas-profiling,947280.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,380209.0,1.0,ydataai/ydata-profiling,1309.0,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-07-04 06:48:12.000000,2023-07-03 13:54:19,333.0,232.0,229.0,560.0,2023-07-03 13:54:40,6.24.0,1581.0,15113466.0,64.0,267576.0,267576.0,171.0,https://pypi.org/project/ipykernel,15105496.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,727741.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-06-16 13:21:26.060000,2023-05-14 21:34:31,183.0,104.0,224.0,370.0,,,,3331157.0,38.0,139310.0,139310.0,120.0,https://pypi.org/project/qtconsole,3282774.0,https://anaconda.org/conda-forge/qtconsole,2023-06-16 13:21:26.060,4161012.0,1.0,,1939.0,,,,,,,,,,,,,,,
7,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-06-11 07:57:11.000000,2023-06-11 07:57:10,576.0,549.0,724.0,3421.0,2023-03-14 01:24:58,0.15.1,,107106.0,42.0,10475.0,10475.0,125.0,https://pypi.org/project/jupyter-book,107106.0,,,,1.0,,1422.0,7.0,,,,,,,,,,,,,,
8,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-07-04 16:57:10.113000,2023-07-04 15:39:22,888.0,636.0,1303.0,2829.0,2023-07-04 15:19:25,8.0.7,,8801941.0,49.0,7655.0,7655.0,207.0,https://pypi.org/project/ipywidgets,8449654.0,https://anaconda.org/conda-forge/ipywidgets,2023-07-04 16:57:10.113,10141177.0,1.0,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,54018.0,,,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-06-05 07:39:09.482000,2023-06-02 07:03:26,327.0,218.0,340.0,1377.0,2023-06-02 07:09:46,0.17.3,,186974.0,66.0,4685.0,4685.0,83.0,https://pypi.org/project/ipyleaflet,122368.0,https://anaconda.org/conda-forge/ipyleaflet,2023-06-05 07:39:09.482,1037184.0,1.0,,1146.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,52546.0,,,,,,,,,,,
10,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-07-06 14:05:25.000000,2023-06-06 16:50:15,140.0,61.0,78.0,210.0,2023-05-31 13:33:50,5.9.0,165.0,14931003.0,24.0,223665.0,223665.0,76.0,https://pypi.org/project/nbformat,14737367.0,https://anaconda.org/conda-forge/nbformat,2023-05-31 13:59:17.447,16845901.0,1.0,,,11.0,,,,,,,,,,,,,,
