,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,commit_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
111,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,18,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,MIT,2019-08-12 07:35:46.000,2022-03-21 19:03:41.000000,2021-06-14 15:04:41,187.0,10.0,14.0,1023.0,2019-09-02 14:01:33,0.1.2,,12556.0,1.0,,,13.0,https://pypi.org/project/pyforest,12556.0,,,,3.0,,196.0,,,,,,,,,,,,,,,
112,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,18,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2022-12-10 12:18:17.000000,2022-01-05 20:19:46,147.0,64.0,56.0,784.0,2021-10-12 17:36:36,1.8.1,,10552.0,3.0,,,20.0,https://pypi.org/project/witwidget,9474.0,,,,3.0,,328.0,,wit-widget,https://www.npmjs.com/package/wit-widget,1078.0,,,,,,,,,,,
113,IRuby,True,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,SciRuby/iruby,,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2023-02-03 04:21:45.711711,2023-01-11 06:17:33,20.0,45.0,143.0,759.0,2021-08-17 16:20:34,0.7.4,15.0,18.0,10.0,174.0,174.0,46.0,,,,,,2.0,,718.0,,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2023-02-03 04:21:45.711711,3.0,1820.0,,,iruby,,,
114,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,18,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2022-07-07 04:18:47.000000,2021-08-10 23:33:21,103.0,64.0,51.0,726.0,2018-04-16 17:16:10,0.2.0,,90249.0,1.0,,,14.0,,,,,,2.0,,523.0,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,90249.0,,,,,,,,,,,
115,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,18,stencila/stencila,,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2023-03-02 23:14:31.000000,2023-01-31 19:53:51,37.0,65.0,497.0,666.0,2022-07-29 06:53:21,1.16.0,3400.0,540.0,100.0,19.0,19.0,35.0,,,,,,3.0,-5.0,,,stencila,https://www.npmjs.com/package/stencila,244.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16465.0,,,,,,
116,nb_conda_kernels,True,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2022-10-29 16:32:26.594000,2020-11-30 15:55:07,58.0,40.0,99.0,502.0,2020-09-05 22:35:32,2.3.0,,12183.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2022-10-29 16:32:26.594,986898.0,2.0,,335.0,,,,,,,,,,,,,,,
117,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,18,rapidsai/jupyterlab-nvdashboard,jupyterlab-nvdashboard,,https://github.com/rapidsai/jupyterlab-nvdashboard,BSD-3-Clause,2019-08-12 15:22:10.000,2023-02-15 09:46:35.000000,2023-02-15 09:46:02,64.0,26.0,38.0,492.0,2022-05-10 19:35:57,0.7.0,,73435.0,3.0,2.0,2.0,18.0,https://pypi.org/project/jupyterlab-nvdashboard,72610.0,,,,2.0,,,,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,825.0,,,,,,,,,,,
118,JupyterLab Renderers,True,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,18,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2023-02-07 16:40:07.000000,2023-02-07 16:39:52,69.0,33.0,72.0,460.0,,,,1757.0,,3.0,3.0,29.0,,,,,,2.0,,611.0,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,1757.0,,,,,,,,,,,
119,JupyterLab Google Drive,True,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,jupyterlab/jupyterlab-google-drive,,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2023-01-05 16:15:48.000000,2022-04-28 22:45:01,74.0,33.0,65.0,386.0,2018-02-05 18:54:22,0.11.1,,685.0,12.0,4.0,4.0,16.0,,,,,,2.0,,515.0,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,685.0,,,,,,,,,,,
120,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,18,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,BSD-3-Clause,2015-08-04 03:22:47.000,2023-02-28 17:51:08.000000,2023-02-28 17:51:02,58.0,12.0,89.0,341.0,,,,17532.0,27.0,2.0,2.0,13.0,https://pypi.org/project/vega,10924.0,https://anaconda.org/conda-forge/vega,2022-12-05 16:11:57.491,535278.0,3.0,,618.0,,,,,,,,,,,,,,,
