,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
10,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-05-08 15:20:48.899000,2022-05-08 14:23:22,272.0,40.0,422.0,3403.0,598.0,2022-05-08 14:50:41,2.4.0,,63411.0,109.0,368.0,368.0,23.0,https://pypi.org/project/dtale,59174.0,https://anaconda.org/conda-forge/dtale,2022-05-08 15:20:48.899,114404.0,1.0,,LGPL-2.1,,,,,,,,,,,,,,,
11,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000,2022-05-09 07:18:11.000000,2022-05-09 07:18:07,435.0,210.0,357.0,3302.0,3519.0,2022-01-07 12:38:39,0.12.32,,108834.0,56.0,30.0,30.0,57.0,https://pypi.org/project/bqplot,69812.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,962702.0,1.0,,Apache-2.0,bqplot,https://www.npmjs.com/package/bqplot,25652.0,,,,,,,,,,,,
12,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000,2022-05-02 23:51:33.000000,2022-05-02 23:51:32,237.0,102.0,38.0,1519.0,258.0,,,,115025.0,3.0,3056.0,3056.0,46.0,https://pypi.org/project/ipython-sql,112928.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,144712.0,1.0,,MIT,,,,,,,,,,,,,,,
13,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000,2022-05-16 17:13:13.000000,2022-04-25 11:51:48,179.0,106.0,141.0,1280.0,,2022-04-25 11:58:24,0.9.1,,140042.0,26.0,3108.0,3108.0,27.0,https://pypi.org/project/ipympl,98622.0,,,,1.0,,BSD-3-Clause,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,41420.0,,,,,,,,,,,,
14,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,27,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000,2022-04-26 19:45:43.000000,2022-04-26 19:45:43,197.0,34.0,21.0,735.0,149.0,2022-04-01 20:13:44,0.4.2,76.0,99856.0,11.0,1518.0,1518.0,10.0,https://pypi.org/project/jupyter-dash,99853.0,,,,1.0,,MIT,,,,,,,,,,,,,,,
15,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,26,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-05-19 09:18:28.000000,2022-05-17 07:27:34,3669.0,2044.0,2367.0,9975.0,,2022-04-19 03:09:11,6.4.11,7433.0,11877787.0,33.0,8.0,8.0,609.0,https://pypi.org/project/notebook,11529230.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1988273.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-05-13 18:52:04.368215,917.0,26977093.0,-11.0,,,,,,
16,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,26,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-05-19 13:02:54.000000,2022-05-13 09:56:58,1638.0,181.0,1916.0,6986.0,,,,,1844273.0,31.0,1730.0,1730.0,276.0,https://pypi.org/project/jupyterhub,1809566.0,https://anaconda.org/conda-forge/jupyterhub,2022-05-06 14:23:27.212,546082.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-05-13 10:09:34.430416,310.0,2576751.0,,,,,,,
17,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000,2022-05-18 20:11:00.000000,2022-05-01 21:12:28,353.0,105.0,236.0,4696.0,,,,,602884.0,17.0,2163.0,2163.0,100.0,https://pypi.org/project/papermill,597284.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,252024.0,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
18,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000,2022-05-09 18:27:42.421000,2022-05-02 22:12:52,377.0,124.0,269.0,1122.0,1212.0,2022-05-02 22:17:21,0.20.0,,37087.0,17.0,236.0,236.0,57.0,https://pypi.org/project/sparkmagic,36352.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,41921.0,1.0,,,,,,,,,,,,,,,,,
19,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000,2022-04-29 05:31:13.000000,2022-04-29 05:31:12,212.0,86.0,433.0,1085.0,1770.0,2022-04-26 06:28:08,0.37.1,,128655.0,41.0,14.0,14.0,73.0,https://pypi.org/project/jupyterlab-git,124851.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-04-26 12:22:32.707,155984.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
20,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,26,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000,2022-05-10 04:10:24.115000,2022-05-09 14:51:58,41.0,27.0,61.0,93.0,,2022-05-09 11:06:29,0.6.3,54.0,11107653.0,22.0,54375.0,54375.0,32.0,https://pypi.org/project/nbclient,10965699.0,https://anaconda.org/conda-forge/nbclient,2022-05-10 04:10:24.115,3832611.0,1.0,,,,,,,,,,,,,,,,,
21,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000,2022-05-19 12:39:09.000000,2022-05-19 11:06:52,2542.0,42.0,698.0,6979.0,2902.0,,,,1042930.0,,,,219.0,,,,,,2.0,,BSD-3-Clause,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-05-13 18:26:20.753098,344.0,85520261.0,,,,,,,
22,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,25,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,834.0,76.0,76.0,6848.0,264.0,2019-07-01 16:35:20,1.0.0,,280329.0,4.0,114.0,114.0,28.0,https://pypi.org/project/facets-overview,280329.0,,,,2.0,,Apache-2.0,,,,,,,,,4.0,,,,,,
23,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000,2022-05-16 16:56:55.000000,2022-04-25 16:19:17,524.0,155.0,1520.0,5823.0,10501.0,2021-01-26 05:18:38,0.28.0,1336988.0,21133.0,66.0,,,174.0,https://pypi.org/project/nteract_on_jupyter,2564.0,,,,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
24,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,25,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000,2022-05-09 20:10:10.000000,2022-04-20 09:16:05,403.0,240.0,359.0,4099.0,,2022-03-29 17:16:03,0.3.5,258.0,47231.0,58.0,6637.0,6637.0,58.0,https://pypi.org/project/voila,39521.0,https://anaconda.org/conda-forge/voila,2022-03-29 20:27:37.534,173975.0,1.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,3633.0,,,,,,,,,,,,
25,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,25,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000,2022-05-15 16:18:50.000000,2022-05-05 22:10:35,334.0,94.0,284.0,3239.0,1419.0,2022-04-30 02:34:45,1.2.7,,96533.0,26.0,,,66.0,https://pypi.org/project/nbdev,96533.0,,,,1.0,,Apache-2.0,,,,,,,,,,,,,,,
26,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,25,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,2016-12-21 15:30:13.000,2022-02-23 14:32:16.000000,2021-11-01 12:36:42,216.0,167.0,128.0,1754.0,970.0,2018-06-11 13:56:17,0.4.5,,43794.0,16.0,768.0,768.0,39.0,https://pypi.org/project/ipyvolume,35506.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,353843.0,2.0,widgetti/ipyvolume,MIT,ipyvolume,https://www.npmjs.com/package/ipyvolume,2672.0,,,,,,,,,,,,
27,elyra,True,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,25,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000,2022-05-18 22:27:14.000000,2022-05-17 19:53:15,228.0,202.0,1207.0,1334.0,1625.0,2022-05-03 14:24:02,3.8.0,,2481.0,17.0,31.0,31.0,46.0,https://pypi.org/project/elyra,1973.0,https://anaconda.org/conda-forge/elyra,2022-05-05 15:50:43.734,10683.0,1.0,,Apache-2.0,,,,,,,,,,,,,,,
28,JupyterLab LSP,True,Coding assistance for JupyterLab (code navigation + hover..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,25,krassowski/jupyterlab-lsp,,,https://github.com/jupyter-lsp/jupyterlab-lsp,2019-08-17 11:34:22.000,2022-05-08 21:03:20.000000,2022-05-08 21:03:20,96.0,144.0,261.0,1253.0,2361.0,2022-03-21 19:31:19,3.10.1,,5856.0,41.0,154.0,154.0,39.0,,,,,,1.0,jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,5856.0,,,,,,,,,,,,
29,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,160.0,164.0,260.0,1030.0,2157.0,2019-12-04 15:06:08,1.1.18,,9839.0,19.0,234.0,234.0,33.0,https://pypi.org/project/pixiedust,8643.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,35901.0,1.0,,Apache-2.0,,,,,,,,,,,,,,,
30,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,24,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000,2022-05-19 03:26:06.000000,2022-05-19 03:26:05,458.0,71.0,439.0,4500.0,5169.0,,,,5480.0,,246.0,246.0,69.0,https://pypi.org/project/perspective-python,2728.0,,,,1.0,,Apache-2.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2752.0,,,,,,,,,,,,
31,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000,2022-03-28 15:28:41.000000,2022-03-28 15:25:07,378.0,139.0,283.0,3268.0,751.0,,,,13445.0,9.0,1863.0,1863.0,41.0,https://pypi.org/project/RISE,9600.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,196133.0,2.0,,,,,,,,,,,,,,,,,
32,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,24,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000,2022-05-19 12:53:57.000000,2022-05-19 12:53:57,459.0,416.0,643.0,2826.0,1361.0,2022-04-04 03:25:15,0.12.3,,47559.0,36.0,,,106.0,https://pypi.org/project/jupyter-book,47559.0,,,,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
33,ipycanvas,True,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,24,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000,2022-05-16 17:29:42.213000,2022-05-05 07:34:27,48.0,41.0,66.0,604.0,431.0,2022-05-03 07:55:27,0.12.0,,12114.0,30.0,535.0,535.0,17.0,https://pypi.org/project/ipycanvas,10455.0,https://anaconda.org/conda-forge/ipycanvas,2022-05-16 17:29:42.213,53090.0,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
34,gophernotes,True,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,23,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000,2022-03-13 22:04:03.000000,2022-03-13 22:04:03,216.0,46.0,123.0,3256.0,394.0,2022-01-09 15:20:57,0.7.4,40.0,1123.0,16.0,8.0,8.0,29.0,,,,,,1.0,,MIT,,,,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,85415.0,,github.com/gopherdata/gophernotes,,,,,
35,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000,2022-04-18 08:42:27.000000,2022-04-18 08:42:26,129.0,60.0,221.0,2226.0,1958.0,,,,308617.0,21.0,72.0,72.0,37.0,https://pypi.org/project/nbdime,244568.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,509731.0,2.0,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,56207.0,,,,,,,,,,,,
36,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,23,stencila/stencila,,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000,2022-05-19 00:32:13.000000,2022-05-19 00:15:41,33.0,64.0,495.0,635.0,9299.0,2022-05-19 00:15:45,1.10.0,3064.0,648.0,100.0,17.0,17.0,32.0,,,,,,2.0,,Apache-2.0,stencila,https://www.npmjs.com/package/stencila,205.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16459.0,,,,,,,
37,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,23,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000,2022-01-29 23:24:03.000000,2022-01-29 23:24:03,77.0,15.0,28.0,617.0,94.0,2022-01-04 01:53:30,2.3.0,,21671.0,15.0,1474.0,1474.0,19.0,https://pypi.org/project/watermark,18628.0,https://anaconda.org/conda-forge/watermark,2022-01-04 05:10:16.030,203903.0,2.0,,BSD-3-Clause,,,,,,,,,,,,,,,
38,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000,2022-05-17 15:51:55.000000,2022-05-17 15:51:55,220.0,138.0,175.0,274.0,,2022-05-08 21:01:27,7.3.1,231.0,14387956.0,16.0,,,116.0,https://pypi.org/project/jupyter-client,14387931.0,,,,2.0,,BSD-3-Clause,,,,,,,,,6.0,,,,,,
39,ipycytoscape,True,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,23,QuantStack/ipycytoscape,,conda-forge/ipycytoscape,https://github.com/cytoscape/ipycytoscape,2020-02-05 13:46:52.000,2022-05-06 17:53:02.000000,2022-05-05 20:51:05,52.0,53.0,99.0,188.0,705.0,2022-03-28 22:52:15,1.3.1,3.0,1127.0,19.0,66.0,66.0,31.0,,,https://anaconda.org/conda-forge/ipycytoscape,2022-04-05 02:28:16.580,29308.0,2.0,cytoscape/ipycytoscape,BSD-3-Clause,,,,,,,,,,,,,,,
40,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,23,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000,2022-03-31 15:56:58.000000,2021-06-27 18:55:19,151.0,55.0,80.0,176.0,167.0,2018-06-14 12:02:35,1.2.2,,7129.0,3.0,92.0,92.0,30.0,https://pypi.org/project/jupyterhub-ldapauthenticator,6619.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507,23981.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
41,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,22,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000,2022-03-15 15:20:24.000000,2020-04-07 18:56:49,382.0,148.0,125.0,2848.0,405.0,2020-04-07 16:34:17,1.3.1,,47254.0,21.0,,,30.0,https://pypi.org/project/qgrid,39627.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336,337731.0,2.0,,Apache-2.0,qgrid,https://www.npmjs.com/package/qgrid,1005.0,,,,,,,,,,,,
42,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,22,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000,2021-11-18 19:15:17.218000,2021-01-21 14:02:57,372.0,346.0,4174.0,2657.0,1689.0,2018-12-04 18:27:21,1.3.0,31.0,17065.0,39.0,,,43.0,https://pypi.org/project/beakerx,5040.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218,506128.0,2.0,,Apache-2.0,beakerx,https://www.npmjs.com/package/beakerx,564.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,244788.0,,,,,,,
43,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,22,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000,2022-05-19 09:20:14.000000,2022-03-15 12:00:47,489.0,158.0,403.0,2014.0,1409.0,,,,23718.0,,7.0,7.0,89.0,,,,,,2.0,,BSD-3-Clause,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2022-03-15 12:02:39.244788,27.0,2775104.0,,,,,,,
44,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,22,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000,2022-05-13 18:05:54.417370,2022-01-04 12:48:23,282.0,56.0,507.0,1528.0,588.0,2022-01-03 22:04:04,1.3,,13825.0,17.0,,,40.0,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173,67180.0,1.0,,MIT,,,,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2022-05-13 18:05:54.417370,44.0,1290551.0,,,IRkernel,,,,
