,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-05-16 01:35:05.000000,2022-05-03 10:27:06,4167.0,1471.0,5462.0,15351.0,25961.0,2021-01-30 02:36:56,7.18.1,318805.0,19700429.0,72.0,275906.0,275906.0,882.0,https://pypi.org/project/ipython,19540788.0,https://anaconda.org/conda-forge/ipython,2022-04-29 14:22:58.344,11432226.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-05-18 15:49:11.000000,2022-05-15 16:38:43,1284.0,107.0,462.0,8953.0,1002.0,2022-05-02 02:53:44,3.2.0,,1069251.0,32.0,7821.0,7821.0,88.0,https://pypi.org/project/pandas-profiling,1066300.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,203679.0,1.0,ydataai/pandas-profiling,MIT,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-05-17 21:19:38.000000,2022-05-10 16:36:15,801.0,570.0,1197.0,2492.0,7398.0,2021-02-07 22:09:48,7.6.3,,8976251.0,35.0,3965.0,3965.0,194.0,https://pypi.org/project/ipywidgets,8804166.0,https://anaconda.org/conda-forge/ipywidgets,2022-04-05 23:43:26.701,4935036.0,1.0,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,104482.0,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-05-19 14:20:23.753000,2022-05-15 20:49:38,3840.0,685.0,6200.0,16291.0,,,,,3326219.0,45.0,51254.0,51254.0,604.0,https://pypi.org/project/bokeh,3207461.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 14:20:23.753,7244262.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-05-19 12:08:59.000000,2022-05-19 12:08:58,252.0,485.0,1280.0,1851.0,2092.0,2022-04-15 15:23:49,0.13.0,,476685.0,39.0,3285.0,3285.0,95.0,https://pypi.org/project/panel,466369.0,https://anaconda.org/conda-forge/panel,2022-05-09 13:41:54.182,443595.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-05-06 03:16:24.000000,2022-05-06 03:16:24,167.0,97.0,206.0,309.0,1873.0,,,,2897299.0,32.0,100408.0,100408.0,115.0,https://pypi.org/project/qtconsole,2862689.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2491982.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
7,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-05-18 08:08:52.000000,2022-05-14 08:40:23,342.0,42.0,2053.0,2292.0,10275.0,2022-05-01 17:07:03,8.2.2,,1831.0,76.0,427.0,427.0,229.0,https://pypi.org/project/nikola,1831.0,,,,1.0,,MIT,,,,,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000,2022-05-19 13:52:40.000000,2022-05-17 17:20:53,308.0,178.0,301.0,1259.0,1069.0,2022-04-14 10:12:55,0.16.0,,127497.0,62.0,1733.0,1733.0,78.0,https://pypi.org/project/ipyleaflet,64902.0,https://anaconda.org/conda-forge/ipyleaflet,2022-05-16 15:27:39.486,818469.0,1.0,,MIT,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,51228.0,,,,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000,2022-04-20 04:15:39.000000,2022-04-04 20:36:11,340.0,68.0,444.0,5365.0,,2022-04-04 20:59:48,1.13.8,,275202.0,100.0,2829.0,2829.0,70.0,https://pypi.org/project/jupytext,258572.0,https://anaconda.org/conda-forge/jupytext,2022-04-06 06:06:21.811,306555.0,1.0,,MIT,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,9332.0,,,,,,,,,,,,
