,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
141,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,23.0,88.0,93.0,72.0,2020-06-18 03:30:24,0.5.10,,969.0,17.0,27.0,27.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,969.0,,,,3.0,269.0,,,,,,,,,,,,,,,,
142,ipysigma,True,A custom Jupyter widget library to display graphs using sigma.js.,https://github.com/medialab/ipysigma,,widgets,17,Yomguithereal/ipysigma,ipysigma,,https://github.com/medialab/ipysigma,MIT,2018-06-25 20:03:21.000,2023-02-02 09:19:15.000000,2023-02-02 09:18:52,10.0,40.0,150.0,69.0,2023-01-10 16:02:53,0.24.0,,2122.0,2.0,2.0,2.0,5.0,https://pypi.org/project/ipysigma,585.0,,,,3.0,333.0,ipysigma,https://www.npmjs.com/package/ipysigma,1537.0,4.0,medialab/ipysigma,,,,,,,,,,,
143,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,17,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2022-09-30 17:46:37.000000,2022-01-14 00:49:56,8.0,4.0,4.0,56.0,2021-11-06 14:18:45,0.4.0,,604424.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,604424.0,,,,3.0,117.0,,,,,,,,,,,,,,,,
144,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,17,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,BSD-3-Clause,2017-08-24 20:16:19.000,2023-01-08 10:52:33.000000,2022-09-01 10:51:55,4.0,2.0,4.0,13.0,,,,1108.0,8.0,56.0,56.0,4.0,https://pypi.org/project/ipyscales,99.0,https://anaconda.org/conda-forge/ipyscales,2022-10-12 13:17:36.580,56551.0,3.0,178.0,,,,,,,,,,,,,,,,
145,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2023-02-02 09:59:09.000000,2023-02-02 09:59:06,183.0,379.0,8045.0,886.0,2022-10-12 16:44:26,2022.09.120,,,32.0,,,256.0,,,,,,3.0,,,,,,,,,,,,,,,,,
146,Ansible Kernel,True,Jupyter Notebook Kernel for running Ansible Tasks and..,https://github.com/ansible/ansible-jupyter-kernel,,kernels,16,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,,2018-06-26 14:28:02.000,2022-02-12 03:05:54.538000,2022-02-11 15:18:23,55.0,16.0,29.0,512.0,,,,1741.0,2.0,10.0,10.0,10.0,https://pypi.org/project/ansible-kernel,272.0,https://anaconda.org/conda-forge/ansible-kernel,2022-02-12 03:05:54.538,12471.0,3.0,212.0,,,,,,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66458.0,,,,,,
147,JupyterLab System Monitor,True,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,16,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2023-01-06 02:50:11.000000,2022-02-15 08:27:46,29.0,23.0,21.0,275.0,2021-02-04 22:39:49,0.8.0,,3387.0,2.0,2.0,2.0,7.0,,,,,,2.0,,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,3387.0,,,,,,,,,,,,,
148,ML Hub,True,Multi-user development platform for machine learning teams. Simple to..,https://github.com/ml-tooling/ml-hub,,notebook-environments,16,ml-tooling/ml-hub,,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,58.0,15.0,11.0,267.0,2020-02-03 15:59:07,1.0.0,1962.0,1057.0,8.0,,,7.0,,,,,,3.0,220.0,,,,,,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,44454.0,,,,,,
149,jupyterlab-classic,True,The next-gen old-school notebook UI.,https://github.com/jupyterlab/retrolab,,notebook-environments,16,jtpio/jupyterlab-classic,jupyterlab-classic,,https://github.com/jupyterlab/retrolab,BSD-3-Clause,2020-12-07 16:37:07.000,2022-10-04 08:27:20.000000,2022-10-04 08:27:20,45.0,4.0,107.0,263.0,2022-05-04 07:37:18,0.3.21,851.0,78.0,50.0,105.0,105.0,17.0,https://pypi.org/project/jupyterlab-classic,46.0,,,,3.0,,,,,,jupyterlab/retrolab,,,,,,,,,,,
150,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,16,googlecolab/jupyter_http_over_ws,jupyter_http_over_ws,,https://github.com/googlecolab/jupyter_http_over_ws,Apache-2.0,2018-03-26 22:52:45.000,2022-11-09 21:06:35.000000,2021-08-30 21:48:24,44.0,20.0,9.0,245.0,,,,78368.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,78368.0,,,,3.0,29.0,,,,,,,,,,,,,,,,
