,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
104,Kernel Gateway,True,Jupyter Kernel Gateway.,https://github.com/jupyter-server/kernel_gateway,,kernels,19,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter-server/kernel_gateway,,2015-09-21 15:34:11.000,2023-10-09 19:22:17.000000,2023-03-02 17:55:59,120.0,15.0,168.0,453.0,2023-02-06 19:49:08,2.5.2,139.0,13037.0,10.0,43.0,43.0,44.0,https://pypi.org/project/jupyter-kernel-gateway,13035.0,,,,2.0,jupyter-server/kernel_gateway,,,,,,,,,,,,,,,,
105,JupyterLab Dash,True,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,19,plotly/jupyterlab-dash,jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,MIT,2018-11-07 19:47:52.000,2020-05-19 14:20:53.000000,2020-05-19 11:44:34,55.0,20.0,8.0,359.0,,,,4463.0,2.0,500.0,500.0,7.0,https://pypi.org/project/jupyterlab-dash,1226.0,,,,2.0,,41.0,,,,,,,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,3237.0,,,,,,
106,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,19,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-10-07 18:50:09.000000,2023-10-07 18:50:08,60.0,6.0,81.0,349.0,2023-07-14 16:46:17,0.5.0,,15934.0,16.0,7.0,7.0,18.0,https://pypi.org/project/jupyterlab_templates,12628.0,,,,2.0,finos/jupyterlab_templates,,,,,,,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,3306.0,,,,,,
107,jupyter-server-proxy,True,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,19,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2023-10-08 03:53:32.000000,2023-10-03 10:43:08,127.0,64.0,121.0,308.0,2018-12-10 14:39:58,0.8.8,,255515.0,18.0,2.0,2.0,70.0,https://pypi.org/project/jupyter-server-proxy,221413.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2023-09-25 14:14:34.674,1398209.0,2.0,,,,,,,,,,,,,,,,,
108,BatchSpawner,True,Custom Spawner for Jupyterhub to start servers in batch scheduled..,https://github.com/jupyterhub/batchspawner,,hub-spawners,19,jupyterhub/batchspawner,batchspawner,,https://github.com/jupyterhub/batchspawner,BSD-3-Clause,2015-10-27 03:53:10.000,2023-10-03 10:42:24.000000,2023-10-03 10:42:23,115.0,59.0,80.0,160.0,2022-10-05 04:46:29,1.2.0,,5208.0,10.0,30.0,30.0,42.0,https://pypi.org/project/batchspawner,5208.0,,,,2.0,,,,,,,,,,,,,,,,,
109,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,19,spacetelescope/jdaviz,jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2023-10-12 14:02:47.000000,2023-10-11 21:06:36,52.0,319.0,635.0,106.0,2023-09-21 21:46:10,3.7.0,,2228.0,29.0,30.0,30.0,30.0,https://pypi.org/project/jdaviz,2228.0,,,,3.0,,,,,,,,,,,,,,,,,
110,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,18,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-12-25 14:22:01.000000,2021-11-22 20:42:15,388.0,1.0,91.0,3193.0,2021-07-13 22:12:59,0.13.2,,10250.0,4.0,,,11.0,,,,,,3.0,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,27.0,543302.0,,,,,,,,,
111,xeus-cling,True,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,18,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2023-09-25 10:00:46.000000,2023-08-05 06:50:25,267.0,150.0,123.0,2779.0,,,,5523.0,20.0,,,26.0,,,https://anaconda.org/conda-forge/xeus-cling,2023-09-10 19:24:00.969,220959.0,2.0,,,,,,,,,,,,,,,,,
112,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,18,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2023-10-12 07:35:51.000000,2023-10-12 07:35:49,951.0,53.0,291.0,2488.0,,,,287846.0,28.0,,,112.0,https://pypi.org/project/ipyparallel,277697.0,https://anaconda.org/conda-forge/ipyparallel,2023-06-16 13:17:51.662,913484.0,3.0,,,,,,,,,,,,,,,,,
113,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,18,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2022-07-07 04:18:47.000000,2021-08-10 23:33:21,102.0,64.0,51.0,726.0,2018-04-16 17:16:10,0.2.0,,104998.0,1.0,,,14.0,,,,,,2.0,,523.0,,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,104998.0,,,,,,
