,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,38,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-05-29 17:44:49.000000,2022-05-29 17:44:49,4174.0,1470.0,5467.0,15374.0,25971.0,2021-01-30 02:36:56,7.18.1,318858.0,21760251.0,73.0,279310.0,279310.0,884.0,https://pypi.org/project/ipython,21598479.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,11748594.0,1.0,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-05-27 17:20:07.000000,2022-05-27 17:20:04,1294.0,106.0,465.0,9037.0,1002.0,2022-05-02 02:53:44,3.2.0,,1116419.0,32.0,8031.0,8031.0,88.0,https://pypi.org/project/pandas-profiling,1113447.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,208065.0,1.0,ydataai/pandas-profiling,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-05-30 17:31:50.000000,2022-05-30 17:31:50,806.0,575.0,1199.0,2502.0,7420.0,2021-02-07 22:09:48,7.6.3,,9813985.0,35.0,4072.0,4072.0,196.0,https://pypi.org/project/ipywidgets,9638853.0,https://anaconda.org/conda-forge/ipywidgets,2022-04-05 23:43:26.701,5040758.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,107014.0,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-01 23:59:47.000000,2022-06-01 10:04:13,3844.0,689.0,6207.0,16340.0,,,,,2720657.0,45.0,51745.0,51745.0,605.0,https://pypi.org/project/bokeh,2601349.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7397151.0,1.0,,,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-06-01 16:15:19.000000,2022-06-01 16:15:19,167.0,96.0,210.0,314.0,1881.0,,,,2874798.0,32.0,101357.0,101357.0,116.0,https://pypi.org/project/qtconsole,2840084.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2534167.0,1.0,,,,,,,,,,,,,,,,
6,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,30,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-05-29 20:18:06.000000,2022-05-29 20:18:02,333.0,66.0,312.0,3253.0,1438.0,2022-04-30 02:34:45,1.2.7,,115231.0,26.0,1021.0,1021.0,69.0,https://pypi.org/project/nbdev,115231.0,,,,1.0,,,,,6.0,,,,,,,,,,,
7,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-05-31 14:39:03.000000,2022-05-29 18:54:22,257.0,500.0,1288.0,1941.0,2114.0,2022-05-24 10:14:55,0.13.1,,435337.0,40.0,3384.0,3384.0,95.0,https://pypi.org/project/panel,424785.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,464309.0,2.0,,,,,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-05-29 22:14:06.000000,2022-05-29 22:14:06,343.0,43.0,2053.0,2298.0,10277.0,2022-05-01 17:07:03,8.2.2,,1935.0,76.0,428.0,428.0,229.0,https://pypi.org/project/nikola,1935.0,,,,1.0,,,,,,,,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-06-02 13:28:44.000000,2022-05-24 11:28:05,311.0,179.0,301.0,1264.0,1070.0,2022-04-14 10:12:55,0.16.0,,134165.0,62.0,1805.0,1805.0,78.0,https://pypi.org/project/ipyleaflet,72422.0,https://anaconda.org/conda-forge/ipyleaflet,2022-05-16 15:27:39.486,825789.0,1.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,50431.0,,,,,,,,,,,,
