,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
10,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,28,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2022-11-09 11:07:12.000000,2022-07-26 13:21:25,226.0,172.0,128.0,1802.0,2018-06-11 13:56:17,0.4.5,,69758.0,16.0,892.0,892.0,41.0,https://pypi.org/project/ipyvolume,62019.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,393609.0,1.0,widgetti/ipyvolume,974.0,ipyvolume,https://www.npmjs.com/package/ipyvolume,2035.0,,,,,,,,,,,,
11,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-11-15 22:20:51.000000,2022-08-22 09:53:38,198.0,119.0,144.0,1355.0,2022-08-22 09:55:02,0.9.2,,196000.0,27.0,4422.0,4422.0,28.0,https://pypi.org/project/ipympl,168589.0,,,,1.0,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,27411.0,,,,,,,,,,,,
12,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,27,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,,2015-04-09 06:58:03.000,2022-11-16 12:41:35.000000,2022-11-16 09:50:19,3846.0,1993.0,2499.0,10506.0,2022-10-30 06:48:28,6.5.2,9559.0,11391060.0,45.0,11.0,11.0,620.0,https://pypi.org/project/notebook,11046943.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2574043.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-11-15 08:16:51.901502,956.0,27956209.0,,,,,,,
13,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2022-11-12 19:01:31.000000,2022-11-12 19:00:16,346.0,80.0,469.0,5663.0,2022-07-29 10:56:48,1.14.1,,366746.0,100.0,3589.0,3589.0,73.0,https://pypi.org/project/jupytext,350341.0,https://anaconda.org/conda-forge/jupytext,2022-07-03 18:12:05.254,435028.0,1.0,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7342.0,,,,,,,,,,,,
14,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-11-16 22:21:07.000000,2022-11-04 18:35:00,303.0,46.0,438.0,3720.0,2022-11-04 20:11:40,2.9.0,,142788.0,114.0,543.0,543.0,29.0,https://pypi.org/project/dtale,137617.0,https://anaconda.org/conda-forge/dtale,2022-11-04 20:50:39.708,170655.0,2.0,,631.0,,,,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-11-11 02:23:19.000000,2022-09-29 15:04:10,439.0,212.0,361.0,3371.0,2022-09-02 15:03:28,0.12.36,,157888.0,58.0,35.0,35.0,59.0,https://pypi.org/project/bqplot,138627.0,https://anaconda.org/conda-forge/bqplot,2022-09-02 17:23:26.370,1069425.0,2.0,,3545.0,bqplot,https://www.npmjs.com/package/bqplot,5551.0,,,,,,,,,,,,
16,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-11-16 00:09:35.000000,2022-11-16 00:09:35,255.0,103.0,40.0,1590.0,,,,99349.0,3.0,3613.0,3613.0,53.0,https://pypi.org/project/ipython-sql,96882.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,185075.0,1.0,,286.0,,,,,,,,,,,,,,,
17,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,27,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,,2020-01-13 17:29:49.000,2022-11-01 07:34:39.000000,2022-11-01 07:34:35,45.0,32.0,62.0,108.0,2022-10-06 16:32:36,0.7.0,115.0,9371966.0,28.0,76929.0,76929.0,33.0,https://pypi.org/project/nbclient,9178535.0,https://anaconda.org/conda-forge/nbclient,2022-10-07 06:52:51.888,6383017.0,1.0,,,,,,,,,,,,,,,,,
18,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2022-10-29 13:12:23.000000,2021-05-06 12:01:05,856.0,78.0,76.0,7028.0,2019-07-01 16:35:20,1.0.0,,359982.0,4.0,148.0,148.0,28.0,https://pypi.org/project/facets-overview,359982.0,,,,2.0,,264.0,,,,,,,,,,,,,,,
19,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-11-05 14:54:39.000000,2022-10-18 22:34:20,363.0,112.0,242.0,4988.0,,,,889821.0,17.0,2558.0,2558.0,108.0,https://pypi.org/project/papermill,883184.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,338511.0,2.0,,,,,,,,,,,,,,,,,
20,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2022-11-17 09:04:32.000000,2022-11-17 09:04:21,436.0,257.0,376.0,4447.0,2022-10-26 15:12:41,0.4.0,441.0,83906.0,60.0,7686.0,7686.0,63.0,https://pypi.org/project/voila,77892.0,https://anaconda.org/conda-forge/voila,2022-10-27 07:53:02.986,227361.0,2.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,1343.0,,,,,,,,,,,,
21,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-11-16 22:27:23.000000,2022-11-14 11:03:17,239.0,82.0,454.0,1183.0,2022-09-30 14:20:52,0.39.3.post1,,124252.0,46.0,17.0,17.0,81.0,https://pypi.org/project/jupyterlab-git,117851.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-09-30 19:45:23.615,300889.0,1.0,,1803.0,,,,,,,,,,,,,,,
22,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2022-10-21 14:50:31.000000,2022-10-21 14:50:27,220.0,46.0,23.0,835.0,2022-04-01 20:13:44,0.4.2,77.0,400373.0,11.0,2041.0,2041.0,10.0,https://pypi.org/project/jupyter-dash,400371.0,,,,2.0,,161.0,,,,,,,,,,,,,,,
23,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2022-11-17 14:01:00.407422,2022-11-17 13:43:33,1776.0,135.0,2042.0,7312.0,,,,198494.0,33.0,1975.0,1975.0,313.0,https://pypi.org/project/jupyterhub,161049.0,https://anaconda.org/conda-forge/jupyterhub,2022-10-28 12:26:53.110,784692.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-11-17 14:01:00.407422,318.0,2765954.0,,,,,,,
24,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2022-11-14 16:35:20.000000,2022-10-26 19:51:28,528.0,158.0,1521.0,5910.0,2021-01-26 05:18:38,0.28.0,1390211.0,22046.0,66.0,,,176.0,https://pypi.org/project/nteract_on_jupyter,4223.0,,,,1.0,,10501.0,,,,,,,,,,,,,,,
25,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,25,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2022-11-17 09:29:20.000000,2022-11-15 09:43:39,525.0,486.0,678.0,3123.0,2022-08-16 07:13:52,0.13.1,,73809.0,38.0,,,118.0,https://pypi.org/project/jupyter-book,73809.0,,,,2.0,,1392.0,,,,,,,,,,,,,,,
26,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2022-10-31 16:26:37.000000,2022-10-31 16:26:37,388.0,128.0,285.0,1180.0,2022-05-02 22:17:21,0.20.0,,37144.0,17.0,258.0,258.0,58.0,https://pypi.org/project/sparkmagic,36219.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,58318.0,1.0,,1214.0,,,,,,,,,,,,,,,
27,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,160.0,164.0,260.0,1022.0,2019-12-04 15:06:08,1.1.18,,11694.0,19.0,242.0,242.0,33.0,https://pypi.org/project/pixiedust,10550.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,41207.0,1.0,,2157.0,,,,,,,,,,,,,,,
28,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-11-17 02:52:05.000000,2022-11-17 02:50:02,388.0,62.0,674.0,3860.0,2022-11-08 23:17:29,2.3.9,,54475.0,23.0,,,30.0,https://pypi.org/project/nbdev,54475.0,,,,1.0,,1538.0,,,,,,,,,,,,,,,
29,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2022-11-03 18:17:00.705000,2022-11-03 14:02:18,388.0,146.0,286.0,3420.0,,,,10343.0,9.0,2059.0,2059.0,43.0,https://pypi.org/project/RISE,6198.0,https://anaconda.org/conda-forge/rise,2022-11-03 18:17:00.705,236296.0,2.0,,760.0,,,,,,,,,,,,,,,
30,pythreejs,True,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,24,jupyter-widgets/pythreejs,pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,,2013-12-23 17:02:11.000,2022-10-21 10:50:59.000000,2022-08-25 13:37:51,172.0,53.0,166.0,838.0,2022-08-31 09:02:38,2.4.1,,81097.0,17.0,21.0,21.0,30.0,https://pypi.org/project/pythreejs,70762.0,https://anaconda.org/conda-forge/pythreejs,2022-09-06 14:51:41.037,435521.0,2.0,,1715.0,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,4752.0,,,,,,,,,,,,
31,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,24,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,BSD-3-Clause,2016-01-17 05:11:49.000,2022-09-13 07:14:14.000000,2021-06-27 18:55:19,153.0,57.0,81.0,183.0,2018-06-14 12:02:35,1.2.2,,10179.0,3.0,103.0,103.0,31.0,https://pypi.org/project/jupyterhub-ldapauthenticator,9658.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507,27626.0,1.0,,167.0,,,,,,,,,2.0,,,,,,
32,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,23,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2022-11-15 17:24:23.000000,2022-11-15 17:23:09,771.0,326.0,452.0,4931.0,2022-11-15 17:24:23,0.7.0,,307481.0,2.0,,,132.0,https://pypi.org/project/jupyter_contrib_nbextensions,307481.0,,,,1.0,,2640.0,,,,,,,,,2.0,,,,,,
33,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,23,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2022-11-08 16:27:23.000000,2020-04-07 18:56:49,392.0,151.0,125.0,2903.0,2020-04-07 16:34:17,1.3.1,,84677.0,21.0,,,30.0,https://pypi.org/project/qgrid,77410.0,https://anaconda.org/conda-forge/qgrid,2022-11-02 16:27:28.702,367352.0,2.0,,405.0,qgrid,https://www.npmjs.com/package/qgrid,823.0,,,,,,,,,,,,
34,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,23,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2022-11-03 11:08:08.841000,2021-01-21 14:02:57,374.0,348.0,4175.0,2695.0,2018-12-04 18:27:21,1.3.0,31.0,17580.0,39.0,,,43.0,https://pypi.org/project/beakerx,6013.0,https://anaconda.org/conda-forge/beakerx,2022-11-03 11:08:08.841,553861.0,2.0,,1689.0,beakerx,https://www.npmjs.com/package/beakerx,308.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,248901.0,,,,,,,
35,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2022-11-08 19:57:21.000000,2022-07-05 16:29:00,135.0,67.0,222.0,2327.0,,,,304087.0,21.0,88.0,88.0,40.0,https://pypi.org/project/nbdime,248453.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,692877.0,2.0,,1965.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,45876.0,,,,,,,,,,,,
36,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,23,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,MIT,2014-02-26 02:57:07.000,2022-11-15 08:16:09.168874,2022-11-03 10:02:52,284.0,57.0,511.0,1578.0,2022-11-03 10:05:23,1.3.1,,15104.0,18.0,,,42.0,,,https://anaconda.org/r/r-irkernel,2022-05-31 20:41:46.649,97481.0,1.0,,592.0,,,,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2022-11-15 08:16:09.168874,47.0,1473525.0,2.0,IRkernel,,,,,
37,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,23,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2022-11-17 12:09:03.000000,2022-11-17 12:09:03,302.0,152.0,334.0,1416.0,2022-10-18 19:01:00,2022.10.0,,5324.0,12.0,169.0,169.0,114.0,https://pypi.org/project/jupyter-repo2docker,5324.0,,,,2.0,,,,,,,,,,,2.0,,,,,,
38,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,23,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,Apache-2.0,2014-08-06 18:37:34.000,2022-09-02 20:50:03.000000,2022-09-02 20:50:03,248.0,224.0,667.0,977.0,2021-08-16 19:04:35,1.2.20210816,,77319.0,19.0,,,53.0,https://pypi.org/project/datalab,77319.0,,,,2.0,,2055.0,,,,,,,,,2.0,,,,,,
39,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,23,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,BSD-3-Clause,2014-07-30 03:46:33.000,2022-09-13 21:31:21.000000,2022-09-13 21:31:21,81.0,17.0,28.0,743.0,2022-05-27 13:54:28,2.3.1,,48974.0,16.0,1652.0,1652.0,17.0,https://pypi.org/project/watermark,45817.0,https://anaconda.org/conda-forge/watermark,2022-05-30 23:29:14.790,230524.0,2.0,,99.0,,,,,,,,,,,,,,,
40,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,23,stencila/stencila,,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2022-11-17 00:05:14.000000,2022-09-13 10:25:31,37.0,65.0,497.0,655.0,2022-07-29 06:53:21,1.16.0,3151.0,617.0,100.0,17.0,17.0,34.0,,,,,,2.0,,9904.0,stencila,https://www.npmjs.com/package/stencila,291.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16465.0,,,,,,,
41,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2022-10-24 14:20:57.000000,2022-09-17 19:29:50,45.0,38.0,62.0,389.0,,,,109209.0,8.0,1763.0,1763.0,31.0,https://pypi.org/project/nbval,105356.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985,258197.0,2.0,,457.0,,,,,,,,,,,,,,,
42,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2022-11-16 23:23:30.000000,2022-11-16 23:23:30,235.0,148.0,183.0,299.0,2022-11-16 15:49:07,7.4.7,491.0,14660503.0,33.0,,,121.0,https://pypi.org/project/jupyter-client,14660471.0,,,,2.0,,,,,,,,,,,,,,,,,
43,ipywebrtc,True,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,23,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2022-11-13 11:50:19.000000,2021-03-29 11:25:59,34.0,35.0,20.0,215.0,,,,66946.0,8.0,615.0,615.0,9.0,https://pypi.org/project/ipywebrtc,61999.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469,280886.0,2.0,,209.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,489.0,,,,,,,,,,,,
44,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,22,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2022-11-15 08:16:01.990705,2022-11-15 06:50:00,2631.0,23.0,768.0,7340.0,,,,997205.0,,,,224.0,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-11-15 08:16:01.990705,369.0,87754118.0,,,,,,,
