,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-08-07 03:12:22.000000,2023-07-31 08:14:22,4265.0,1548.0,5611.0,15890.0,2021-01-30 02:36:56,7.18.1,320275.0,28697238.0,86.0,432376.0,432376.0,955.0,https://pypi.org/project/ipython,28443523.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,22092172.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-08-10 10:36:04.000000,2023-08-10 06:47:35,1491.0,170.0,531.0,10986.0,2023-08-09 15:22:24,4.5.0,,945823.0,49.0,1070.0,1070.0,111.0,https://pypi.org/project/pandas-profiling,941201.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,388305.0,1.0,ydataai/ydata-profiling,1325.0,,,,,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-08-03 18:40:09.000000,2023-08-01 12:27:06,511.0,482.0,630.0,1535.0,2023-07-25 16:47:05,7.7.3,624.0,20041724.0,55.0,221139.0,221139.0,263.0,https://pypi.org/project/nbconvert,19631521.0,https://anaconda.org/conda-forge/nbconvert,2023-07-25 19:35:27.976,13536306.0,1.0,,,,,,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-08-10 11:53:12.000000,2023-08-09 23:13:42,4018.0,727.0,6643.0,17832.0,,,,3829182.0,52.0,73757.0,73757.0,665.0,https://pypi.org/project/bokeh,3508306.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12193311.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-08-08 23:38:38.779000,2023-08-07 13:45:24,334.0,235.0,229.0,567.0,2023-08-07 13:45:44,6.25.1,1708.0,18365103.0,66.0,276163.0,276163.0,172.0,https://pypi.org/project/ipykernel,18356923.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,754938.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-06-16 13:21:26.060000,2023-05-14 21:34:31,182.0,105.0,224.0,371.0,,,,4721221.0,38.0,142630.0,142630.0,120.0,https://pypi.org/project/qtconsole,4671848.0,https://anaconda.org/conda-forge/qtconsole,2023-06-16 13:21:26.060,4295454.0,1.0,,1939.0,,,,,,,,,,,,,,,
7,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-07-31 16:59:36.000000,2023-07-26 09:01:16,577.0,555.0,724.0,3463.0,2023-03-14 01:24:58,0.15.1,,135656.0,42.0,10801.0,10801.0,126.0,https://pypi.org/project/jupyter-book,135656.0,,,,1.0,,1424.0,7.0,,,,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-08-07 10:38:24.000000,2023-06-02 07:03:26,330.0,225.0,340.0,1389.0,2023-06-02 07:09:46,0.17.3,,227108.0,66.0,4937.0,4937.0,83.0,https://pypi.org/project/ipyleaflet,163176.0,https://anaconda.org/conda-forge/ipyleaflet,2023-06-05 07:39:09.482,1053081.0,1.0,,1146.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,51828.0,,,,,,,,,,,
9,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,30,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-08-10 06:56:31.000000,2023-08-07 05:10:46,4041.0,1954.0,2718.0,11421.0,2023-08-04 06:53:06,7.0.2,13799.0,16578946.0,69.0,112.0,112.0,639.0,https://pypi.org/project/notebook,16228536.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3576971.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-08-07 04:26:44.032308,1034.0,30496020.0,,,,,,
